#SESCA CD calculation module:
#Workdir: /home/os/Downloads/SESCA_v097/examples/0-Basics
#Target file: DISICL_pdet_193l.out
#Basis set file: 
#    /home/os/Downloads/SESCA_v097/libs/Map_DS-dT.dat

#Weighting factors for the calculated CD spectrum:
#         Alpha  :   0.349 
#          Beta  :   0.032 
#          Coil  :   0.621 

#   wvlgth       Icalc
   269.000      -0.023   
   268.000       0.003   
   267.000      -0.006   
   266.000      -0.016   
   265.000      -0.017   
   264.000      -0.010   
   263.000      -0.027   
   262.000      -0.036   
   261.000      -0.035   
   260.000       0.009   
   259.000       0.043   
   258.000       0.060   
   257.000       0.032   
   256.000       0.005   
   255.000      -0.017   
   254.000      -0.005   
   253.000      -0.003   
   252.000      -0.030   
   251.000      -0.042   
   250.000      -0.072   
   249.000      -0.118   
   248.000      -0.175   
   247.000      -0.254   
   246.000      -0.366   
   245.000      -0.512   
   244.000      -0.656   
   243.000      -0.829   
   242.000      -1.054   
   241.000      -1.316   
   240.000      -1.636   
   239.000      -2.079   
   238.000      -2.557   
   237.000      -3.125   
   236.000      -3.766   
   235.000      -4.505   
   234.000      -5.315   
   233.000      -6.233   
   232.000      -7.203   
   231.000      -8.177   
   230.000      -9.152   
   229.000      -10.072   
   228.000      -10.921   
   227.000      -11.682   
   226.000      -12.355   
   225.000      -12.911   
   224.000      -13.332   
   223.000      -13.626   
   222.000      -13.812   
   221.000      -13.912   
   220.000      -13.960   
   219.000      -13.953   
   218.000      -13.878   
   217.000      -13.824   
   216.000      -13.762   
   215.000      -13.763   
   214.000      -13.830   
   213.000      -14.008   
   212.000      -14.299   
   211.000      -14.770   
   210.000      -15.286   
   209.000      -15.791   
   208.000      -16.084   
   207.000      -16.022   
   206.000      -15.551   
   205.000      -14.632   
   204.000      -13.178   
   203.000      -11.248   
   202.000      -8.805   
   201.000      -5.806   
   200.000      -2.337   
   199.000       1.484   
   198.000       5.448   
   197.000       9.155   
   196.000      12.390   
   195.000      15.064   
   194.000      17.173   
   193.000      18.728   
   192.000      19.736   
   191.000      20.119   
   190.000      19.932   
   189.000      19.179   
   188.000      18.033   
   187.000      16.661   
   186.000      15.117   
   185.000      13.510   
   184.000      11.787   
   183.000       9.952   
   182.000       8.267   
   181.000       6.737   
   180.000       5.371   
   179.000       4.123   
   178.000       2.865   
   177.000       1.689   
   176.000       0.621   
   175.000      -0.381   
