#SESCA CD calculation module:
#Workdir: /home/gnagy/Programs/SESCA_dev/examples/0-Basics
#Reference file: CD_lysm.dat
#Target file: DISICL_pdet_193l.out
#Basis set file: 
#    /home/gnagy/Programs/SESCA_dev/libs/Map_DS-dT.dat

#Weighting factors for the calculated CD spectrum:
#         Alpha  :   0.349 
#          Beta  :   0.032 
#          Coil  :   0.621 

#   wvlgth       Iref        Icalc       dev         diff
   269.000       0.397      -0.023       0.176       0.420   
   268.000      -0.102       0.003       0.011      -0.105   
   267.000      -0.144      -0.006       0.019      -0.138   
   266.000      -0.116      -0.016       0.010      -0.100   
   265.000       0.008      -0.017       0.001       0.025   
   264.000       0.017      -0.010       0.001       0.027   
   263.000      -0.011      -0.027       0.000       0.016   
   262.000      -0.040      -0.036       0.000      -0.003   
   261.000       0.030      -0.035       0.004       0.065   
   260.000       0.173       0.009       0.027       0.164   
   259.000       0.262       0.043       0.048       0.219   
   258.000       0.278       0.060       0.048       0.218   
   257.000       0.208       0.032       0.031       0.176   
   256.000       0.133       0.005       0.016       0.128   
   255.000       0.085      -0.017       0.010       0.102   
   254.000       0.034      -0.005       0.001       0.039   
   253.000      -0.040      -0.003       0.001      -0.037   
   252.000      -0.090      -0.030       0.004      -0.061   
   251.000      -0.114      -0.042       0.005      -0.072   
   250.000      -0.132      -0.072       0.004      -0.060   
   249.000      -0.131      -0.118       0.000      -0.013   
   248.000      -0.201      -0.175       0.001      -0.026   
   247.000      -0.245      -0.254       0.000       0.009   
   246.000      -0.327      -0.366       0.002       0.039   
   245.000      -0.394      -0.512       0.014       0.118   
   244.000      -0.483      -0.656       0.030       0.173   
   243.000      -0.552      -0.829       0.077       0.277   
   242.000      -0.731      -1.054       0.104       0.323   
   241.000      -0.945      -1.316       0.138       0.371   
   240.000      -1.232      -1.636       0.164       0.405   
   239.000      -1.649      -2.079       0.185       0.430   
   238.000      -2.139      -2.557       0.174       0.417   
   237.000      -2.701      -3.125       0.180       0.424   
   236.000      -3.325      -3.766       0.194       0.441   
   235.000      -4.117      -4.505       0.151       0.388   
   234.000      -5.010      -5.315       0.093       0.305   
   233.000      -6.012      -6.233       0.049       0.221   
   232.000      -7.045      -7.203       0.025       0.158   
   231.000      -7.976      -8.177       0.040       0.201   
   230.000      -8.654      -9.152       0.248       0.498   
   229.000      -9.162      -10.072       0.828       0.910   
   228.000      -9.549      -10.921       1.882       1.372   
   227.000      -9.925      -11.682       3.089       1.758   
   226.000      -10.296      -12.355       4.241       2.059   
   225.000      -10.656      -12.911       5.085       2.255   
   224.000      -11.002      -13.332       5.430       2.330   
   223.000      -11.250      -13.626       5.647       2.376   
   222.000      -11.456      -13.812       5.551       2.356   
   221.000      -11.612      -13.912       5.286       2.299   
   220.000      -11.762      -13.960       4.828       2.197   
   219.000      -11.857      -13.953       4.392       2.096   
   218.000      -11.994      -13.878       3.548       1.884   
   217.000      -12.070      -13.824       3.076       1.754   
   216.000      -12.132      -13.762       2.659       1.631   
   215.000      -12.196      -13.763       2.455       1.567   
   214.000      -12.408      -13.830       2.023       1.422   
   213.000      -12.661      -14.008       1.815       1.347   
   212.000      -13.021      -14.299       1.634       1.278   
   211.000      -13.521      -14.770       1.561       1.249   
   210.000      -14.167      -15.286       1.252       1.119   
   209.000      -14.816      -15.791       0.951       0.975   
   208.000      -15.316      -16.084       0.590       0.768   
   207.000      -15.430      -16.022       0.350       0.592   
   206.000      -14.990      -15.551       0.316       0.562   
   205.000      -13.966      -14.632       0.444       0.666   
   204.000      -12.366      -13.178       0.660       0.812   
   203.000      -10.290      -11.248       0.917       0.958   
   202.000      -7.626      -8.805       1.391       1.179   
   201.000      -4.397      -5.806       1.987       1.409   
   200.000      -0.718      -2.337       2.622       1.619   
   199.000       3.322       1.484       3.378       1.838   
   198.000       7.428       5.448       3.919       1.980   
   197.000      11.058       9.155       3.622       1.903   
   196.000      14.095      12.390       2.908       1.705   
   195.000      16.489      15.064       2.030       1.425   
   194.000      18.057      17.173       0.782       0.884   
   193.000      19.159      18.728       0.186       0.431   
   192.000      19.782      19.736       0.002       0.047   
   191.000      19.805      20.119       0.098      -0.313   
   190.000      19.441      19.932       0.240      -0.490   
   189.000      18.572      19.179       0.369      -0.607   
   188.000      17.134      18.033       0.809      -0.899   
   187.000      15.374      16.661       1.657      -1.287   
   186.000      13.432      15.117       2.838      -1.685   
   185.000      11.451      13.510       4.241      -2.059   
   184.000       9.694      11.787       4.384      -2.094   
   183.000       7.930       9.952       4.088      -2.022   
   182.000       6.391       8.267       3.521      -1.876   
   181.000       4.831       6.737       3.634      -1.906   
   180.000       3.564       5.371       3.267      -1.807   
   179.000       2.528       4.123       2.542      -1.594   
   178.000       1.605       2.865       1.589      -1.260   
   177.000       0.750       1.689       0.883      -0.940   
   176.000      -0.012       0.621       0.401      -0.633   
   175.000      -0.893      -0.381       0.262      -0.512   

#matches         RMSD        MUSE        NRMSD
#     95         1.172       0.889       0.124

#Estimated SS error of the protein model (calibration curve 1):
#dSS-est (and standard deviation):  6.32 +/- 3.78 %
#dSS-up & dSS-low (conf. interval): 13.88  -  0.00 %
