#SESCA CD calculation module:
#Workdir: D:\tan\Gottingen\Programs\SESCA_dev\examples\1-Basis_sets
#Target file: Dssp_1tnf.out
#Basis set file: D:/tan\Gottingen\Programs\SESCA_dev\libs\Map_BB_DSSP-T1.dat

#Weighting factors for the calculated CD spectrum:
#           BS1  :   0.020 
#           BS2  :   0.447 
#           BS3  :   0.533 

#   wvlgth       Icalc
   269.000      -0.015   
   268.000      -0.041   
   267.000      -0.004   
   266.000       0.007   
   265.000      -0.004   
   264.000      -0.016   
   263.000      -0.025   
   262.000       0.004   
   261.000       0.038   
   260.000       0.054   
   259.000       0.023   
   258.000       0.000   
   257.000      -0.019   
   256.000      -0.024   
   255.000      -0.011   
   254.000       0.010   
   253.000       0.018   
   252.000       0.021   
   251.000       0.022   
   250.000      -0.013   
   249.000      -0.032   
   248.000      -0.056   
   247.000      -0.059   
   246.000      -0.047   
   245.000      -0.053   
   244.000      -0.080   
   243.000      -0.102   
   242.000      -0.111   
   241.000      -0.097   
   240.000      -0.040   
   239.000       0.017   
   238.000       0.073   
   237.000       0.119   
   236.000       0.142   
   235.000       0.126   
   234.000       0.120   
   233.000       0.053   
   232.000      -0.051   
   231.000      -0.181   
   230.000      -0.354   
   229.000      -0.573   
   228.000      -0.836   
   227.000      -1.189   
   226.000      -1.578   
   225.000      -2.015   
   224.000      -2.486   
   223.000      -2.969   
   222.000      -3.420   
   221.000      -3.865   
   220.000      -4.271   
   219.000      -4.669   
   218.000      -5.018   
   217.000      -5.268   
   216.000      -5.380   
   215.000      -5.407   
   214.000      -5.317   
   213.000      -5.204   
   212.000      -5.039   
   211.000      -4.807   
   210.000      -4.579   
   209.000      -4.368   
   208.000      -4.130   
   207.000      -3.935   
   206.000      -3.755   
   205.000      -3.543   
   204.000      -3.356   
   203.000      -3.081   
   202.000      -2.691   
   201.000      -2.212   
   200.000      -1.687   
   199.000      -1.106   
   198.000      -0.540   
   197.000      -0.005   
   196.000       0.491   
   195.000       0.916   
   194.000       1.261   
   193.000       1.532   
   192.000       1.763   
   191.000       1.812   
   190.000       1.696   
   189.000       1.383   
   188.000       0.812   
   187.000      -0.028   
   186.000      -1.016   
   185.000      -2.173   
   184.000      -3.456   
   183.000      -4.765   
   182.000      -6.121   
   181.000      -7.465   
   180.000      -8.699   
   179.000      -9.836   
   178.000      -10.853   
