#/home/gnagy/Programs/SESCA/examples/1-TNF/CD_calc
#Reference: ../CD_TNF.dat
#Target: ../DSSP/Dssp_1tnf.out
#CD_ref: ../../../libs/Map_DSSP-1.dat

#Weigthing factors calc. CD spectrum:
#           BS1  :   0.020 
#           BS2  :   0.447 
#           BS3  :   0.011 
#           BS4  :   0.522 

# wvlght    Vexp    Vsim     dev   diff
   178.000   -7.849     -11.166    3.317     3.317      
  179.000   -6.926     -10.289    3.363     3.363      
  180.000   -5.903     -9.297    3.394     3.394      
  181.000   -4.782     -8.236    3.454     3.454      
  182.000   -3.595     -7.065    3.470     3.470      
  183.000   -2.375     -5.922    3.547     3.547      
  184.000   -1.187     -4.777    3.590     3.590      
  185.000   -0.033     -3.680    3.647     3.647      
  186.000   1.022     -2.711    3.733     3.733      
  187.000   1.979     -1.877    3.856     3.856      
  188.000   2.737     -1.130    3.867     3.867      
  189.000   3.331     -0.618    3.949     3.949      
  190.000   3.694     -0.251    3.945     3.945      
  191.000   3.826     -0.064    3.890     3.890      
  192.000   3.925     0.038    3.887     3.887      
  193.000   3.925     0.079    3.846     3.846      
  194.000   3.826     0.140    3.686     3.686      
  195.000   3.694     0.184    3.510     3.510      
  196.000   3.694     0.232    3.462     3.462      
  197.000   3.892     0.207    3.685     3.685      
  198.000   4.221     0.157    4.064     4.064      
  199.000   4.617     0.065    4.552     4.552      
  200.000   4.947     -0.140    5.087     5.087      
  201.000   5.145     -0.388    5.533     5.533      
  202.000   5.013     -0.736    5.749     5.749      
  203.000   4.683     -1.143    5.826     5.826      
  204.000   4.155     -1.573    5.728     5.728      
  205.000   3.397     -2.018    5.415     5.415      
  206.000   2.572     -2.530    5.102     5.102      
  207.000   1.682     -3.008    4.690     4.690      
  208.000   0.890     -3.487    4.377     4.377      
  209.000   0.198     -3.941    4.139     4.139      
  210.000   -0.363     -4.303    3.940     3.940      
  211.000   -0.890     -4.651    3.761     3.761      
  212.000   -1.385     -4.962    3.577     3.577      
  213.000   -1.781     -5.192    3.411     3.411      
  214.000   -2.144     -5.353    3.209     3.209      
  215.000   -2.441     -5.456    3.015     3.015      
  216.000   -2.638     -5.413    2.775     2.775      
  217.000   -2.803     -5.278    2.475     2.475      
  218.000   -2.935     -5.012    2.077     2.077      
  219.000   -3.067     -4.638    1.571     1.571      
  220.000   -3.133     -4.205    1.072     1.072      
  221.000   -3.166     -3.763    0.597     0.597      
  222.000   -3.133     -3.269    0.136     0.136      
  223.000   -3.067     -2.777    0.290     -0.290      
  224.000   -3.001     -2.272    0.729     -0.729      
  225.000   -2.902     -1.793    1.109     -1.109      
  226.000   -2.803     -1.364    1.439     -1.439      
  227.000   -2.671     -1.015    1.656     -1.656      
  228.000   -2.506     -0.692    1.814     -1.814      
  229.000   -2.309     -0.455    1.854     -1.854      
  230.000   -2.111     -0.255    1.856     -1.856      
  231.000   -1.913     -0.095    1.818     -1.818      
  232.000   -1.682     0.013    1.695     -1.695      
  233.000   -1.451     0.079    1.530     -1.530      
  234.000   -1.220     0.114    1.334     -1.334      
  235.000   -0.989     0.079    1.068     -1.068      
  236.000   -0.792     0.073    0.865     -0.865      
  237.000   -0.660     0.041    0.701     -0.701      
  238.000   -0.561     0.009    0.570     -0.570      
  239.000   -0.495     -0.015    0.480     -0.480      
  240.000   -0.495     -0.045    0.450     -0.450      
  241.000   -0.462     -0.087    0.375     -0.375      
  242.000   -0.429     -0.083    0.346     -0.346      
  243.000   -0.363     -0.075    0.288     -0.288      
  244.000   -0.330     -0.059    0.271     -0.271      
  245.000   -0.297     -0.032    0.265     -0.265      
  246.000   -0.264     -0.027    0.237     -0.237      
  247.000   -0.231     -0.036    0.195     -0.195      
  248.000   -0.198     -0.024    0.174     -0.174      
  249.000   -0.165     0.006    0.171     -0.171      
  250.000   -0.165     0.018    0.183     -0.183      
  251.000   -0.132     0.057    0.189     -0.189      
  252.000   -0.132     0.047    0.179     -0.179      
  253.000   -0.099     0.034    0.133     -0.133      
  254.000   -0.066     0.026    0.092     -0.092      
  255.000   -0.033     0.002    0.035     -0.035      
  256.000   0.000     -0.026    0.026     0.026      
  257.000   0.033     -0.007    0.040     0.040      
  258.000   0.000     0.008    0.008     -0.008      
  259.000   0.000     0.039    0.039     -0.039      
  260.000   -0.033     0.083    0.116     -0.116      

#matches     RMSD     MUSE
#     83        2.908        2.284
