#/home/gnagy/Programs/SESCA/examples/1-TNF/CD_calc
#Reference: ../CD_TNF.dat
#Target: ../DSSP/Dssp_1tnf.out
#CD_ref: ../../../libs/Map_DSSP1.dat

#Weigthing factors calc. CD spectrum:
#          GRP1  :   0.020 
#          GRP2  :   0.447 
#          GRP7  :   0.011 
#          GRP8  :   0.522 

# wvlght    Vexp    Vsim     dev   diff
   178.000   -7.849     -11.625    3.776     3.776      
  179.000   -6.926     -10.737    3.811     3.811      
  180.000   -5.903     -9.702    3.799     3.799      
  181.000   -4.782     -8.615    3.833     3.833      
  182.000   -3.595     -7.426    3.831     3.831      
  183.000   -2.375     -6.256    3.881     3.881      
  184.000   -1.187     -5.112    3.925     3.925      
  185.000   -0.033     -4.001    3.968     3.968      
  186.000   1.022     -2.991    4.013     4.013      
  187.000   1.979     -2.156    4.135     4.135      
  188.000   2.737     -1.406    4.143     4.143      
  189.000   3.331     -0.905    4.236     4.236      
  190.000   3.694     -0.600    4.294     4.294      
  191.000   3.826     -0.484    4.310     4.310      
  192.000   3.925     -0.463    4.388     4.388      
  193.000   3.925     -0.504    4.429     4.429      
  194.000   3.826     -0.468    4.294     4.294      
  195.000   3.694     -0.405    4.099     4.099      
  196.000   3.694     -0.315    4.009     4.009      
  197.000   3.892     -0.296    4.188     4.188      
  198.000   4.221     -0.279    4.500     4.500      
  199.000   4.617     -0.289    4.906     4.906      
  200.000   4.947     -0.411    5.358     5.358      
  201.000   5.145     -0.581    5.726     5.726      
  202.000   5.013     -0.862    5.875     5.875      
  203.000   4.683     -1.239    5.922     5.922      
  204.000   4.155     -1.645    5.800     5.800      
  205.000   3.397     -2.087    5.484     5.484      
  206.000   2.572     -2.604    5.176     5.176      
  207.000   1.682     -3.086    4.768     4.768      
  208.000   0.890     -3.566    4.456     4.456      
  209.000   0.198     -4.016    4.214     4.214      
  210.000   -0.363     -4.364    4.001     4.001      
  211.000   -0.890     -4.692    3.802     3.802      
  212.000   -1.385     -4.981    3.596     3.596      
  213.000   -1.781     -5.197    3.416     3.416      
  214.000   -2.144     -5.343    3.199     3.199      
  215.000   -2.441     -5.425    2.984     2.984      
  216.000   -2.638     -5.365    2.727     2.727      
  217.000   -2.803     -5.206    2.403     2.403      
  218.000   -2.935     -4.912    1.977     1.977      
  219.000   -3.067     -4.506    1.439     1.439      
  220.000   -3.133     -4.047    0.914     0.914      
  221.000   -3.166     -3.572    0.406     0.406      
  222.000   -3.133     -3.054    0.079     -0.079      
  223.000   -3.067     -2.543    0.524     -0.524      
  224.000   -3.001     -2.014    0.987     -0.987      
  225.000   -2.902     -1.519    1.383     -1.383      
  226.000   -2.803     -1.085    1.718     -1.718      
  227.000   -2.671     -0.751    1.920     -1.920      
  228.000   -2.506     -0.457    2.049     -2.049      
  229.000   -2.309     -0.260    2.049     -2.049      
  230.000   -2.111     -0.089    2.022     -2.022      
  231.000   -1.913     0.044    1.957     -1.957      
  232.000   -1.682     0.145    1.827     -1.827      
  233.000   -1.451     0.208    1.659     -1.659      
  234.000   -1.220     0.239    1.459     -1.459      
  235.000   -0.989     0.200    1.189     -1.189      
  236.000   -0.792     0.187    0.979     -0.979      
  237.000   -0.660     0.137    0.797     -0.797      
  238.000   -0.561     0.086    0.647     -0.647      
  239.000   -0.495     0.054    0.549     -0.549      
  240.000   -0.495     0.014    0.509     -0.509      
  241.000   -0.462     -0.035    0.427     -0.427      
  242.000   -0.429     -0.038    0.391     -0.391      
  243.000   -0.363     -0.036    0.327     -0.327      
  244.000   -0.330     -0.027    0.303     -0.303      
  245.000   -0.297     -0.004    0.293     -0.293      
  246.000   -0.264     0.000    0.264     -0.264      
  247.000   -0.231     -0.014    0.217     -0.217      
  248.000   -0.198     -0.009    0.189     -0.189      
  249.000   -0.165     0.023    0.188     -0.188      
  250.000   -0.165     0.032    0.197     -0.197      
  251.000   -0.132     0.073    0.205     -0.205      
  252.000   -0.132     0.065    0.197     -0.197      
  253.000   -0.099     0.047    0.146     -0.146      
  254.000   -0.066     0.037    0.103     -0.103      
  255.000   -0.033     0.017    0.050     -0.050      
  256.000   0.000     -0.015    0.015     0.015      
  257.000   0.033     0.010    0.023     0.023      
  258.000   0.000     0.027    0.027     -0.027      
  259.000   0.000     0.057    0.057     -0.057      
  260.000   -0.033     0.108    0.141     -0.141      

#matches     RMSD     MUSE
#     83        3.089        2.439
