#/home/gnagy/Programs/SESCA/examples/1-TNF/CD_calc
#Reference: 
#Target: ../DSSP/Dssp_1tnf.out
#CD_ref: ../../../libs/Set_DSSP-F.dat

#Weigthing factors calc. CD spectrum:
#       3-Helix  :   0.020 
#       4-Helix  :   0.000 
#       5-Helix  :   0.000 
#          Bend  :   0.169 
#   Beta-Bridge  :   0.011 
#   Beta-strand  :   0.447 
#          Turn  :   0.081 
#  Unclassified  :   0.272 

# wvlght    Isim
 269.000       -0.009
 268.000       0.031
 267.000       0.041
 266.000       0.055
 265.000       0.041
 264.000       0.024
 263.000       0.005
 262.000       0.018
 261.000       0.023
 260.000       0.050
 259.000       0.047
 258.000       0.038
 257.000       0.021
 256.000       -0.016
 255.000       -0.035
 254.000       -0.015
 253.000       -0.018
 252.000       -0.011
 251.000       0.002
 250.000       -0.031
 249.000       -0.049
 248.000       -0.070
 247.000       -0.089
 246.000       -0.098
 245.000       -0.116
 244.000       -0.156
 243.000       -0.190
 242.000       -0.217
 241.000       -0.219
 240.000       -0.183
 239.000       -0.182
 238.000       -0.185
 237.000       -0.187
 236.000       -0.176
 235.000       -0.167
 234.000       -0.130
 233.000       -0.178
 232.000       -0.277
 231.000       -0.420
 230.000       -0.643
 229.000       -0.900
 228.000       -1.208
 227.000       -1.582
 226.000       -1.995
 225.000       -2.482
 224.000       -3.040
 223.000       -3.616
 222.000       -4.176
 221.000       -4.729
 220.000       -5.230
 219.000       -5.731
 218.000       -6.154
 217.000       -6.478
 216.000       -6.655
 215.000       -6.726
 214.000       -6.618
 213.000       -6.471
 212.000       -6.193
 211.000       -5.843
 210.000       -5.434
 209.000       -4.948
 208.000       -4.350
 207.000       -3.704
 206.000       -2.988
 205.000       -2.246
 204.000       -1.561
 203.000       -0.881
 202.000       -0.286
 201.000       0.260
 200.000       0.736
 199.000       1.132
 198.000       1.424
 197.000       1.615
 196.000       1.737
 195.000       1.813
 194.000       1.941
 193.000       1.999
 192.000       2.083
 191.000       2.065
 190.000       1.902
 189.000       1.517
 188.000       0.901
 187.000       -0.039
 186.000       -1.107
 185.000       -2.307
 184.000       -3.620
 183.000       -4.973
 182.000       -6.317
 181.000       -7.643
 180.000       -8.855
 179.000       -10.008
 178.000       -11.010
 177.000       -11.801
 176.000       -12.434
 175.000       -12.877
