#/home/gnagy/Programs/SESCA/examples/1-TNF/CD_calc
#Reference: ../CD_TNF.dat
#Target: CD_comp_DSSP-F.out
# wvlght    Vexp    Vsim     dev   diff
   178.000   -7.849     -11.010    3.161     3.161      
  179.000   -6.926     -10.008    3.082     3.082      
  180.000   -5.903     -8.855    2.952     2.952      
  181.000   -4.782     -7.643    2.861     2.861      
  182.000   -3.595     -6.317    2.722     2.722      
  183.000   -2.375     -4.973    2.598     2.598      
  184.000   -1.187     -3.620    2.433     2.433      
  185.000   -0.033     -2.307    2.274     2.274      
  186.000   1.022     -1.107    2.129     2.129      
  187.000   1.979     -0.039    2.018     2.018      
  188.000   2.737     0.901    1.836     1.836      
  189.000   3.331     1.517    1.814     1.814      
  190.000   3.694     1.902    1.792     1.792      
  191.000   3.826     2.065    1.761     1.761      
  192.000   3.925     2.083    1.842     1.842      
  193.000   3.925     1.999    1.926     1.926      
  194.000   3.826     1.941    1.885     1.885      
  195.000   3.694     1.813    1.881     1.881      
  196.000   3.694     1.737    1.957     1.957      
  197.000   3.892     1.615    2.277     2.277      
  198.000   4.221     1.424    2.797     2.797      
  199.000   4.617     1.132    3.485     3.485      
  200.000   4.947     0.736    4.211     4.211      
  201.000   5.145     0.260    4.885     4.885      
  202.000   5.013     -0.286    5.299     5.299      
  203.000   4.683     -0.881    5.564     5.564      
  204.000   4.155     -1.561    5.716     5.716      
  205.000   3.397     -2.246    5.643     5.643      
  206.000   2.572     -2.988    5.560     5.560      
  207.000   1.682     -3.704    5.386     5.386      
  208.000   0.890     -4.350    5.240     5.240      
  209.000   0.198     -4.948    5.146     5.146      
  210.000   -0.363     -5.434    5.071     5.071      
  211.000   -0.890     -5.843    4.953     4.953      
  212.000   -1.385     -6.193    4.808     4.808      
  213.000   -1.781     -6.471    4.690     4.690      
  214.000   -2.144     -6.618    4.474     4.474      
  215.000   -2.441     -6.726    4.285     4.285      
  216.000   -2.638     -6.655    4.017     4.017      
  217.000   -2.803     -6.478    3.675     3.675      
  218.000   -2.935     -6.154    3.219     3.219      
  219.000   -3.067     -5.731    2.664     2.664      
  220.000   -3.133     -5.230    2.097     2.097      
  221.000   -3.166     -4.729    1.563     1.563      
  222.000   -3.133     -4.176    1.043     1.043      
  223.000   -3.067     -3.616    0.549     0.549      
  224.000   -3.001     -3.040    0.039     0.039      
  225.000   -2.902     -2.482    0.420     -0.420      
  226.000   -2.803     -1.995    0.808     -0.808      
  227.000   -2.671     -1.582    1.089     -1.089      
  228.000   -2.506     -1.208    1.298     -1.298      
  229.000   -2.309     -0.900    1.409     -1.409      
  230.000   -2.111     -0.643    1.468     -1.468      
  231.000   -1.913     -0.420    1.493     -1.493      
  232.000   -1.682     -0.277    1.405     -1.405      
  233.000   -1.451     -0.178    1.273     -1.273      
  234.000   -1.220     -0.130    1.090     -1.090      
  235.000   -0.989     -0.167    0.822     -0.822      
  236.000   -0.792     -0.176    0.616     -0.616      
  237.000   -0.660     -0.187    0.473     -0.473      
  238.000   -0.561     -0.185    0.376     -0.376      
  239.000   -0.495     -0.182    0.313     -0.313      
  240.000   -0.495     -0.183    0.312     -0.312      
  241.000   -0.462     -0.219    0.243     -0.243      
  242.000   -0.429     -0.217    0.212     -0.212      
  243.000   -0.363     -0.190    0.173     -0.173      
  244.000   -0.330     -0.156    0.174     -0.174      
  245.000   -0.297     -0.116    0.181     -0.181      
  246.000   -0.264     -0.098    0.166     -0.166      
  247.000   -0.231     -0.089    0.142     -0.142      
  248.000   -0.198     -0.070    0.128     -0.128      
  249.000   -0.165     -0.049    0.116     -0.116      
  250.000   -0.165     -0.031    0.134     -0.134      
  251.000   -0.132     0.002    0.134     -0.134      
  252.000   -0.132     -0.011    0.121     -0.121      
  253.000   -0.099     -0.018    0.081     -0.081      
  254.000   -0.066     -0.015    0.051     -0.051      
  255.000   -0.033     -0.035    0.002     0.002      
  256.000   0.000     -0.016    0.016     0.016      
  257.000   0.033     0.021    0.012     0.012      
  258.000   0.000     0.038    0.038     -0.038      
  259.000   0.000     0.047    0.047     -0.047      
  260.000   -0.033     0.050    0.083     -0.083      

#matches     RMSD     MUSE
#     83        2.714        2.026
