#SESCA CD calculation module:
#Workdir: /home/gnagy/Programs/SESCA_dev/examples/1-Basis_sets
#Reference file: CD_TNF.dat
#Target file: Dssp_1tnf.out
#Basis set file: 
#    /home/gnagy/Programs/SESCA_dev/libs/Map_DSSP-1.dat

#Weighting factors for the calculated CD spectrum:
#         Helix  :   0.020 
#          Beta  :   0.447 
#        Bridge  :   0.011 
#         Other  :   0.522 

#   wvlgth       Iref        Icalc       dev         diff
   178.000      -7.849      -11.166      11.005       3.317   
   179.000      -6.926      -10.289      11.307       3.363   
   180.000      -5.903      -9.297      11.518       3.394   
   181.000      -4.782      -8.236      11.930       3.454   
   182.000      -3.595      -7.065      12.042       3.470   
   183.000      -2.375      -5.922      12.578       3.547   
   184.000      -1.187      -4.777      12.886       3.590   
   185.000      -0.033      -3.680      13.299       3.647   
   186.000       1.022      -2.711      13.937       3.733   
   187.000       1.979      -1.877      14.865       3.856   
   188.000       2.737      -1.130      14.955       3.867   
   189.000       3.331      -0.618      15.596       3.949   
   190.000       3.694      -0.251      15.565       3.945   
   191.000       3.826      -0.064      15.132       3.890   
   192.000       3.925       0.038      15.109       3.887   
   193.000       3.925       0.079      14.789       3.846   
   194.000       3.826       0.140      13.589       3.686   
   195.000       3.694       0.184      12.317       3.510   
   196.000       3.694       0.232      11.985       3.462   
   197.000       3.892       0.207      13.576       3.685   
   198.000       4.221       0.157      16.519       4.064   
   199.000       4.617       0.065      20.725       4.552   
   200.000       4.947      -0.140      25.880       5.087   
   201.000       5.145      -0.388      30.619       5.533   
   202.000       5.013      -0.736      33.055       5.749   
   203.000       4.683      -1.143      33.937       5.826   
   204.000       4.155      -1.573      32.814       5.728   
   205.000       3.397      -2.018      29.325       5.415   
   206.000       2.572      -2.530      26.033       5.102   
   207.000       1.682      -3.008      22.001       4.690   
   208.000       0.890      -3.487      19.160       4.377   
   209.000       0.198      -3.941      17.134       4.139   
   210.000      -0.363      -4.303      15.524       3.940   
   211.000      -0.890      -4.651      14.148       3.761   
   212.000      -1.385      -4.962      12.797       3.577   
   213.000      -1.781      -5.192      11.638       3.411   
   214.000      -2.144      -5.353      10.296       3.209   
   215.000      -2.441      -5.456       9.091       3.015   
   216.000      -2.638      -5.413       7.702       2.775   
   217.000      -2.803      -5.278       6.127       2.475   
   218.000      -2.935      -5.012       4.312       2.077   
   219.000      -3.067      -4.638       2.467       1.571   
   220.000      -3.133      -4.205       1.149       1.072   
   221.000      -3.166      -3.763       0.356       0.597   
   222.000      -3.133      -3.269       0.019       0.136   
   223.000      -3.067      -2.777       0.084      -0.290   
   224.000      -3.001      -2.272       0.532      -0.729   
   225.000      -2.902      -1.793       1.230      -1.109   
   226.000      -2.803      -1.364       2.071      -1.439   
   227.000      -2.671      -1.015       2.741      -1.656   
   228.000      -2.506      -0.692       3.289      -1.814   
   229.000      -2.309      -0.455       3.436      -1.854   
   230.000      -2.111      -0.255       3.445      -1.856   
   231.000      -1.913      -0.095       3.304      -1.818   
   232.000      -1.682       0.013       2.872      -1.695   
   233.000      -1.451       0.079       2.342      -1.530   
   234.000      -1.220       0.114       1.780      -1.334   
   235.000      -0.989       0.079       1.141      -1.068   
   236.000      -0.792       0.073       0.748      -0.865   
   237.000      -0.660       0.041       0.492      -0.701   
   238.000      -0.561       0.009       0.325      -0.570   
   239.000      -0.495      -0.015       0.230      -0.480   
   240.000      -0.495      -0.045       0.202      -0.450   
   241.000      -0.462      -0.087       0.141      -0.375   
   242.000      -0.429      -0.083       0.120      -0.346   
   243.000      -0.363      -0.075       0.083      -0.288   
   244.000      -0.330      -0.059       0.073      -0.271   
   245.000      -0.297      -0.032       0.070      -0.265   
   246.000      -0.264      -0.027       0.056      -0.237   
   247.000      -0.231      -0.036       0.038      -0.195   
   248.000      -0.198      -0.024       0.030      -0.174   
   249.000      -0.165       0.006       0.029      -0.171   
   250.000      -0.165       0.018       0.034      -0.183   
   251.000      -0.132       0.057       0.036      -0.189   
   252.000      -0.132       0.047       0.032      -0.179   
   253.000      -0.099       0.034       0.018      -0.133   
   254.000      -0.066       0.026       0.008      -0.092   
   255.000      -0.033       0.002       0.001      -0.035   
   256.000       0.000      -0.026       0.001       0.026   
   257.000       0.033      -0.007       0.002       0.040   
   258.000       0.000       0.008       0.000      -0.008   
   259.000       0.000       0.039       0.002      -0.039   
   260.000      -0.033       0.083       0.014      -0.116   

#matches         RMSD        MUSE        NRMSD
#     83         2.908       2.284       1.036

#Estimated SS error of the protein model (calibration curve 1):
#dSS-est (and standard deviation):  15.05 +/- 7.62 %
#dSS-up & dSS-low (conf. interval): 30.29  -  0.00 %
