#SESCA CD calculation module:
#Workdir: /home/gnagy/Programs/SESCA_dev/examples/1-Basis_sets
#Reference file: CD_TNF.dat
#Target file: Dssp_1tnf.out
#Basis set file: 
#    ../../libs/Set_DSSP-F.dat

#Weighting factors for the calculated CD spectrum:
#       3-Helix  :   0.020 
#       4-Helix  :   0.000 
#       5-Helix  :   0.000 
#          Bend  :   0.169 
#   Beta-Bridge  :   0.011 
#   Beta-strand  :   0.447 
#          Turn  :   0.081 
#  Unclassified  :   0.272 

#   wvlgth       Iref        Icalc       dev         diff
   178.000      -7.849      -11.010       9.992       3.161   
   179.000      -6.926      -10.008       9.497       3.082   
   180.000      -5.903      -8.855       8.713       2.952   
   181.000      -4.782      -7.643       8.186       2.861   
   182.000      -3.595      -6.317       7.411       2.722   
   183.000      -2.375      -4.973       6.747       2.598   
   184.000      -1.187      -3.620       5.920       2.433   
   185.000      -0.033      -2.307       5.172       2.274   
   186.000       1.022      -1.107       4.531       2.129   
   187.000       1.979      -0.039       4.070       2.018   
   188.000       2.737       0.901       3.372       1.836   
   189.000       3.331       1.517       3.291       1.814   
   190.000       3.694       1.902       3.209       1.792   
   191.000       3.826       2.065       3.102       1.761   
   192.000       3.925       2.083       3.394       1.842   
   193.000       3.925       1.999       3.709       1.926   
   194.000       3.826       1.941       3.554       1.885   
   195.000       3.694       1.813       3.538       1.881   
   196.000       3.694       1.737       3.830       1.957   
   197.000       3.892       1.615       5.183       2.277   
   198.000       4.221       1.424       7.826       2.797   
   199.000       4.617       1.132      12.142       3.485   
   200.000       4.947       0.736      17.735       4.211   
   201.000       5.145       0.260      23.863       4.885   
   202.000       5.013      -0.286      28.077       5.299   
   203.000       4.683      -0.881      30.959       5.564   
   204.000       4.155      -1.561      32.678       5.716   
   205.000       3.397      -2.246      31.845       5.643   
   206.000       2.572      -2.988      30.911       5.560   
   207.000       1.682      -3.704      29.004       5.386   
   208.000       0.890      -4.350      27.453       5.240   
   209.000       0.198      -4.948      26.481       5.146   
   210.000      -0.363      -5.434      25.711       5.071   
   211.000      -0.890      -5.843      24.533       4.953   
   212.000      -1.385      -6.193      23.120       4.808   
   213.000      -1.781      -6.471      21.995       4.690   
   214.000      -2.144      -6.618      20.018       4.474   
   215.000      -2.441      -6.726      18.365       4.285   
   216.000      -2.638      -6.655      16.136       4.017   
   217.000      -2.803      -6.478      13.504       3.675   
   218.000      -2.935      -6.154      10.362       3.219   
   219.000      -3.067      -5.731       7.096       2.664   
   220.000      -3.133      -5.230       4.398       2.097   
   221.000      -3.166      -4.729       2.443       1.563   
   222.000      -3.133      -4.176       1.087       1.043   
   223.000      -3.067      -3.616       0.301       0.549   
   224.000      -3.001      -3.040       0.002       0.039   
   225.000      -2.902      -2.482       0.176      -0.420   
   226.000      -2.803      -1.995       0.653      -0.808   
   227.000      -2.671      -1.582       1.186      -1.089   
   228.000      -2.506      -1.208       1.684      -1.298   
   229.000      -2.309      -0.900       1.985      -1.409   
   230.000      -2.111      -0.643       2.154      -1.468   
   231.000      -1.913      -0.420       2.229      -1.493   
   232.000      -1.682      -0.277       1.975      -1.405   
   233.000      -1.451      -0.178       1.620      -1.273   
   234.000      -1.220      -0.130       1.188      -1.090   
   235.000      -0.989      -0.167       0.676      -0.822   
   236.000      -0.792      -0.176       0.380      -0.616   
   237.000      -0.660      -0.187       0.224      -0.473   
   238.000      -0.561      -0.185       0.142      -0.376   
   239.000      -0.495      -0.182       0.098      -0.313   
   240.000      -0.495      -0.183       0.097      -0.312   
   241.000      -0.462      -0.219       0.059      -0.243   
   242.000      -0.429      -0.217       0.045      -0.212   
   243.000      -0.363      -0.190       0.030      -0.173   
   244.000      -0.330      -0.156       0.030      -0.174   
   245.000      -0.297      -0.116       0.033      -0.181   
   246.000      -0.264      -0.098       0.028      -0.166   
   247.000      -0.231      -0.089       0.020      -0.142   
   248.000      -0.198      -0.070       0.016      -0.128   
   249.000      -0.165      -0.049       0.013      -0.116   
   250.000      -0.165      -0.031       0.018      -0.134   
   251.000      -0.132       0.002       0.018      -0.134   
   252.000      -0.132      -0.011       0.015      -0.121   
   253.000      -0.099      -0.018       0.007      -0.081   
   254.000      -0.066      -0.015       0.003      -0.051   
   255.000      -0.033      -0.035       0.000       0.002   
   256.000       0.000      -0.016       0.000       0.016   
   257.000       0.033       0.021       0.000       0.012   
   258.000       0.000       0.038       0.001      -0.038   
   259.000       0.000       0.047       0.002      -0.047   
   260.000      -0.033       0.050       0.007      -0.083   

#matches         RMSD        MUSE        NRMSD
#     83         2.714       2.026       0.967
