#SESCA CD calculation module:
#Workdir: /home/gnagy/Programs/SESCA_dev/examples/1-Basis_sets
#Reference file: CD_TNF.dat
#Target file: Dssp_1tnf.out
#Basis set file: 
#    /home/gnagy/Programs/SESCA_dev/libs/Map_DSSP-T.dat

#Weighting factors for the calculated CD spectrum:
#         Helix  :   0.020 
#         Sheet  :   0.447 
#          Coil  :   0.533 

#   wvlgth       Iref        Icalc       dev         diff
   178.000      -7.849      -10.439       6.709       2.590   
   179.000      -6.926      -9.530       6.782       2.604   
   180.000      -5.903      -8.511       6.799       2.608   
   181.000      -4.782      -7.422       6.971       2.640   
   182.000      -3.595      -6.231       6.947       2.636   
   183.000      -2.375      -5.041       7.110       2.666   
   184.000      -1.187      -3.904       7.382       2.717   
   185.000      -0.033      -2.834       7.845       2.801   
   186.000       1.022      -1.905       8.565       2.927   
   187.000       1.979      -1.126       9.639       3.105   
   188.000       2.737      -0.460      10.219       3.197   
   189.000       3.331      -0.032      11.307       3.363   
   190.000       3.694       0.220      12.066       3.474   
   191.000       3.826       0.325      12.256       3.501   
   192.000       3.925       0.293      13.190       3.632   
   193.000       3.925       0.140      14.328       3.785   
   194.000       3.826      -0.010      14.713       3.836   
   195.000       3.694      -0.180      15.005       3.874   
   196.000       3.694      -0.344      16.301       4.038   
   197.000       3.892      -0.535      19.597       4.427   
   198.000       4.221      -0.759      24.801       4.980   
   199.000       4.617      -1.031      31.901       5.648   
   200.000       4.947      -1.360      39.779       6.307   
   201.000       5.145      -1.684      46.631       6.829   
   202.000       5.013      -2.023      49.512       7.036   
   203.000       4.683      -2.344      49.372       7.027   
   204.000       4.155      -2.616      45.846       6.771   
   205.000       3.397      -2.849      39.018       6.246   
   206.000       2.572      -3.128      32.493       5.700   
   207.000       1.682      -3.390      25.724       5.072   
   208.000       0.890      -3.669      20.786       4.559   
   209.000       0.198      -3.973      17.400       4.171   
   210.000      -0.363      -4.225      14.916       3.862   
   211.000      -0.890      -4.472      12.832       3.582   
   212.000      -1.385      -4.703      11.012       3.318   
   213.000      -1.781      -4.874       9.564       3.093   
   214.000      -2.144      -4.995       8.127       2.851   
   215.000      -2.441      -5.088       7.004       2.647   
   216.000      -2.638      -5.053       5.832       2.415   
   217.000      -2.803      -4.933       4.539       2.130   
   218.000      -2.935      -4.688       3.074       1.753   
   219.000      -3.067      -4.350       1.646       1.283   
   220.000      -3.133      -3.959       0.683       0.826   
   221.000      -3.166      -3.555       0.151       0.389   
   222.000      -3.133      -3.107       0.001      -0.026   
   223.000      -3.067      -2.660       0.166      -0.407   
   224.000      -3.001      -2.204       0.635      -0.797   
   225.000      -2.902      -1.777       1.266      -1.125   
   226.000      -2.803      -1.382       2.020      -1.421   
   227.000      -2.671      -1.037       2.669      -1.634   
   228.000      -2.506      -0.728       3.160      -1.778   
   229.000      -2.309      -0.493       3.296      -1.816   
   230.000      -2.111      -0.298       3.287      -1.813   
   231.000      -1.913      -0.148       3.115      -1.765   
   232.000      -1.682      -0.033       2.718      -1.649   
   233.000      -1.451       0.054       2.265      -1.505   
   234.000      -1.220       0.107       1.760      -1.327   
   235.000      -0.989       0.107       1.200      -1.096   
   236.000      -0.792       0.118       0.828      -0.910   
   237.000      -0.660       0.093       0.568      -0.753   
   238.000      -0.561       0.059       0.384      -0.620   
   239.000      -0.495       0.022       0.267      -0.517   
   240.000      -0.495      -0.017       0.229      -0.478   
   241.000      -0.462      -0.058       0.164      -0.404   
   242.000      -0.429      -0.061       0.135      -0.368   
   243.000      -0.363      -0.058       0.093      -0.305   
   244.000      -0.330      -0.047       0.080      -0.283   
   245.000      -0.297      -0.033       0.070      -0.264   
   246.000      -0.264      -0.030       0.055      -0.234   
   247.000      -0.231      -0.035       0.038      -0.196   
   248.000      -0.198      -0.021       0.031      -0.177   
   249.000      -0.165       0.002       0.028      -0.167   
   250.000      -0.165       0.013       0.032      -0.178   
   251.000      -0.132       0.035       0.028      -0.167   
   252.000      -0.132       0.031       0.027      -0.163   
   253.000      -0.099       0.031       0.017      -0.130   
   254.000      -0.066       0.034       0.010      -0.100   
   255.000      -0.033       0.022       0.003      -0.055   
   256.000       0.000       0.005       0.000      -0.005   
   257.000       0.033       0.010       0.001       0.023   
   258.000       0.000       0.023       0.001      -0.023   
   259.000       0.000       0.046       0.002      -0.046   
   260.000      -0.033       0.072       0.011      -0.105   

#matches         RMSD        MUSE        NRMSD
#     83         3.000       2.262       1.069

#Estimated SS error of the protein model (calibration curve 1):
#dSS-est (and standard deviation):  12.65 +/- 6.05 %
#dSS-up & dSS-low (conf. interval): 24.75  -  0.55 %
