#SESCA CD calculation module:
#Workdir: D:\tan\Gottingen\Programs\SESCA_dev\examples\1-Basis_sets
#Reference file: CD_TNF.dat
#Target file: Dssp_1tnf.out + Seq_1tnf.out
#Basis set file: 
#    D:/tan\Gottingen\Programs\SESCA_dev\libs\Map_BB_DSSP-T1.dat
#    D:/tan\Gottingen\Programs\SESCA_dev\libs\Map_SC_DSSP-T1.dat

#Weighting factors for the calculated CD spectrum:
#           BS1  :   0.020 
#           BS2  :   0.447 
#           BS3  :   0.533 

#   wvlgth       Iref        Icalc       dev         diff
   178.000      -7.849      -10.252       5.774       2.403   
   179.000      -6.926      -9.218       5.253       2.292   
   180.000      -5.903      -8.085       4.761       2.182   
   181.000      -4.782      -6.845       4.256       2.063   
   182.000      -3.595      -5.500       3.629       1.905   
   183.000      -2.375      -4.150       3.151       1.775   
   184.000      -1.187      -2.847       2.756       1.660   
   185.000      -0.033      -1.604       2.468       1.571   
   186.000       1.022      -0.501       2.320       1.523   
   187.000       1.979       0.442       2.362       1.537   
   188.000       2.737       1.255       2.196       1.482   
   189.000       3.331       1.785       2.390       1.546   
   190.000       3.694       2.085       2.589       1.609   
   191.000       3.826       2.178       2.716       1.648   
   192.000       3.925       2.088       3.375       1.837   
   193.000       3.925       1.819       4.435       2.106   
   194.000       3.826       1.515       5.341       2.311   
   195.000       3.694       1.127       6.589       2.567   
   196.000       3.694       0.680       9.084       3.014   
   197.000       3.892       0.166      13.883       3.726   
   198.000       4.221      -0.387      21.234       4.608   
   199.000       4.617      -0.947      30.958       5.564   
   200.000       4.947      -1.495      41.499       6.442   
   201.000       5.145      -2.008      51.165       7.153   
   202.000       5.013      -2.485      56.220       7.498   
   203.000       4.683      -2.893      57.396       7.576   
   204.000       4.155      -3.192      53.978       7.347   
   205.000       3.397      -3.388      46.036       6.785   
   206.000       2.572      -3.587      37.933       6.159   
   207.000       1.682      -3.760      29.615       5.442   
   208.000       0.890      -3.941      23.339       4.831   
   209.000       0.198      -4.164      19.027       4.362   
   210.000      -0.363      -4.366      16.024       4.003   
   211.000      -0.890      -4.589      13.683       3.699   
   212.000      -1.385      -4.815      11.765       3.430   
   213.000      -1.781      -4.974      10.195       3.193   
   214.000      -2.144      -5.079       8.614       2.935   
   215.000      -2.441      -5.156       7.371       2.715   
   216.000      -2.638      -5.127       6.195       2.489   
   217.000      -2.803      -5.008       4.862       2.205   
   218.000      -2.935      -4.762       3.338       1.827   
   219.000      -3.067      -4.417       1.822       1.350   
   220.000      -3.133      -4.022       0.790       0.889   
   221.000      -3.166      -3.617       0.203       0.451   
   222.000      -3.133      -3.176       0.002       0.043   
   223.000      -3.067      -2.734       0.111      -0.333   
   224.000      -3.001      -2.268       0.537      -0.733   
   225.000      -2.902      -1.823       1.164      -1.079   
   226.000      -2.803      -1.411       1.938      -1.392   
   227.000      -2.671      -1.050       2.628      -1.621   
   228.000      -2.506      -0.731       3.151      -1.775   
   229.000      -2.309      -0.495       3.291      -1.814   
   230.000      -2.111      -0.304       3.265      -1.807   
   231.000      -1.913      -0.151       3.105      -1.762   
   232.000      -1.682      -0.032       2.722      -1.650   
   233.000      -1.451       0.054       2.265      -1.505   
   234.000      -1.220       0.112       1.774      -1.332   
   235.000      -0.989       0.119       1.228      -1.108   
   236.000      -0.792       0.124       0.839      -0.916   
   237.000      -0.660       0.099       0.576      -0.759   
   238.000      -0.561       0.058       0.383      -0.619   
   239.000      -0.495       0.007       0.252      -0.502   
   240.000      -0.495      -0.040       0.207      -0.455   
   241.000      -0.462      -0.087       0.141      -0.375   
   242.000      -0.429      -0.095       0.112      -0.334   
   243.000      -0.363      -0.088       0.076      -0.275   
   244.000      -0.330      -0.076       0.065      -0.254   
   245.000      -0.297      -0.058       0.057      -0.239   
   246.000      -0.264      -0.051       0.045      -0.213   
   247.000      -0.231      -0.061       0.029      -0.170   
   248.000      -0.198      -0.056       0.020      -0.142   
   249.000      -0.165      -0.042       0.015      -0.123   
   250.000      -0.165      -0.030       0.018      -0.135   
   251.000      -0.132       0.004       0.018      -0.136   
   252.000      -0.132       0.014       0.021      -0.146   
   253.000      -0.099       0.015       0.013      -0.114   
   254.000      -0.066       0.014       0.006      -0.080   
   255.000      -0.033      -0.012       0.000      -0.021   
   256.000       0.000      -0.030       0.001       0.030   
   257.000       0.033      -0.022       0.003       0.055   
   258.000       0.000      -0.003       0.000       0.003   
   259.000       0.000       0.018       0.000      -0.018   
   260.000      -0.033       0.048       0.007      -0.081   

#matches         RMSD        MUSE
#     83         2.847       2.022

#Estimated SS error of the protein model:
#dSS-est (assuming weak error correlations):  12.77 +/- 3.82 %
#dSS-up & dSS-low (assuming strong corr.):    27.18  -  0.17 %
