#SESCA CD calculation module:
#Workdir: /home/gnagy/Programs/SESCA_dev/examples/2-Advanced_calc
#Target file: Dssp_1hnn.out
#Basis set file: ../../libs/Map_BB_DSSP-1SC3.dat

#Weighting factors for the calculated CD spectrum:
#         Helix  :   0.375 
#        Strand  :   0.244 
#        Bridge  :   0.008 
#         Other  :   0.373 

#   wvlgth       Icalc
   269.000       0.029   
   268.000       0.058   
   267.000       0.025   
   266.000      -0.004   
   265.000      -0.017   
   264.000      -0.012   
   263.000      -0.006   
   262.000      -0.013   
   261.000      -0.020   
   260.000      -0.008   
   259.000       0.004   
   258.000       0.014   
   257.000      -0.004   
   256.000      -0.021   
   255.000      -0.034   
   254.000      -0.023   
   253.000      -0.021   
   252.000      -0.040   
   251.000      -0.061   
   250.000      -0.089   
   249.000      -0.119   
   248.000      -0.152   
   247.000      -0.198   
   246.000      -0.266   
   245.000      -0.373   
   244.000      -0.496   
   243.000      -0.643   
   242.000      -0.846   
   241.000      -1.077   
   240.000      -1.343   
   239.000      -1.719   
   238.000      -2.140   
   237.000      -2.625   
   236.000      -3.160   
   235.000      -3.760   
   234.000      -4.425   
   233.000      -5.198   
   232.000      -6.064   
   231.000      -6.985   
   230.000      -7.945   
   229.000      -8.892   
   228.000      -9.809   
   227.000      -10.680   
   226.000      -11.495   
   225.000      -12.237   
   224.000      -12.873   
   223.000      -13.405   
   222.000      -13.818   
   221.000      -14.126   
   220.000      -14.333   
   219.000      -14.468   
   218.000      -14.510   
   217.000      -14.509   
   216.000      -14.452   
   215.000      -14.363   
   214.000      -14.253   
   213.000      -14.177   
   212.000      -14.108   
   211.000      -14.088   
   210.000      -14.047   
   209.000      -13.876   
   208.000      -13.373   
   207.000      -12.421   
   206.000      -10.943   
   205.000      -8.980   
   204.000      -6.600   
   203.000      -3.864   
   202.000      -0.808   
   201.000       2.579   
   200.000       6.242   
   199.000      10.100   
   198.000      13.896   
   197.000      17.298   
   196.000      20.063   
   195.000      22.029   
   194.000      23.234   
   193.000      23.738   
   192.000      23.628   
   191.000      22.929   
   190.000      21.699   
   189.000      19.911   
   188.000      17.810   
   187.000      15.501   
   186.000      13.151   
   185.000      10.907   
   184.000       8.714   
   183.000       6.585   
   182.000       4.678   
   181.000       2.969   
   180.000       1.460   
   179.000       0.138   
   178.000      -1.084   
