#SESCA CD calculation module:
#Workdir: /home/osvaldo/spc_shiny_servers/circularDichroismApp/appFiles/ChiraKit/SESCA_v097/examples/2-Advanced_calc
#Reference file: CD_pemt.dat
#Target file: Dssp_1hnn.out + Seq_1hnn.out
#Basis set file: 
#    /home/osvaldo/spc_shiny_servers/circularDichroismApp/appFiles/ChiraKit/SESCA_v097/libs/Map_BB_DSSP-1SC3.dat
#    /home/osvaldo/spc_shiny_servers/circularDichroismApp/appFiles/ChiraKit/SESCA_v097/libs/Map_SC_DSSP-1SC3.dat

#Weighting factors for the calculated CD spectrum:
#         Helix  :   0.375 
#        Strand  :   0.244 
#        Bridge  :   0.008 
#         Other  :   0.373 

#   wvlgth       Iref        Icalc       dev         diff
   269.000      -0.003       0.025       0.001      -0.029   
   268.000       0.118       0.044       0.005       0.074   
   267.000       0.339       0.015       0.105       0.324   
   266.000       0.015      -0.012       0.001       0.027   
   265.000      -0.117      -0.017       0.010      -0.101   
   264.000      -0.155      -0.008       0.022      -0.147   
   263.000       0.020       0.005       0.000       0.015   
   262.000       0.252      -0.013       0.070       0.265   
   261.000       0.497      -0.026       0.273       0.523   
   260.000       0.210      -0.018       0.052       0.228   
   259.000      -0.082      -0.009       0.005      -0.073   
   258.000      -0.169       0.004       0.030      -0.172   
   257.000      -0.215      -0.015       0.040      -0.200   
   256.000      -0.116      -0.038       0.006      -0.078   
   255.000       0.183      -0.050       0.054       0.233   
   254.000       0.271      -0.037       0.095       0.308   
   253.000       0.175      -0.034       0.044       0.209   
   252.000       0.271      -0.046       0.100       0.317   
   251.000       0.145      -0.082       0.052       0.228   
   250.000      -0.082      -0.110       0.001       0.028   
   249.000      -0.198      -0.134       0.004      -0.063   
   248.000      -0.208      -0.157       0.003      -0.052   
   247.000      -0.196      -0.188       0.000      -0.008   
   246.000      -0.153      -0.245       0.009       0.092   
   245.000      -0.262      -0.345       0.007       0.083   
   244.000      -0.466      -0.454       0.000      -0.011   
   243.000      -0.717      -0.584       0.018      -0.132   
   242.000      -0.977      -0.771       0.042      -0.206   
   241.000      -1.269      -0.990       0.078      -0.279   
   240.000      -1.556      -1.253       0.092      -0.303   
   239.000      -2.021      -1.614       0.165      -0.407   
   238.000      -2.547      -2.015       0.283      -0.532   
   237.000      -3.128      -2.467       0.436      -0.660   
   236.000      -3.723      -2.973       0.561      -0.749   
   235.000      -4.503      -3.535       0.937      -0.968   
   234.000      -5.191      -4.166       1.049      -1.024   
   233.000      -5.978      -4.889       1.187      -1.089   
   232.000      -6.821      -5.700       1.255      -1.120   
   231.000      -7.621      -6.567       1.111      -1.054   
   230.000      -8.168      -7.469       0.488      -0.699   
   229.000      -8.629      -8.353       0.076      -0.276   
   228.000      -8.924      -9.198       0.075       0.274   
   227.000      -9.312      -9.992       0.463       0.680   
   226.000      -9.601      -10.740       1.297       1.139   
   225.000      -9.809      -11.404       2.547       1.596   
   224.000      -9.855      -11.969       4.470       2.114   
   223.000      -9.939      -12.431       6.211       2.492   
   222.000      -10.153      -12.779       6.895       2.626   
   221.000      -10.344      -13.026       7.195       2.682   
   220.000      -10.589      -13.191       6.770       2.602   
   219.000      -10.678      -13.272       6.729       2.594   
