#SESCA CD calculation module:
#Workdir: /home/gnagy/Programs/SESCA_dev/examples/2-Advanced_calc
#Target file: CD_pemt.dat
#Scaling factor applied to target: 1.100

#   wvlgth       Icalc
   250.000      -0.091   
   249.000      -0.217   
   248.000      -0.229   
   247.000      -0.215   
   246.000      -0.168   
   245.000      -0.288   
   244.000      -0.512   
   243.000      -0.788   
   242.000      -1.074   
   241.000      -1.396   
   240.000      -1.711   
   239.000      -2.223   
   238.000      -2.802   
   237.000      -3.441   
   236.000      -4.095   
   235.000      -4.954   
   234.000      -5.710   
   233.000      -6.576   
   232.000      -7.503   
   231.000      -8.384   
   230.000      -8.985   
   229.000      -9.492   
   228.000      -9.816   
   227.000      -10.244   
   226.000      -10.562   
   225.000      -10.789   
   224.000      -10.841   
   223.000      -10.933   
   222.000      -11.169   
   221.000      -11.378   
   220.000      -11.648   
   219.000      -11.746   
   218.000      -11.654   
   217.000      -11.646   
   216.000      -11.701   
   215.000      -11.729   
   214.000      -12.058   
   213.000      -12.352   
   212.000      -12.465   
   211.000      -12.383   
   210.000      -12.414   
   209.000      -12.551   
   208.000      -12.304   
   207.000      -11.989   
   206.000      -10.789   
   205.000      -8.881   
   204.000      -6.788   
   203.000      -4.109   
   202.000      -0.809   
   201.000       2.436   
   200.000       6.206   
   199.000      10.068   
   198.000      13.564   
   197.000      16.839   
   196.000      19.518   
   195.000      21.507   
   194.000      22.787   
   193.000      23.414   
   192.000      23.527   
   191.000      22.895   
   190.000      21.688   
   189.000      19.883   
   188.000      17.498   
   187.000      15.225   
   186.000      13.142   
   185.000      11.018   
   184.000       9.060   
   183.000       7.028   
   182.000       4.941   
   181.000       3.737   
   180.000       2.497   
   179.000       1.213   
   178.000       0.320   
   177.000      -0.878   
   176.000      -1.858   
   175.000      -2.742   
