#SESCA CD calculation module:
#Workdir: /home/gnagy/Programs/SESCA_dev/examples/2-Advanced_calc
#Reference file: CD_pemt.dat
#Target file: Dssp_1hnn.out + Seq_1hnn.out
#Basis set file: 
#    /home/gnagy/Programs/SESCA_dev/libs/Map_BB_DSSP-1SC3.dat
#    /home/gnagy/Programs/SESCA_dev/libs/Map_SC_DSSP-1SC3.dat
#Scaling factor applied to reference: 1.111

#Weighting factors for the calculated CD spectrum:
#         Helix  :   0.375 
#        Strand  :   0.244 
#        Bridge  :   0.008 
#         Other  :   0.373 

#   wvlgth       Iref        Icalc       dev         diff
   250.000      -0.091      -0.111       0.000       0.020   
   249.000      -0.220      -0.134       0.007      -0.086   
   248.000      -0.232      -0.157       0.006      -0.075   
   247.000      -0.217      -0.188       0.001      -0.029   
   246.000      -0.170      -0.246       0.006       0.076   
   245.000      -0.291      -0.346       0.003       0.055   
   244.000      -0.518      -0.455       0.004      -0.063   
   243.000      -0.797      -0.584       0.045      -0.213   
   242.000      -1.085      -0.771       0.099      -0.314   
   241.000      -1.411      -0.990       0.177      -0.421   
   240.000      -1.729      -1.252       0.228      -0.477   
   239.000      -2.246      -1.615       0.398      -0.631   
   238.000      -2.831      -2.015       0.666      -0.816   
   237.000      -3.476      -2.468       1.017      -1.008   
   236.000      -4.137      -2.974       1.354      -1.163   
   235.000      -5.005      -3.535       2.162      -1.470   
   234.000      -5.769      -4.166       2.570      -1.603   
   233.000      -6.644      -4.888       3.085      -1.756   
   232.000      -7.581      -5.701       3.535      -1.880   
   231.000      -8.471      -6.567       3.625      -1.904   
   230.000      -9.079      -7.470       2.588      -1.609   
   229.000      -9.591      -8.353       1.533      -1.238   
   228.000      -9.919      -9.198       0.519      -0.721   
   227.000      -10.350      -9.992       0.128      -0.358   
   226.000      -10.672      -10.741       0.005       0.069   
   225.000      -10.902      -11.405       0.253       0.503   
   224.000      -10.954      -11.969       1.030       1.015   
   223.000      -11.047      -12.431       1.916       1.384   
   222.000      -11.285      -12.780       2.234       1.495   
   221.000      -11.497      -13.026       2.337       1.529   
   220.000      -11.770      -13.191       2.019       1.421   
   219.000      -11.869      -13.272       1.969       1.403   
   218.000      -11.776      -13.272       2.239       1.496   
   217.000      -11.768      -13.240       2.168       1.472   
   216.000      -11.823      -13.167       1.807       1.344   
   215.000      -11.851      -13.066       1.476       1.215   
   214.000      -12.184      -12.976       0.627       0.792   
   213.000      -12.481      -12.910       0.184       0.429   
   212.000      -12.595      -12.854       0.067       0.259   
   211.000      -12.512      -12.859       0.121       0.347   
   210.000      -12.543      -12.845       0.091       0.302   
   209.000      -12.682      -12.716       0.001       0.034   
   208.000      -12.433      -12.274       0.025      -0.159   
   207.000      -12.114      -11.398       0.513      -0.716   
   206.000      -10.901      -9.999       0.814      -0.902   
   205.000      -8.973      -8.141       0.693      -0.832   
   204.000      -6.859      -5.877       0.964      -0.982   
   203.000      -4.152      -3.257       0.801      -0.895   
   202.000      -0.817      -0.341       0.227      -0.476   
   201.000       2.461       2.873       0.169      -0.412   
   200.000       6.271       6.346       0.006      -0.075   
   199.000      10.173       9.996       0.031       0.177   
   198.000      13.706      13.618       0.008       0.088   
   197.000      17.015      16.910       0.011       0.105   
   196.000      19.722      19.606       0.013       0.116   
   195.000      21.732      21.539       0.037       0.193   
   194.000      23.025      22.743       0.080       0.282   
   193.000      23.658      23.257       0.161       0.401   
   192.000      23.773      23.184       0.346       0.589   
   191.000      23.134      22.552       0.339       0.582   
   190.000      21.914      21.419       0.245       0.495   
   189.000      20.090      19.740       0.123       0.350   
   188.000      17.680      17.794       0.013      -0.114   
   187.000      15.384      15.662       0.078      -0.278   
   186.000      13.280      13.506       0.051      -0.226   
   185.000      11.133      11.461       0.108      -0.328   
   184.000       9.155       9.484       0.109      -0.329   
   183.000       7.101       7.564       0.214      -0.463   
   182.000       4.992       5.851       0.738      -0.859   
   181.000       3.776       4.318       0.294      -0.542   
   180.000       2.523       2.951       0.183      -0.428   
   179.000       1.225       1.758       0.284      -0.533   
   178.000       0.324       0.641       0.101      -0.317   

#matches         RMSD        MUSE        NRMSD
#     73         0.845       0.654       0.075

#Estimated SS error of the protein model (calibration curve 2):
#dSS-est (and standard deviation):  12.46 +/- 7.18 %
#dSS-up & dSS-low (conf. interval): 26.82  -  0.00 %
