#SESCA CD calculation module:
#Workdir: /home/gnagy/Programs/SESCA_dev/examples/2-Advanced_calc
#Reference file: CD_pemt_edited.dat
#Target file: Comb_pred.out

#   wvlgth       Int1        Int2        dev         diff
   250.000      -0.091      -0.111       0.000       0.020   
   249.000      -0.217      -0.134       0.007      -0.083   
   248.000      -0.229      -0.157       0.005      -0.072   
   247.000      -0.215      -0.188       0.001      -0.027   
   246.000      -0.168      -0.246       0.006       0.078   
   245.000      -0.288      -0.346       0.003       0.058   
   244.000      -0.512      -0.455       0.003      -0.057   
   243.000      -0.788      -0.584       0.042      -0.204   
   242.000      -1.074      -0.771       0.092      -0.303   
   241.000      -1.396      -0.990       0.165      -0.406   
   240.000      -1.711      -1.252       0.211      -0.459   
   239.000      -2.223      -1.615       0.370      -0.608   
   238.000      -2.802      -2.015       0.619      -0.787   
   237.000      -3.441      -2.468       0.947      -0.973   
   236.000      -4.095      -2.974       1.257      -1.121   
   235.000      -4.954      -3.535       2.014      -1.419   
   234.000      -5.710      -4.166       2.384      -1.544   
   233.000      -6.576      -4.888       2.849      -1.688   
   232.000      -7.503      -5.701       3.247      -1.802   
   231.000      -8.384      -6.567       3.301      -1.817   
   230.000      -8.985      -7.470       2.295      -1.515   
   229.000      -9.492      -8.353       1.297      -1.139   
   228.000      -9.816      -9.198       0.382      -0.618   
   227.000      -10.244      -9.992       0.064      -0.252   
   226.000      -10.562      -10.741       0.032       0.179   
   225.000      -10.789      -11.405       0.379       0.616   
   224.000      -10.841      -11.969       1.272       1.128   
   223.000      -10.933      -12.431       2.244       1.498   
   222.000      -11.169      -12.780       2.595       1.611   
   221.000      -11.378      -13.026       2.716       1.648   
   220.000      -11.648      -13.191       2.381       1.543   
   219.000      -11.746      -13.272       2.329       1.526   
   218.000      -11.654      -13.272       2.618       1.618   
   217.000      -11.646      -13.240       2.541       1.594   
   216.000      -11.701      -13.167       2.149       1.466   
   215.000      -11.729      -13.066       1.788       1.337   
   214.000      -12.058      -12.976       0.843       0.918   
   213.000      -12.352      -12.910       0.311       0.558   
   212.000      -12.465      -12.854       0.151       0.389   
   211.000      -12.383      -12.859       0.227       0.476   
   210.000      -12.414      -12.845       0.186       0.431   
   209.000      -12.551      -12.716       0.027       0.165   
   208.000      -12.304      -12.274       0.001      -0.030   
   207.000      -11.989      -11.398       0.349      -0.591   
   206.000      -10.789      -9.999       0.624      -0.790   
   205.000      -8.881      -8.141       0.548      -0.740   
   204.000      -6.788      -5.877       0.830      -0.911   
   203.000      -4.109      -3.257       0.726      -0.852   
   202.000      -0.809      -0.341       0.219      -0.468   
   201.000       2.436       2.873       0.191      -0.437   
   200.000       6.206       6.346       0.020      -0.140   
   199.000      10.068       9.996       0.005       0.072   
   198.000      13.564      13.618       0.003      -0.054   
   197.000      16.839      16.910       0.005      -0.071   
   196.000      19.518      19.606       0.008      -0.088   
   195.000      21.507      21.539       0.001      -0.032   
   194.000      22.787      22.743       0.002       0.044   
   193.000      23.414      23.257       0.025       0.157   
   192.000      23.527      23.184       0.118       0.343   
   191.000      22.895      22.552       0.118       0.343   
   190.000      21.688      21.419       0.072       0.269   
   189.000      19.883      19.740       0.020       0.143   
   188.000      17.498      17.794       0.088      -0.296   
   187.000      15.225      15.662       0.191      -0.437   
   186.000      13.142      13.506       0.132      -0.364   
   185.000      11.018      11.461       0.196      -0.443   
   184.000       9.060       9.484       0.180      -0.424   
   183.000       7.028       7.564       0.287      -0.536   
   182.000       4.941       5.851       0.828      -0.910   
   181.000       3.737       4.318       0.338      -0.581   
   180.000       2.497       2.951       0.206      -0.454   
   179.000       1.213       1.758       0.297      -0.545   
   178.000       0.320       0.641       0.103      -0.321   

#matches         RMSD        MUSE        NRMSD
#     73         0.853       0.653       0.076

#Experimental entries with no match found: 3
# 177.000     -0.878
# 176.000     -1.858
# 175.000     -2.742
