#SESCA CD calculation module:
#Workdir: /home/osvaldo/spc_shiny_servers/circularDichroismApp/appFiles/ChiraKit/SESCA_v097/examples/2-Advanced_calc
#Target file: Seq_1hnn.out
#Basis set file: /home/osvaldo/spc_shiny_servers/circularDichroismApp/appFiles/ChiraKit/SESCA_v097/libs/Map_SC_DSSP-1SC3.dat

#Weighting factors for the calculated CD spectrum:
#          GRP1  :   0.143 
#          GRP2  :   0.031 
#          GRP3  :   0.144 
#          GRP4  :   0.191 
#          GRP5  :   0.290 
#          GRP6  :   0.201 

#   wvlgth       Icalc
   269.000      -0.003   
   268.000      -0.013   
   267.000      -0.010   
   266.000      -0.008   
   265.000       0.000   
   264.000       0.004   
   263.000       0.010   
   262.000      -0.000   
   261.000      -0.006   
   260.000      -0.010   
   259.000      -0.013   
   258.000      -0.011   
   257.000      -0.011   
   256.000      -0.017   
   255.000      -0.016   
   254.000      -0.014   
   253.000      -0.013   
   252.000      -0.006   
   251.000      -0.021   
   250.000      -0.022   
   249.000      -0.015   
   248.000      -0.005   
   247.000       0.010   
   246.000       0.020   
   245.000       0.027   
   244.000       0.041   
   243.000       0.059   
   242.000       0.075   
   241.000       0.087   
   240.000       0.091   
   239.000       0.104   
   238.000       0.125   
   237.000       0.157   
   236.000       0.186   
   235.000       0.225   
   234.000       0.259   
   233.000       0.310   
   232.000       0.363   
   231.000       0.418   
   230.000       0.475   
   229.000       0.539   
   228.000       0.611   
   227.000       0.688   
   226.000       0.754   
   225.000       0.832   
   224.000       0.904   
   223.000       0.974   
   222.000       1.038   
   221.000       1.100   
   220.000       1.142   
   219.000       1.196   
   218.000       1.238   
   217.000       1.269   
   216.000       1.285   
   215.000       1.297   
   214.000       1.277   
   213.000       1.267   
   212.000       1.254   
   211.000       1.229   
   210.000       1.202   
   209.000       1.160   
   208.000       1.099   
   207.000       1.023   
   206.000       0.944   
   205.000       0.839   
   204.000       0.723   
   203.000       0.607   
   202.000       0.467   
   201.000       0.294   
   200.000       0.104   
   199.000      -0.104   
   198.000      -0.278   
   197.000      -0.388   
   196.000      -0.457   
   195.000      -0.490   
   194.000      -0.491   
   193.000      -0.481   
   192.000      -0.444   
   191.000      -0.377   
   190.000      -0.280   
   189.000      -0.171   
   188.000      -0.016   
   187.000       0.161   
   186.000       0.355   
   185.000       0.554   
   184.000       0.770   
   183.000       0.979   
   182.000       1.173   
   181.000       1.349   
   180.000       1.491   
   179.000       1.620   
   178.000       1.725   
