#Derived Basis Spectrum set for calculating CD spectra
#Spectrum files: spectrum_files.inp
#Structure files: Dssp_files.inp
#Number of decomposed  spectra: 9

#Combination matrix for Structural Properties:
#Basis/     3-Helix    4-Helix    5-Helix    Bend       Beta-Bridge  Beta-strand  Turn       Unclassified 
#  Alpha :   0.0000     1.0000     1.0000     0.0000     0.0000     0.0000     0.0000     0.0000   
#   Beta :   0.0000     0.0000     0.0000     0.0000     0.0000     1.0000     0.0000     0.0000   
#   Turn :   1.0000     0.0000     0.0000     0.0000     0.0000     0.0000     1.0000     0.0000   
#   Coil :   0.0000     0.0000     0.0000     1.0000     1.0000     0.0000     0.0000     1.0000   


#Detemrined Basis spectra:
#|  Wavelength      Alpha          Beta           Turn           Coil           
#      nm         CD(kMRE)       CD(kMRE)       CD(kMRE)       CD(kMRE)     
     178.0        23.4738        -13.0462        -26.1123        2.8510     
     179.0        25.5871        -12.6470        -27.0814        4.8421     
     180.0        27.7399        -12.2840        -27.4806        6.6067     
     181.0        30.0730        -11.1272        -26.9651        7.0231     
     182.0        32.8679        -9.1707        -25.9593        6.3032     
     183.0        36.2936        -6.7596        -25.0299        5.1013     
     184.0        40.1942        -3.9383        -24.0842        3.4868     
     185.0        44.5205        -0.7146        -23.2806        1.4488     
     186.0        49.3301        2.9472        -22.0653        -1.4071     
     187.0        54.8410        7.2025        -20.3098        -5.4462     
     188.0        60.9004        12.0706        -18.4502        -10.4174     
     189.0        67.2942        17.5280        -16.6707        -16.1838     
     190.0        73.4427        23.3487        -14.6187        -22.6924     
     191.0        78.6699        29.1650        -11.5767        -29.8468     
     192.0        82.3647        34.3138        -7.6720        -36.7393     
     193.0        84.0921        38.3206        -3.5147        -42.3807     
     194.0        83.9616        41.2159        -0.2873        -46.4093     
     195.0        81.8884        42.8732        0.7819        -48.2549     
     196.0        77.3837        43.1672        -0.0426        -47.9155     
     197.0        69.7662        41.8427        -1.9084        -45.3032     
     198.0        59.4604        38.9348        -5.0908        -40.4454     
     199.0        47.0429        34.5565        -9.4619        -33.4845     
     200.0        33.9507        29.2160        -14.2027        -25.6702     
     201.0        21.4708        23.8206        -18.5438        -18.2641     
     202.0        10.1148        18.6856        -22.3203        -11.6293     
     203.0        0.1354        14.1033        -25.4331        -6.0423     
     204.0        -8.6180        10.1081        -26.6407        -2.0065     
     205.0        -16.1406        6.5346        -25.3458        0.2835     
     206.0        -22.1684        3.3260        -22.9680        1.5716     
     207.0        -26.4797        0.4146        -21.1010        2.7996     
     208.0        -29.2714        -2.2546        -19.1906        3.8002     
     209.0        -30.8733        -4.5560        -16.3457        4.1822     
     210.0        -31.5569        -6.4258        -13.4045        4.1451     
     211.0        -31.6164        -7.6528        -11.4016        4.0225     
     212.0        -31.5537        -8.6100        -9.9632        3.9527     
     213.0        -31.7341        -9.4923        -8.6057        3.9679     
     214.0        -32.2565        -10.3263        -7.0515        3.9385     
     215.0        -33.0425        -11.0109        -5.5739        3.9496     
     216.0        -33.9472        -11.4074        -4.0824        3.8001     
     217.0        -34.7892        -11.5346        -2.7016        3.5372     
     218.0        -35.6361        -11.5510        -1.1823        3.2647     
     219.0        -36.4948        -11.5102        0.4326        2.9798     
     220.0        -37.2909        -11.4693        2.0946        2.7495     
     221.0        -37.9705        -11.3209        3.7308        2.5078     
     222.0        -38.2474        -10.9800        5.0670        2.1456     
     223.0        -38.0308        -10.5437        5.9919        1.8559     
     224.0        -37.3319        -9.8377        6.5511        1.5088     
     225.0        -36.1444        -8.8786        6.6235        1.2227     
     226.0        -34.5727        -7.7489        6.2176        1.0139     
     227.0        -32.6347        -6.6527        5.3268        1.0361     
     228.0        -30.2788        -5.5045        3.9321        1.2094     
     229.0        -27.5595        -4.3742        2.0380        1.6593     
     230.0        -24.5441        -3.4401        -0.0909        2.2559     
     231.0        -21.3585        -2.7477        -2.0598        2.7156     
     232.0        -18.3557        -2.3969        -3.2195        2.9390     
     233.0        -15.6151        -2.1486        -3.6514        2.9301     
     234.0        -13.1373        -2.0610        -3.5042        2.7763     
     235.0        -10.7871        -1.8947        -3.2881        2.4860     
     236.0        -8.6724        -1.7425        -2.9109        2.1182     
     237.0        -6.9007        -1.5654        -2.2940        1.6755     
     238.0        -5.4163        -1.3526        -1.6013        1.1818     
     239.0        -4.1405        -1.0649        -1.3863        0.8505     
     240.0        -3.0739        -0.8216        -1.3685        0.6610     
     241.0        -2.1925        -0.6447        -1.4086        0.5289     
     242.0        -1.5463        -0.5551        -1.4302        0.5486     
     243.0        -1.0511        -0.4405        -1.3452        0.5346     
     244.0        -0.6371        -0.2166        -1.3591        0.4734     
     245.0        -0.3025        0.0548        -1.3476        0.3347     
     246.0        -0.0451        0.3038        -1.2603        0.1683     
     247.0        0.1528        0.4409        -1.2575        0.0728     
     248.0        0.2687        0.4912        -1.2956        0.0497     
     249.0        0.2118        0.3848        -1.0766        0.0703     
     250.0        0.1554        0.3087        -0.8495        0.0886     
     251.0        0.0990        0.2327        -0.6224        0.1070     
     252.0        0.1050        0.2059        -0.5286        0.0783     
     253.0        0.0465        0.1337        -0.2594        0.0499     
     254.0        0.0175        0.1128        -0.1208        0.0345     
     255.0        -0.0073        0.0815        0.0173        0.0113     
     256.0        -0.0120        0.0616        0.0097        0.0214     
     257.0        -0.0167        0.0416        0.0020        0.0316     
     258.0        -0.0125        0.0312        0.0015        0.0237     
     259.0        -0.0083        0.0208        0.0010        0.0158     
     260.0        0.0000        0.0000        0.0000        0.0000     
