#SESCA CD calculation module:
#Workdir: /home/gnagy/Programs/SESCA_dev/examples/3-BS_derivation
#Reference file: EV9_data/CD_PAPN.out
#Target file: EV9_data/Dssp_papn.out
#Basis set file: Basis_spectra.dat

#Weighting factors for the calculated CD spectrum:
#         Alpha  :   0.223 
#          Beta  :   0.171 
#          Turn  :   0.137 
#          Coil  :   0.469 

#   wvlgth       Iref        Icalc       dev         diff
   178.000       4.716       0.763      15.623       3.953   
   179.000       5.837       2.104      13.938       3.733   
   180.000       6.992       3.419      12.764       3.573   
   181.000       8.146       4.403      14.009       3.743   
   182.000       9.300       5.161      17.133       4.139   
   183.000      10.455       5.901      20.736       4.554   
   184.000      11.576       6.626      24.506       4.950   
   185.000      12.598       7.296      28.116       5.302   
   186.000      13.390       7.822      31.005       5.568   
   187.000      13.852       8.124      32.800       5.727   
   188.000      13.918       8.231      32.332       5.686   
   189.000      13.456       8.130      28.367       5.326   
   190.000      12.302       7.725      20.946       4.577   
   191.000      10.356       6.946      11.623       3.409   
   192.000       7.816       5.953       3.471       1.863   
   193.000       4.914       4.947       0.001      -0.033   
   194.000       1.979       3.966       3.949      -1.987   
   195.000      -0.627       3.068      13.650      -3.695   
   196.000      -2.803       2.160      24.634      -4.963   
   197.000      -4.485       1.204      32.371      -5.690   
   198.000      -5.607       0.251      34.314      -5.858   
   199.000      -6.200      -0.601      31.354      -5.599   
   200.000      -6.398      -1.418      24.800      -4.980   
   201.000      -6.464      -2.245      17.800      -4.219   
   202.000      -6.563      -3.061      12.263      -3.502   
   203.000      -6.893      -3.876       9.099      -3.017   
   204.000      -7.519      -4.784       7.482      -2.735   
   205.000      -8.410      -5.821       6.701      -2.589   
   206.000      -9.366      -6.784       6.667      -2.582   
   207.000      -10.092      -7.412       7.182      -2.680   
   208.000      -10.455      -7.760       7.262      -2.695   
   209.000      -10.488      -7.942       6.482      -2.546   
   210.000      -10.290      -8.028       5.114      -2.261   
   211.000      -10.026      -8.035       3.966      -1.991   
   212.000      -9.729      -8.020       2.921      -1.709   
   213.000      -9.465      -8.018       2.095      -1.447   
   214.000      -9.300      -8.078       1.494      -1.222   
   215.000      -9.234      -8.163       1.149      -1.072   
   216.000      -9.267      -8.298       0.940      -0.969   
   217.000      -9.333      -8.442       0.795      -0.892   
   218.000      -9.399      -8.553       0.716      -0.846   
   219.000      -9.498      -8.650       0.720      -0.848   
   220.000      -9.564      -8.701       0.746      -0.864   
   221.000      -9.597      -8.716       0.776      -0.881   
   222.000      -9.630      -8.706       0.854      -0.924   
   223.000      -9.597      -8.593       1.009      -1.005   
   224.000      -9.498      -8.402       1.201      -1.096   
   225.000      -9.234      -8.098       1.292      -1.137   
   226.000      -8.872      -7.707       1.355      -1.164   
   227.000      -8.377      -7.199       1.386      -1.177   
   228.000      -7.783      -6.588       1.430      -1.196   
   229.000      -7.091      -5.836       1.573      -1.254   
   230.000      -6.299      -5.016       1.646      -1.283   
   231.000      -5.508      -4.241       1.603      -1.266   
   232.000      -4.749      -3.566       1.400      -1.183   
   233.000      -4.057      -2.976       1.168      -1.081   
   234.000      -3.463      -2.460       1.006      -1.003   
   235.000      -2.968      -2.014       0.910      -0.954   
   236.000      -2.506      -1.637       0.756      -0.869   
   237.000      -2.111      -1.335       0.602      -0.776   
   238.000      -1.748      -1.104       0.414      -0.644   
   239.000      -1.451      -0.896       0.308      -0.555   
   240.000      -1.187      -0.703       0.234      -0.484   
   241.000      -0.956      -0.544       0.170      -0.412   
   242.000      -0.726      -0.378       0.121      -0.347   
   243.000      -0.528      -0.243       0.081      -0.284   
   244.000      -0.396      -0.143       0.064      -0.252   
   245.000      -0.297      -0.086       0.045      -0.211   
   246.000      -0.198      -0.052       0.021      -0.146   
   247.000      -0.132      -0.029       0.011      -0.103   
   248.000      -0.099      -0.010       0.008      -0.089   
   249.000      -0.066      -0.001       0.004      -0.064   
   250.000      -0.033       0.013       0.002      -0.046   
   251.000       0.000       0.027       0.001      -0.027   
   252.000       0.000       0.023       0.001      -0.023   
   253.000       0.000       0.021       0.000      -0.021   
   254.000       0.000       0.023       0.001      -0.023   
   255.000       0.000       0.020       0.000      -0.020   
   256.000       0.000       0.019       0.000      -0.019   
   257.000       0.000       0.018       0.000      -0.018   
   258.000       0.000       0.014       0.000      -0.014   
   259.000       0.000       0.009       0.000      -0.009   
   260.000       0.000       0.000       0.000       0.000   

#matches         RMSD        MUSE        NRMSD
#     83         2.679       1.948       0.367
