#SESCA CD calculation module:
#Workdir: /home/gnagy/Programs/SESCA_dev/examples/4-Error_analysis
#Target file: DISICL_pdet_1scd.out
#Basis set file: /home/gnagy/Programs/SESCA_dev/libs/Map_BB_DS-dTSC3.dat

#Weighting factors for the calculated CD spectrum:
#         Alpha  :   0.299 
#          Beta  :   0.123 
#          Coil  :   0.578 

#   wvlgth       Icalc
   269.000       0.013   
   268.000       0.046   
   267.000       0.016   
   266.000      -0.003   
   265.000      -0.011   
   264.000      -0.005   
   263.000      -0.010   
   262.000      -0.023   
   261.000      -0.031   
   260.000       0.002   
   259.000       0.031   
   258.000       0.041   
   257.000       0.019   
   256.000      -0.012   
   255.000      -0.032   
   254.000      -0.015   
   253.000      -0.010   
   252.000      -0.036   
   251.000      -0.051   
   250.000      -0.078   
   249.000      -0.109   
   248.000      -0.145   
   247.000      -0.199   
   246.000      -0.283   
   245.000      -0.395   
   244.000      -0.513   
   243.000      -0.655   
   242.000      -0.845   
   241.000      -1.054   
   240.000      -1.308   
   239.000      -1.667   
   238.000      -2.059   
   237.000      -2.525   
   236.000      -3.044   
   235.000      -3.624   
   234.000      -4.263   
   233.000      -5.008   
   232.000      -5.822   
   231.000      -6.679   
   230.000      -7.566   
   229.000      -8.432   
   228.000      -9.263   
   227.000      -10.042   
   226.000      -10.759   
   225.000      -11.396   
   224.000      -11.931   
   223.000      -12.368   
   222.000      -12.703   
   221.000      -12.949   
   220.000      -13.118   
   219.000      -13.230   
   218.000      -13.253   
   217.000      -13.260   
   216.000      -13.223   
   215.000      -13.184   
   214.000      -13.139   
   213.000      -13.152   
   212.000      -13.193   
   211.000      -13.320   
   210.000      -13.446   
   209.000      -13.489   
   208.000      -13.271   
   207.000      -12.682   
   206.000      -11.658   
   205.000      -10.213   
   204.000      -8.361   
   203.000      -6.151   
   202.000      -3.610   
   201.000      -0.700   
   200.000       2.517   
   199.000       5.956   
   198.000       9.408   
   197.000      12.541   
   196.000      15.147   
   195.000      17.127   
   194.000      18.514   
   193.000      19.334   
   192.000      19.649   
   191.000      19.419   
   190.000      18.684   
   189.000      17.438   
   188.000      15.871   
   187.000      14.077   
   186.000      12.183   
   185.000      10.302   
   184.000       8.393   
   183.000       6.475   
   182.000       4.726   
   181.000       3.128   
   180.000       1.702   
   179.000       0.421   
   178.000      -0.789   
