#SESCA CD calculation module:
#Workdir: /home/gnagy/Programs/SESCA_dev/examples/4-Error_analysis
#Reference file: CD_subc.dat
#Target file: DISICL_pdet_1scd.out
#Basis set file: 
#    /home/gnagy/Programs/SESCA_dev/libs/Map_DS-dT.dat

#Weighting factors for the calculated CD spectrum:
#         Alpha  :   0.299 
#          Beta  :   0.123 
#          Coil  :   0.578 

#   wvlgth       Iref        Icalc       dev         diff
   269.000       0.022       0.012       0.000       0.010   
   268.000      -0.009       0.032       0.002      -0.041   
   267.000      -0.271       0.011       0.079      -0.282   
   266.000      -0.150      -0.004       0.022      -0.147   
   265.000      -0.135      -0.008       0.016      -0.127   
   264.000       0.127      -0.003       0.017       0.130   
   263.000       0.310      -0.010       0.102       0.320   
   262.000       0.326      -0.019       0.119       0.345   
   261.000       0.111      -0.023       0.018       0.134   
   260.000      -0.130       0.005       0.018      -0.134   
   259.000      -0.056       0.028       0.007      -0.084   
   258.000      -0.009       0.036       0.002      -0.045   
   257.000      -0.061       0.015       0.006      -0.076   
   256.000      -0.009      -0.006       0.000      -0.003   
   255.000      -0.083      -0.023       0.004      -0.060   
   254.000      -0.412      -0.012       0.160      -0.400   
   253.000      -0.203      -0.008       0.038      -0.194   
   252.000      -0.281      -0.032       0.062      -0.250   
   251.000      -0.376      -0.047       0.108      -0.329   
   250.000      -0.517      -0.072       0.198      -0.445   
   249.000      -0.705      -0.105       0.361      -0.600   
   248.000      -1.025      -0.146       0.772      -0.878   
   247.000      -1.004      -0.202       0.643      -0.802   
   246.000      -1.203      -0.282       0.848      -0.921   
   245.000      -1.580      -0.394       1.406      -1.186   
   244.000      -2.129      -0.509       2.626      -1.620   
   243.000      -2.862      -0.647       4.905      -2.215   
   242.000      -3.611      -0.836       7.700      -2.775   
   241.000      -4.040      -1.050       8.942      -2.990   
   240.000      -4.407      -1.306       9.611      -3.100   
   239.000      -5.003      -1.661      11.169      -3.342   
   238.000      -5.726      -2.049      13.521      -3.677   
   237.000      -6.762      -2.506      18.118      -4.256   
   236.000      -7.961      -3.024      24.379      -4.937   
   235.000      -9.516      -3.612      34.857      -5.904   
   234.000      -11.091      -4.263      46.632      -6.829   
   233.000      -12.992      -5.011      63.700      -7.981   
   232.000      -14.835      -5.824      81.183      -9.010   
   231.000      -16.750      -6.668      101.661      -10.083   
   230.000      -18.619      -7.529      122.999      -11.090   
   229.000      -20.923      -8.363      157.757      -12.560   
   228.000      -23.085      -9.153      194.096      -13.932   
   227.000      -25.262      -9.889      236.344      -15.373   
   226.000      -27.168      -10.566      275.639      -16.602   
   225.000      -29.032      -11.154      319.597      -17.877   
   224.000      -30.492      -11.639      355.426      -18.853   
   223.000      -31.670      -12.024      385.984      -19.646   
   222.000      -32.403      -12.309      403.762      -20.094   
   221.000      -32.706      -12.509      407.940      -20.198   
   220.000      -33.000      -12.642      414.454      -20.358   
   219.000      -33.376      -12.717      426.827      -20.660   
   218.000      -33.529      -12.718      433.072      -20.810   
   217.000      -33.361      -12.705      426.671      -20.656   
   216.000      -32.942      -12.652      411.695      -20.290   
   215.000      -32.476      -12.604      394.885      -19.872   
   214.000      -31.989      -12.567      377.223      -19.422   
   213.000      -31.712      -12.593      365.518      -19.119   
   212.000      -31.445      -12.669      352.515      -18.775   
   211.000      -31.005      -12.843      329.850      -18.162   
   210.000      -30.691      -13.025      312.080      -17.666   
   209.000      -30.393      -13.141      297.623      -17.252   
   208.000      -29.587      -13.016      274.581      -16.570   
   207.000      -28.074      -12.544      241.169      -15.530   
   206.000      -25.901      -11.662      202.758      -14.239   
   205.000      -23.022      -10.378      159.873      -12.644   
   204.000      -20.294      -8.690      134.671      -11.605   
   203.000      -17.389      -6.640      115.551      -10.749   
   202.000      -14.023      -4.234      95.835      -9.790   
   201.000      -9.856      -1.439      70.842      -8.417   
   200.000      -4.485       1.681      38.023      -6.166   
   199.000       2.415       5.048       6.934      -2.633   
   198.000      10.236       8.450       3.187       1.785   
   197.000      18.345      11.558      46.054       6.786   
   196.000      26.071      14.170      141.640      11.901   
   195.000      32.966      16.187      281.515      16.778   
   194.000      39.007      17.622      457.305      21.385   
   193.000      43.169      18.508      608.130      24.660   
   192.000      46.048      18.886      737.746      27.161   
   191.000      46.655      18.719      780.401      27.936   
   190.000      44.844      18.060      717.364      26.784   
   189.000      41.587      16.914      608.805      24.674   
   188.000      37.164      15.450      471.502      21.714   
   187.000      31.610      13.775      318.060      17.834   
   186.000      26.401      11.989      207.699      14.412   
   185.000      21.454      10.206      126.507      11.248   
   184.000      16.313       8.389      62.787       7.924   
   183.000      11.523       6.552      24.718       4.972   
   182.000       7.629       4.856       7.685       2.772   
   181.000       4.153       3.316       0.700       0.837   
   180.000       1.258       1.942       0.468      -0.684   
   179.000      -1.548       0.711       5.103      -2.259   
   178.000      -4.291      -0.457      14.702      -3.834   
   177.000      -6.945      -1.521      29.428      -5.425   
   176.000      -8.594      -2.475      37.452      -6.120   
   175.000      -10.469      -3.332      50.927      -7.136   

#matches         RMSD        MUSE        NRMSD
#     95        12.530       9.277       0.589

#Estimated SS error of the protein model (calibration curve 1):
#dSS-est (and standard deviation):  30.43 +/- 13.53 %
#dSS-up & dSS-low (conf. interval): 57.49  -  3.36 %

#Experimental entries with no match found: 11
# 280.000     -1.182
# 279.000     0.028
# 278.000     -0.522
# 277.000     -0.329
# 276.000     -0.475
# 275.000     -0.417
# 274.000     -0.287
# 273.000     -0.198
# 272.000     -0.077
# 271.000     -0.072
# 270.000     0.001
