#SESCA CD calculation module:
#Workdir: /home/gnagy/Programs/SESCA_dev/examples/4-Error_analysis
#Reference file: CD_subc.dat
#Target file: DISICL_pdet_1scd.out
#Basis set file: 
#    /home/gnagy/Programs/SESCA_dev/libs/Map_DS-dT.dat
#Scaling factor applied to reference: 0.413

#Weighting factors for the calculated CD spectrum:
#         Alpha  :   0.299 
#          Beta  :   0.123 
#          Coil  :   0.578 

#   wvlgth       Iref        Icalc       dev         diff
   269.000       0.009       0.012       0.000      -0.003   
   268.000      -0.004       0.032       0.001      -0.035   
   267.000      -0.112       0.011       0.015      -0.123   
   266.000      -0.062      -0.004       0.003      -0.059   
   265.000      -0.056      -0.008       0.002      -0.048   
   264.000       0.052      -0.003       0.003       0.056   
   263.000       0.128      -0.010       0.019       0.138   
   262.000       0.135      -0.019       0.024       0.154   
   261.000       0.046      -0.023       0.005       0.069   
   260.000      -0.054       0.005       0.003      -0.058   
   259.000      -0.023       0.028       0.003      -0.051   
   258.000      -0.004       0.036       0.002      -0.040   
   257.000      -0.025       0.015       0.002      -0.040   
   256.000      -0.004      -0.006       0.000       0.002   
   255.000      -0.034      -0.023       0.000      -0.011   
   254.000      -0.170      -0.012       0.025      -0.158   
   253.000      -0.084      -0.008       0.006      -0.075   
   252.000      -0.116      -0.032       0.007      -0.084   
   251.000      -0.155      -0.047       0.012      -0.108   
   250.000      -0.214      -0.072       0.020      -0.142   
   249.000      -0.292      -0.105       0.035      -0.187   
   248.000      -0.423      -0.146       0.077      -0.277   
   247.000      -0.415      -0.202       0.045      -0.213   
   246.000      -0.497      -0.282       0.046      -0.215   
   245.000      -0.653      -0.394       0.067      -0.259   
   244.000      -0.880      -0.509       0.138      -0.371   
   243.000      -1.183      -0.647       0.287      -0.535   
   242.000      -1.492      -0.836       0.431      -0.656   
   241.000      -1.670      -1.050       0.384      -0.620   
   240.000      -1.821      -1.306       0.265      -0.515   
   239.000      -2.068      -1.661       0.165      -0.406   
   238.000      -2.366      -2.049       0.101      -0.318   
   237.000      -2.795      -2.506       0.083      -0.289   
   236.000      -3.290      -3.024       0.071      -0.266   
   235.000      -3.932      -3.612       0.103      -0.321   
   234.000      -4.584      -4.263       0.103      -0.321   
   233.000      -5.369      -5.011       0.128      -0.358   
   232.000      -6.130      -5.824       0.094      -0.306   
   231.000      -6.922      -6.668       0.065      -0.254   
   230.000      -7.695      -7.529       0.027      -0.166   
   229.000      -8.646      -8.363       0.081      -0.284   
   228.000      -9.540      -9.153       0.150      -0.387   
   227.000      -10.440      -9.889       0.304      -0.551   
   226.000      -11.227      -10.566       0.438      -0.662   
   225.000      -11.997      -11.154       0.711      -0.843   
   224.000      -12.601      -11.639       0.925      -0.962   
   223.000      -13.088      -12.024       1.133      -1.064   
   222.000      -13.391      -12.309       1.170      -1.082   
   221.000      -13.516      -12.509       1.014      -1.007   
   220.000      -13.637      -12.642       0.991      -0.996   
   219.000      -13.793      -12.717       1.159      -1.076   
   218.000      -13.856      -12.718       1.294      -1.138   
   217.000      -13.787      -12.705       1.170      -1.082   
   216.000      -13.613      -12.652       0.925      -0.962   
   215.000      -13.421      -12.604       0.667      -0.817   
   214.000      -13.220      -12.567       0.426      -0.653   
   213.000      -13.105      -12.593       0.262      -0.512   
   212.000      -12.995      -12.669       0.106      -0.325   
   211.000      -12.813      -12.843       0.001       0.030   
   210.000      -12.683      -13.025       0.117       0.342   
   209.000      -12.560      -13.141       0.338       0.581   
   208.000      -12.227      -13.016       0.623       0.789   
   207.000      -11.602      -12.544       0.888       0.942   
   206.000      -10.704      -11.662       0.918       0.958   
   205.000      -9.514      -10.378       0.746       0.864   
   204.000      -8.387      -8.690       0.092       0.303   
   203.000      -7.186      -6.640       0.299      -0.547   
   202.000      -5.795      -4.234       2.438      -1.562   
   201.000      -4.073      -1.439       6.937      -2.634   
   200.000      -1.853       1.681      12.494      -3.535   
   199.000       0.998       5.048      16.403      -4.050   
   198.000       4.230       8.450      17.811      -4.220   
   197.000       7.581      11.558      15.818      -3.977   
   196.000      10.774      14.170      11.532      -3.396   
   195.000      13.623      16.187       6.574      -2.564   
   194.000      16.120      17.622       2.257      -1.502   
   193.000      17.840      18.508       0.447      -0.669   
   192.000      19.029      18.886       0.021       0.143   
   191.000      19.280      18.719       0.315       0.561   
   190.000      18.532      18.060       0.223       0.472   
   189.000      17.186      16.914       0.074       0.273   
   188.000      15.358      15.450       0.008      -0.092   
   187.000      13.063      13.775       0.508      -0.713   
   186.000      10.910      11.989       1.164      -1.079   
   185.000       8.866      10.206       1.797      -1.340   
   184.000       6.742       8.389       2.716      -1.648   
   183.000       4.762       6.552       3.203      -1.790   
   182.000       3.153       4.856       2.903      -1.704   
   181.000       1.716       3.316       2.559      -1.600   
   180.000       0.520       1.942       2.022      -1.422   
   179.000      -0.640       0.711       1.824      -1.351   
   178.000      -1.773      -0.457       1.733      -1.316   
   177.000      -2.870      -1.521       1.821      -1.350   
   176.000      -3.552      -2.475       1.160      -1.077   
   175.000      -4.326      -3.332       0.988      -0.994   

#matches         RMSD        MUSE        NRMSD
#     95         1.203       0.790       0.137

#Estimated SS error of the protein model (calibration curve 2):
#dSS-est (and standard deviation):  8.76 +/- 5.76 %
#dSS-up & dSS-low (conf. interval): 20.27  -  0.00 %
