#SESCA CD calculation module:
#Workdir: /home/gnagy/Programs/SESCA_dev/examples/4-Error_analysis
#Reference file: CD_subc.dat
#Target file: DISICL_psim_1scd.out
#Basis set file: 
#    /home/gnagy/Programs/SESCA_dev/libs/Map_DS3-1.dat

#Weighting factors for the calculated CD spectrum:
#         HELX1  :   0.295 
#         BETA1  :   0.194 
#         HELX2  :   0.101 
#         BETA2  :   0.060 
#         OTHER  :   0.350 

#   wvlgth       Iref        Icalc       dev         diff
   269.000       0.022      -0.044       0.004       0.066   
   268.000      -0.009      -0.014       0.000       0.004   
   267.000      -0.271      -0.014       0.066      -0.257   
   266.000      -0.150       0.009       0.025      -0.159   
   265.000      -0.135       0.001       0.018      -0.136   
   264.000       0.127       0.005       0.015       0.122   
   263.000       0.310      -0.021       0.110       0.331   
   262.000       0.326      -0.031       0.128       0.357   
   261.000       0.111      -0.031       0.020       0.142   
   260.000      -0.130       0.009       0.019      -0.139   
   259.000      -0.056       0.036       0.008      -0.092   
   258.000      -0.009       0.058       0.005      -0.067   
   257.000      -0.061       0.033       0.009      -0.094   
   256.000      -0.009      -0.018       0.000       0.009   
   255.000      -0.083      -0.042       0.002      -0.040   
   254.000      -0.412      -0.038       0.140      -0.374   
   253.000      -0.203      -0.041       0.026      -0.162   
   252.000      -0.281      -0.045       0.056      -0.236   
   251.000      -0.376      -0.052       0.105      -0.324   
   250.000      -0.517      -0.099       0.175      -0.418   
   249.000      -0.705      -0.140       0.320      -0.565   
   248.000      -1.025      -0.209       0.666      -0.816   
   247.000      -1.004      -0.286       0.515      -0.717   
   246.000      -1.203      -0.383       0.672      -0.820   
   245.000      -1.580      -0.522       1.118      -1.058   
   244.000      -2.129      -0.680       2.099      -1.449   
   243.000      -2.862      -0.846       4.065      -2.016   
   242.000      -3.611      -1.058       6.519      -2.553   
   241.000      -4.040      -1.296       7.528      -2.744   
   240.000      -4.407      -1.563       8.086      -2.844   
   239.000      -5.003      -1.947       9.343      -3.057   
   238.000      -5.726      -2.372      11.246      -3.354   
   237.000      -6.762      -2.861      15.218      -3.901   
   236.000      -7.961      -3.408      20.725      -4.553   
   235.000      -9.516      -4.049      29.890      -5.467   
   234.000      -11.091      -4.731      40.460      -6.361   
   233.000      -12.992      -5.525      55.752      -7.467   
   232.000      -14.835      -6.376      71.550      -8.459   
   231.000      -16.750      -7.245      90.350      -9.505   
   230.000      -18.619      -8.164      109.310      -10.455   
   229.000      -20.923      -9.058      140.780      -11.865   
   228.000      -23.085      -9.892      174.034      -13.192   
   227.000      -25.262      -10.657      213.319      -14.605   
   226.000      -27.168      -11.337      250.603      -15.830   
   225.000      -29.032      -11.938      292.175      -17.093   
   224.000      -30.492      -12.471      324.766      -18.021   
   223.000      -31.670      -12.871      353.399      -18.799   
   222.000      -32.403      -13.153      370.547      -19.250   
   221.000      -32.706      -13.356      374.448      -19.351   
   220.000      -33.000      -13.500      380.236      -19.500   
   219.000      -33.376      -13.599      391.164      -19.778   
   218.000      -33.529      -13.634      395.778      -19.894   
   217.000      -33.361      -13.631      389.256      -19.730   
   216.000      -32.942      -13.584      374.733      -19.358   
   215.000      -32.476      -13.564      357.674      -18.912   
   214.000      -31.989      -13.537      340.488      -18.452   
   213.000      -31.712      -13.574      328.988      -18.138   
   212.000      -31.445      -13.650      316.656      -17.795   
   211.000      -31.005      -13.820      295.334      -17.185   
   210.000      -30.691      -14.013      278.154      -16.678   
   209.000      -30.393      -14.135      264.317      -16.258   
   208.000      -29.587      -14.009      242.654      -15.577   
   207.000      -28.074      -13.518      211.864      -14.556   
   206.000      -25.901      -12.619      176.406      -13.282   
   205.000      -23.022      -11.312      137.132      -11.710   
   204.000      -20.294      -9.617      114.007      -10.677   
   203.000      -17.389      -7.576      96.289      -9.813   
   202.000      -14.023      -5.242      77.104      -8.781   
   201.000      -9.856      -2.539      53.532      -7.317   
   200.000      -4.485       0.467      24.520      -4.952   
   199.000       2.415       3.714       1.688      -1.299   
   198.000      10.236       7.041      10.203       3.194   
   197.000      18.345      10.084      68.238       8.261   
   196.000      26.071      12.680      179.312      13.391   
   195.000      32.966      14.813      329.529      18.153   
   194.000      39.007      16.490      507.024      22.517   
   193.000      43.169      17.668      650.272      25.500   
   192.000      46.048      18.476      760.191      27.572   
   191.000      46.655      18.703      781.287      27.952   
   190.000      44.844      18.421      698.157      26.423   
   189.000      41.587      17.630      573.941      23.957   
   188.000      37.164      16.388      431.641      20.776   
   187.000      31.610      14.848      280.967      16.762   
   186.000      26.401      13.171      175.034      13.230   
   185.000      21.454      11.403      101.031      10.051   
   184.000      16.313       9.576      45.393       6.737   
   183.000      11.523       7.701      14.611       3.822   
   182.000       7.629       5.944       2.836       1.684   
   181.000       4.153       4.382       0.053      -0.230   
   180.000       1.258       2.973       2.942      -1.715   
   179.000      -1.548       1.619      10.033      -3.167   
   178.000      -4.291       0.323      21.290      -4.614   
   177.000      -6.945      -0.854      37.109      -6.092   
   176.000      -8.594      -1.982      43.721      -6.612   
   175.000      -10.469      -2.889      57.447      -7.579   

#matches         RMSD        MUSE        NRMSD
#     95        12.144       8.940       0.571

#Estimated SS error of the protein model (calibration curve 1):
#dSS-est (and standard deviation):  33.19 +/- 10.40 %
#dSS-up & dSS-low (conf. interval): 53.99  -  12.39 %

#Experimental entries with no match found: 11
# 280.000     -1.182
# 279.000     0.028
# 278.000     -0.522
# 277.000     -0.329
# 276.000     -0.475
# 275.000     -0.417
# 274.000     -0.287
# 273.000     -0.198
# 272.000     -0.077
# 271.000     -0.072
# 270.000     0.001
