#SESCA CD calculation module:
#Workdir: /home/gnagy/Programs/SESCA_dev/examples/4-Error_analysis
#Reference file: CD_subc.dat
#Target file: DISICL_psim_1scd.out
#Basis set file: 
#    /home/gnagy/Programs/SESCA_dev/libs/Map_DS3-1.dat
#Scaling factor applied to reference: 0.431

#Weighting factors for the calculated CD spectrum:
#         HELX1  :   0.295 
#         BETA1  :   0.194 
#         HELX2  :   0.101 
#         BETA2  :   0.060 
#         OTHER  :   0.350 

#   wvlgth       Iref        Icalc       dev         diff
   269.000       0.010      -0.044       0.003       0.054   
   268.000      -0.004      -0.014       0.000       0.010   
   267.000      -0.117      -0.014       0.011      -0.103   
   266.000      -0.065       0.009       0.005      -0.074   
   265.000      -0.058       0.001       0.004      -0.059   
   264.000       0.055       0.005       0.002       0.050   
   263.000       0.134      -0.021       0.024       0.155   
   262.000       0.140      -0.031       0.029       0.172   
   261.000       0.048      -0.031       0.006       0.079   
   260.000      -0.056       0.009       0.004      -0.065   
   259.000      -0.024       0.036       0.004      -0.060   
   258.000      -0.004       0.058       0.004      -0.062   
   257.000      -0.027       0.033       0.004      -0.059   
   256.000      -0.004      -0.018       0.000       0.014   
   255.000      -0.036      -0.042       0.000       0.007   
   254.000      -0.178      -0.038       0.019      -0.139   
   253.000      -0.087      -0.041       0.002      -0.046   
   252.000      -0.121      -0.045       0.006      -0.076   
   251.000      -0.162      -0.052       0.012      -0.110   
   250.000      -0.223      -0.099       0.015      -0.124   
   249.000      -0.304      -0.140       0.027      -0.164   
   248.000      -0.442      -0.209       0.054      -0.233   
   247.000      -0.433      -0.286       0.021      -0.146   
   246.000      -0.518      -0.383       0.018      -0.135   
   245.000      -0.681      -0.522       0.025      -0.159   
   244.000      -0.918      -0.680       0.056      -0.238   
   243.000      -1.234      -0.846       0.150      -0.388   
   242.000      -1.557      -1.058       0.249      -0.499   
   241.000      -1.742      -1.296       0.198      -0.445   
   240.000      -1.900      -1.563       0.113      -0.337   
   239.000      -2.157      -1.947       0.044      -0.210   
   238.000      -2.468      -2.372       0.009      -0.096   
   237.000      -2.915      -2.861       0.003      -0.054   
   236.000      -3.432      -3.408       0.001      -0.023   
   235.000      -4.102      -4.049       0.003      -0.053   
   234.000      -4.781      -4.731       0.003      -0.051   
   233.000      -5.601      -5.525       0.006      -0.076   
   232.000      -6.395      -6.376       0.000      -0.019   
   231.000      -7.221      -7.245       0.001       0.024   
   230.000      -8.027      -8.164       0.019       0.138   
   229.000      -9.020      -9.058       0.001       0.038   
   228.000      -9.952      -9.892       0.003      -0.059   
   227.000      -10.890      -10.657       0.054      -0.233   
   226.000      -11.712      -11.337       0.140      -0.374   
   225.000      -12.515      -11.938       0.333      -0.577   
   224.000      -13.145      -12.471       0.454      -0.674   
   223.000      -13.653      -12.871       0.611      -0.781   
   222.000      -13.969      -13.153       0.665      -0.815   
   221.000      -14.099      -13.356       0.553      -0.744   
   220.000      -14.226      -13.500       0.527      -0.726   
   219.000      -14.388      -13.599       0.624      -0.790   
   218.000      -14.454      -13.634       0.671      -0.819   
   217.000      -14.382      -13.631       0.563      -0.750   
   216.000      -14.201      -13.584       0.381      -0.617   
   215.000      -14.000      -13.564       0.190      -0.436   
   214.000      -13.790      -13.537       0.064      -0.253   
   213.000      -13.671      -13.574       0.009      -0.097   
   212.000      -13.556      -13.650       0.009       0.094   
   211.000      -13.366      -13.820       0.206       0.454   
   210.000      -13.231      -14.013       0.612       0.783   
   209.000      -13.102      -14.135       1.067       1.033   
   208.000      -12.754      -14.009       1.574       1.255   
   207.000      -12.102      -13.518       2.005       1.416   
   206.000      -11.166      -12.619       2.113       1.454   
   205.000      -9.924      -11.312       1.924       1.387   
   204.000      -8.749      -9.617       0.754       0.868   
   203.000      -7.496      -7.576       0.006       0.080   
   202.000      -6.045      -5.242       0.645      -0.803   
   201.000      -4.249      -2.539       2.922      -1.709   
   200.000      -1.933       0.467       5.761      -2.400   
   199.000       1.041       3.714       7.144      -2.673   
   198.000       4.412       7.041       6.911      -2.629   
   197.000       7.908      10.084       4.734      -2.176   
   196.000      11.239      12.680       2.078      -1.441   
   195.000      14.211      14.813       0.362      -0.602   
   194.000      16.815      16.490       0.106       0.326   
   193.000      18.609      17.668       0.886       0.941   
   192.000      19.851      18.476       1.889       1.375   
   191.000      20.112      18.703       1.985       1.409   
   190.000      19.332      18.421       0.829       0.911   
   189.000      17.928      17.630       0.088       0.297   
   188.000      16.021      16.388       0.135      -0.367   
   187.000      13.627      14.848       1.491      -1.221   
   186.000      11.381      13.171       3.203      -1.790   
   185.000       9.249      11.403       4.640      -2.154   
   184.000       7.032       9.576       6.469      -2.543   
   183.000       4.968       7.701       7.471      -2.733   
   182.000       3.289       5.944       7.054      -2.656   
   181.000       1.790       4.382       6.720      -2.592   
   180.000       0.542       2.973       5.909      -2.431   
   179.000      -0.667       1.619       5.229      -2.287   
   178.000      -1.850       0.323       4.721      -2.173   
   177.000      -2.994      -0.854       4.581      -2.140   
   176.000      -3.705      -1.982       2.968      -1.723   
   175.000      -4.513      -2.889       2.637      -1.624   

#matches         RMSD        MUSE        NRMSD
#     95         1.109       0.745       0.121

#Estimated SS error of the protein model (calibration curve 2):
#dSS-est (and standard deviation):  16.59 +/- 8.70 %
#dSS-up & dSS-low (conf. interval): 33.99  -  0.00 %
