#SESCA CD calculation module:
#Workdir: /home/gnagy/Programs/SESCA_dev/examples/4-Error_analysis
#Reference file: CD_subc.dat
#Target file: DISICL_pdet_1scd.out + Seq_1scd.out
#Basis set file: 
#    /home/gnagy/Programs/SESCA_dev/libs/Map_BB_DS-dTSC3.dat
#    /home/gnagy/Programs/SESCA_dev/libs/Map_SC_DS-dTSC3.dat

#Weighting factors for the calculated CD spectrum:
#         Alpha  :   0.299 
#          Beta  :   0.123 
#          Coil  :   0.578 

#   wvlgth       Iref        Icalc       dev         diff
   269.000       0.022       0.026       0.000      -0.004   
   268.000      -0.009       0.059       0.005      -0.068   
   267.000      -0.271       0.017       0.083      -0.288   
   266.000      -0.150      -0.013       0.019      -0.137   
   265.000      -0.135      -0.011       0.015      -0.124   
   264.000       0.127      -0.008       0.018       0.135   
   263.000       0.310      -0.009       0.102       0.319   
   262.000       0.326      -0.023       0.122       0.349   
   261.000       0.111      -0.043       0.024       0.154   
   260.000      -0.130      -0.024       0.011      -0.106   
   259.000      -0.056       0.003       0.004      -0.059   
   258.000      -0.009       0.013       0.000      -0.022   
   257.000      -0.061      -0.013       0.002      -0.049   
   256.000      -0.009      -0.029       0.000       0.020   
   255.000      -0.083      -0.053       0.001      -0.029   
   254.000      -0.412      -0.036       0.142      -0.376   
   253.000      -0.203      -0.027       0.031      -0.176   
   252.000      -0.281      -0.054       0.052      -0.227   
   251.000      -0.376      -0.071       0.093      -0.305   
   250.000      -0.517      -0.084       0.187      -0.433   
   249.000      -0.705      -0.117       0.346      -0.588   
   248.000      -1.025      -0.134       0.793      -0.891   
   247.000      -1.004      -0.168       0.699      -0.836   
   246.000      -1.203      -0.242       0.923      -0.961   
   245.000      -1.580      -0.348       1.517      -1.232   
   244.000      -2.129      -0.443       2.844      -1.686   
   243.000      -2.862      -0.567       5.268      -2.295   
   242.000      -3.611      -0.741       8.236      -2.870   
   241.000      -4.040      -0.933       9.653      -3.107   
   240.000      -4.407      -1.205      10.250      -3.202   
   239.000      -5.003      -1.564      11.829      -3.439   
   238.000      -5.726      -1.943      14.309      -3.783   
   237.000      -6.762      -2.396      19.064      -4.366   
   236.000      -7.961      -2.902      25.593      -5.059   
   235.000      -9.516      -3.446      36.842      -6.070   
   234.000      -11.091      -4.071      49.287      -7.021   
   233.000      -12.992      -4.781      67.417      -8.211   
   232.000      -14.835      -5.568      85.868      -9.267   
   231.000      -16.750      -6.408      106.965      -10.342   
   230.000      -18.619      -7.256      129.125      -11.363   
   229.000      -20.923      -8.063      165.372      -12.860   
   228.000      -23.085      -8.835      203.054      -14.250   
   227.000      -25.262      -9.551      246.848      -15.711   
   226.000      -27.168      -10.207      287.672      -16.961   
   225.000      -29.032      -10.782      333.048      -18.250   
   224.000      -30.492      -11.234      370.874      -19.258   
   223.000      -31.670      -11.605      402.604      -20.065   
   222.000      -32.403      -11.893      420.656      -20.510   
   221.000      -32.706      -12.100      424.628      -20.606   
   220.000      -33.000      -12.227      431.509      -20.773   
   219.000      -33.376      -12.292      444.552      -21.084   
   218.000      -33.529      -12.268      452.009      -21.261   
   217.000      -33.361      -12.249      445.712      -21.112   
   216.000      -32.942      -12.190      430.646      -20.752   
   215.000      -32.476      -12.117      414.493      -20.359   
   214.000      -31.989      -12.072      396.699      -19.917   
   213.000      -31.712      -12.084      385.254      -19.628   
   212.000      -31.445      -12.140      372.675      -19.305   
   211.000      -31.005      -12.291      350.218      -18.714   
   210.000      -30.691      -12.446      332.880      -18.245   
   209.000      -30.393      -12.514      319.648      -17.879   
   208.000      -29.587      -12.354      296.959      -17.233   
   207.000      -28.074      -11.833      263.757      -16.241   
   206.000      -25.901      -10.906      224.853      -14.995   
   205.000      -23.022      -9.583      180.604      -13.439   
   204.000      -20.294      -7.880      154.120      -12.414   
   203.000      -17.389      -5.860      132.920      -11.529   
   202.000      -14.023      -3.581      109.037      -10.442   
   201.000      -9.856      -0.981      78.766      -8.875   
   200.000      -4.485       1.908      40.870      -6.393   
   199.000       2.415       5.039       6.887      -2.624   
   198.000      10.236       8.235       4.002       2.001   
   197.000      18.345      11.202      51.015       7.143   
   196.000      26.071      13.675      153.666      12.396   
   195.000      32.966      15.567      302.711      17.399   
   194.000      39.007      16.888      489.241      22.119   
   193.000      43.169      17.716      647.830      25.453   
   192.000      46.048      18.086      781.857      27.962   
   191.000      46.655      17.979      822.302      28.676   
   190.000      44.844      17.425      751.780      27.419   
   189.000      41.587      16.403      634.259      25.184   
   188.000      37.164      15.104      486.652      22.060   
   187.000      31.610      13.635      323.090      17.975   
   186.000      26.401      12.081      205.062      14.320   
   185.000      21.454      10.503      119.924      10.951   
   184.000      16.313       8.899      54.972       7.414   
   183.000      11.523       7.287      17.947       4.236   
   182.000       7.629       5.797       3.355       1.832   
   181.000       4.153       4.438       0.081      -0.285   
   180.000       1.258       3.229       3.886      -1.971   
   179.000      -1.548       2.102      13.324      -3.650   
   178.000      -4.291       1.055      28.583      -5.346   

#matches         RMSD        MUSE        NRMSD
#     92        13.023       9.646       0.605

#Estimated SS error of the protein model (calibration curve 1):
#dSS-est (and standard deviation):  28.62 +/- 14.45 %
#dSS-up & dSS-low (conf. interval): 57.51  -  0.00 %

#Experimental entries with no match found: 14
# 280.000     -1.182
# 279.000     0.028
# 278.000     -0.522
# 277.000     -0.329
# 276.000     -0.475
# 275.000     -0.417
# 274.000     -0.287
# 273.000     -0.198
# 272.000     -0.077
# 271.000     -0.072
# 270.000     0.001
# 177.000     -6.945
# 176.000     -8.594
# 175.000     -10.469
