#SESCA CD deconvolution results:
#Workdir: /home/gnagy/Programs/SESCA_dev/examples/4-Error_analysis
#Spectrum: CD_subc.dat
#Basis set: ../../libs/Map_DS3-1.dat

#Weighting factors for calc. CD spectrum:
#        HELX1  :   0.4783
#        BETA1  :   0.0001
#        HELX2  :   0.0297
#        BETA2  :   0.0458
#        OTHER  :   0.4461

#Wl(nm)   Iexp     Icalc     Idev
269.0   0.0222    -0.1666    -0.1888
268.0   -0.0092    -0.0167    -0.0075
267.0   -0.2709    -0.0645    0.2064
266.0   -0.1505    0.0110    0.1615
265.0   -0.1348    -0.0036    0.1312
264.0   0.1269    0.0111    -0.1158
263.0   0.3102    -0.0627    -0.3729
262.0   0.3259    -0.1235    -0.4494
261.0   0.1112    -0.1765    -0.2877
260.0   -0.1296    -0.0986    0.0310
259.0   -0.0563    0.0137    0.0700
258.0   -0.0092    0.1102    0.1194
257.0   -0.0615    0.0757    0.1372
256.0   -0.0092    -0.0744    -0.0652
255.0   -0.0825    -0.1705    -0.0880
254.0   -0.4123    -0.1863    0.2260
253.0   -0.2029    -0.1924    0.0105
252.0   -0.2814    -0.1735    0.1079
251.0   -0.3756    -0.1843    0.1913
250.0   -0.5169    -0.2739    0.2430
249.0   -0.7054    -0.3202    0.3852
248.0   -1.0247    -0.4206    0.6041
247.0   -1.0038    -0.5570    0.4468
246.0   -1.2027    -0.7518    0.4509
245.0   -1.5796    -1.0297    0.5499
244.0   -2.1293    -1.3713    0.7580
243.0   -2.8622    -1.6820    1.1802
242.0   -3.6108    -2.0603    1.5505
241.0   -4.0400    -2.4795    1.5605
240.0   -4.4065    -2.9729    1.4336
239.0   -5.0033    -3.7095    1.2938
238.0   -5.7257    -4.5506    1.1751
237.0   -6.7622    -5.4744    1.2878
236.0   -7.9610    -6.4832    1.4778
235.0   -9.5158    -7.6244    1.8914
234.0   -11.0915    -8.8248    2.2667
233.0   -12.9918    -10.2115    2.7803
232.0   -14.8345    -11.7171    3.1174
231.0   -16.7504    -13.2702    3.4802
230.0   -18.6193    -15.0045    3.6148
229.0   -20.9227    -16.6807    4.2420
228.0   -23.0847    -18.2290    4.8557
227.0   -25.2624    -19.5567    5.7057
226.0   -27.1679    -20.6711    6.4968
225.0   -29.0316    -21.6133    7.4183
224.0   -30.4921    -22.4631    8.0290
223.0   -31.6700    -22.9925    8.6775
222.0   -32.4029    -23.2830    9.1199
221.0   -32.7065    -23.4074    9.2991
220.0   -32.9998    -23.4382    9.5616
219.0   -33.3764    -23.4140    9.9624
218.0   -33.5285    -23.2987    10.2298
217.0   -33.3609    -23.1300    10.2309
216.0   -32.9420    -22.9462    9.9958
215.0   -32.4761    -22.8413    9.6348
214.0   -31.9893    -22.7373    9.2520
213.0   -31.7119    -22.7457    8.9662
212.0   -31.4448    -22.7338    8.7110
211.0   -31.0051    -22.8911    8.1140
210.0   -30.6910    -23.0701    7.6209
209.0   -30.3927    -22.9775    7.4152
208.0   -29.5865    -22.3617    7.2248
207.0   -28.0736    -20.9534    7.1202
206.0   -25.9011    -18.6604    7.2407
205.0   -23.0219    -15.6626    7.3593
204.0   -20.2945    -12.0484    8.2461
203.0   -17.3891    -7.9338    9.4553
202.0   -14.0231    -3.6175    10.4056
201.0   -9.8560    1.1960    11.0520
200.0   -4.4850    6.4768    10.9618
199.0   2.4146    12.0541    9.6395
198.0   10.2356    17.7498    7.5142
197.0   18.3445    22.8361    4.4916
196.0   26.0712    27.0159    0.9447
195.0   32.9656    30.4586    -2.5070
194.0   39.0068    33.2491    -5.7577
193.0   43.1685    35.1581    -8.0104
192.0   46.0477    36.6277    -9.4200
191.0   46.6548    37.1109    -9.5439
190.0   44.8436    36.7596    -8.0840
189.0   41.5875    35.5978    -5.9897
188.0   37.1642    33.5511    -3.6131
187.0   31.6097    30.9386    -0.6711
186.0   26.4010    28.1342    1.7332
185.0   21.4540    25.1854    3.7314
184.0   16.3133    22.3289    6.0156
183.0   11.5234    19.5194    7.9960
182.0   7.6286    16.8840    9.2554
181.0   4.1526    14.7269    10.5743
180.0   1.2577    12.7101    11.4524
179.0   -1.5482    10.6409    12.1891
178.0   -4.2913    8.7127    13.0040
177.0   -6.9454    6.9122    13.8576
176.0   -8.5944    4.9000    13.4944
175.0   -10.4685    3.4092    13.8777

#matches     RMSD     MUSE    NRMSD
#    95     6.633    5.058    0.312
