#SESCA CD deconvolution results:
#Workdir: /home/gnagy/Programs/SESCA_dev/examples/4-Error_analysis
#Spectrum: CD_subc.dat
#Basis set: ../../libs/Map_DS3-1.dat
#Scaling factor from weight normalization: 0.363

#Weighting factors for calc. CD spectrum:
#        HELX1  :   0.2530
#        BETA1  :   0.2431
#        HELX2  :   0.1039
#        BETA2  :   0.0635
#        OTHER  :   0.3365

#Wl(nm)   Iexp     Icalc     Idev
269.0   0.0081    -0.0236    -0.0316
268.0   -0.0033    -0.0073    -0.0040
267.0   -0.0983    -0.0040    0.0943
266.0   -0.0546    0.0087    0.0633
265.0   -0.0489    0.0026    0.0516
264.0   0.0460    0.0050    -0.0410
263.0   0.1125    -0.0126    -0.1251
262.0   0.1182    -0.0157    -0.1339
261.0   0.0403    -0.0100    -0.0503
260.0   -0.0470    0.0223    0.0693
259.0   -0.0204    0.0380    0.0585
258.0   -0.0033    0.0483    0.0517
257.0   -0.0223    0.0251    0.0474
256.0   -0.0033    -0.0095    -0.0062
255.0   -0.0299    -0.0240    0.0059
254.0   -0.1496    -0.0169    0.1327
253.0   -0.0736    -0.0198    0.0538
252.0   -0.1021    -0.0279    0.0742
251.0   -0.1363    -0.0341    0.1022
250.0   -0.1875    -0.0710    0.1165
249.0   -0.2559    -0.1076    0.1484
248.0   -0.3718    -0.1650    0.2068
247.0   -0.3642    -0.2289    0.1353
246.0   -0.4364    -0.3051    0.1312
245.0   -0.5731    -0.4157    0.1574
244.0   -0.7726    -0.5379    0.2347
243.0   -1.0385    -0.6724    0.3660
242.0   -1.3101    -0.8460    0.4641
241.0   -1.4658    -1.0394    0.4264
240.0   -1.5988    -1.2537    0.3451
239.0   -1.8153    -1.5602    0.2551
238.0   -2.0774    -1.8970    0.1804
237.0   -2.4535    -2.2925    0.1610
236.0   -2.8884    -2.7367    0.1517
235.0   -3.4526    -3.2602    0.1923
234.0   -4.0243    -3.8225    0.2018
233.0   -4.7137    -4.4819    0.2318
232.0   -5.3823    -5.1927    0.1896
231.0   -6.0774    -5.9230    0.1545
230.0   -6.7555    -6.6867    0.0688
229.0   -7.5912    -7.4352    0.1561
228.0   -8.3757    -8.1434    0.2323
227.0   -9.1658    -8.8091    0.3567
226.0   -9.8571    -9.4186    0.4386
225.0   -10.5333    -9.9677    0.5657
224.0   -11.0632    -10.4576    0.6056
223.0   -11.4906    -10.8516    0.6391
222.0   -11.7565    -11.1518    0.6047
221.0   -11.8667    -11.3874    0.4792
220.0   -11.9731    -11.5696    0.4035
219.0   -12.1097    -11.7088    0.4009
218.0   -12.1649    -11.7861    0.3788
217.0   -12.1041    -11.8231    0.2810
216.0   -11.9521    -11.8043    0.1478
215.0   -11.7831    -11.7922    -0.0091
214.0   -11.6065    -11.7599    -0.1535
213.0   -11.5058    -11.7782    -0.2724
212.0   -11.4089    -11.8283    -0.4194
211.0   -11.2494    -11.9475    -0.6981
210.0   -11.1354    -12.0823    -0.9469
209.0   -11.0272    -12.1654    -1.1382
208.0   -10.7347    -12.0454    -1.3107
207.0   -10.1858    -11.6393    -1.4536
206.0   -9.3975    -10.9081    -1.5106
205.0   -8.3529    -9.8373    -1.4844
204.0   -7.3633    -8.4476    -1.0843
203.0   -6.3092    -6.7612    -0.4520
202.0   -5.0879    -4.8055    0.2825
201.0   -3.5760    -2.5357    1.0403
200.0   -1.6273    -0.0149    1.6123
199.0   0.8761    2.7127    1.8366
198.0   3.7137    5.4998    1.7861
197.0   6.6558    8.0528    1.3970
196.0   9.4592    10.2417    0.7825
195.0   11.9607    12.0296    0.0690
194.0   14.1526    13.4207    -0.7319
193.0   15.6625    14.3944    -1.2682
192.0   16.7072    15.0310    -1.6762
191.0   16.9274    15.1757    -1.7518
190.0   16.2703    14.8823    -1.3880
189.0   15.0889    14.1472    -0.9417
188.0   13.4840    13.0387    -0.4454
187.0   11.4687    11.6667    0.1979
186.0   9.5789    10.1659    0.5870
185.0   7.7840    8.5842    0.8002
184.0   5.9188    6.9289    1.0101
183.0   4.1810    5.2209    1.0399
182.0   2.7678    3.6094    0.8416
181.0   1.5067    2.1449    0.6382
180.0   0.4563    0.8277    0.3713
179.0   -0.5617    -0.4177    0.1441
178.0   -1.5570    -1.6043    -0.0474
177.0   -2.5200    -2.6703    -0.1503
176.0   -3.1182    -3.6535    -0.5352
175.0   -3.7982    -4.4444    -0.6462

#matches     RMSD     MUSE    NRMSD
#    95     0.693    0.488    0.090
