#SESCA CD calculation module:
#Workdir: /home/gnagy/Programs/SESCA_dev/examples/4-Error_analysis
#Target file: Seq_1scd.out
#Basis set file: /home/gnagy/Programs/SESCA_dev/libs/Map_SC_DS-dTSC3.dat

#Weighting factors for the calculated CD spectrum:
#          GRP1  :   0.084 
#          GRP2  :   0.161 
#          GRP3  :   0.128 
#          GRP4  :   0.627 

#   wvlgth       Icalc
   269.000       0.013   
   268.000       0.013   
   267.000       0.001   
   266.000      -0.010   
   265.000      -0.000   
   264.000      -0.003   
   263.000       0.001   
   262.000      -0.000   
   261.000      -0.012   
   260.000      -0.026   
   259.000      -0.028   
   258.000      -0.028   
   257.000      -0.032   
   256.000      -0.017   
   255.000      -0.021   
   254.000      -0.021   
   253.000      -0.017   
   252.000      -0.018   
   251.000      -0.020   
   250.000      -0.006   
   249.000      -0.008   
   248.000       0.011   
   247.000       0.031   
   246.000       0.041   
   245.000       0.047   
   244.000       0.070   
   243.000       0.088   
   242.000       0.104   
   241.000       0.121   
   240.000       0.103   
   239.000       0.103   
   238.000       0.116   
   237.000       0.129   
   236.000       0.142   
   235.000       0.178   
   234.000       0.192   
   233.000       0.227   
   232.000       0.254   
   231.000       0.271   
   230.000       0.310   
   229.000       0.369   
   228.000       0.428   
   227.000       0.491   
   226.000       0.552   
   225.000       0.614   
   224.000       0.697   
   223.000       0.763   
   222.000       0.810   
   221.000       0.849   
   220.000       0.891   
   219.000       0.938   
   218.000       0.985   
   217.000       1.011   
   216.000       1.033   
   215.000       1.067   
   214.000       1.067   
   213.000       1.068   
   212.000       1.053   
   211.000       1.029   
   210.000       1.000   
   209.000       0.975   
   208.000       0.917   
   207.000       0.849   
   206.000       0.752   
   205.000       0.630   
   204.000       0.481   
   203.000       0.291   
   202.000       0.029   
   201.000      -0.281   
   200.000      -0.609   
   199.000      -0.917   
   198.000      -1.173   
   197.000      -1.339   
   196.000      -1.472   
   195.000      -1.560   
   194.000      -1.626   
   193.000      -1.618   
   192.000      -1.563   
   191.000      -1.440   
   190.000      -1.259   
   189.000      -1.035   
   188.000      -0.767   
   187.000      -0.442   
   186.000      -0.102   
   185.000       0.201   
   184.000       0.506   
   183.000       0.812   
   182.000       1.071   
   181.000       1.310   
   180.000       1.527   
   179.000       1.681   
   178.000       1.844   
