#SESCA CD calculation module:
#Workdir: /home/gnagy/Programs/SESCA_dev/examples/5-Bayesian_SS
#Target file: DISICL_pdet_1igt.out
#Basis set file: /home/gnagy/Programs/SESCA_dev/libs/Map_BB_DS-dTSC3.dat

#Weighting factors for the calculated CD spectrum:
#         Alpha  :   0.051 
#          Beta  :   0.306 
#          Coil  :   0.644 

#   wvlgth       Icalc
   269.000       0.011   
   268.000      -0.011   
   267.000       0.014   
   266.000       0.018   
   265.000       0.014   
   264.000       0.004   
   263.000      -0.000   
   262.000       0.019   
   261.000       0.035   
   260.000       0.030   
   259.000       0.007   
   258.000      -0.018   
   257.000      -0.029   
   256.000      -0.021   
   255.000      -0.011   
   254.000      -0.005   
   253.000       0.002   
   252.000       0.005   
   251.000       0.008   
   250.000      -0.014   
   249.000      -0.030   
   248.000      -0.057   
   247.000      -0.067   
   246.000      -0.061   
   245.000      -0.078   
   244.000      -0.109   
   243.000      -0.140   
   242.000      -0.178   
   241.000      -0.210   
   240.000      -0.216   
   239.000      -0.225   
   238.000      -0.244   
   237.000      -0.278   
   236.000      -0.325   
   235.000      -0.400   
   234.000      -0.474   
   233.000      -0.591   
   232.000      -0.745   
   231.000      -0.932   
   230.000      -1.141   
   229.000      -1.387   
   228.000      -1.662   
   227.000      -1.996   
   226.000      -2.354   
   225.000      -2.747   
   224.000      -3.151   
   223.000      -3.563   
   222.000      -3.953   
   221.000      -4.328   
   220.000      -4.663   
   219.000      -4.980   
   218.000      -5.260   
   217.000      -5.450   
   216.000      -5.529   
   215.000      -5.527   
   214.000      -5.421   
   213.000      -5.289   
   212.000      -5.114   
   211.000      -4.871   
   210.000      -4.606   
   209.000      -4.309   
   208.000      -3.913   
   207.000      -3.470   
   206.000      -2.952   
   205.000      -2.358   
   204.000      -1.786   
   203.000      -1.183   
   202.000      -0.550   
   201.000       0.116   
   200.000       0.775   
   199.000       1.472   
   198.000       2.114   
   197.000       2.674   
   196.000       3.151   
   195.000       3.508   
   194.000       3.729   
   193.000       3.818   
   192.000       3.789   
   191.000       3.585   
   190.000       3.233   
   189.000       2.718   
   188.000       2.042   
   187.000       1.136   
   186.000       0.120   
   185.000      -0.982   
   184.000      -2.153   
   183.000      -3.332   
   182.000      -4.536   
   181.000      -5.717   
   180.000      -6.798   
   179.000      -7.774   
   178.000      -8.630   
