#Bayesian error parameters for SS estimation (2D CD errors, no  side-chain corrections)
#Example parameter file designed for the basis set DS-dT, with an SS prior based on the reference SP175 set:

#|SS Dist	dim 	mean	SD		min	max	step
Custom_ND	3				0.0	1.0	0.1
Custom_ND	3				0.0	1.0	0.1
Custom_ND	3				0.0	1.0	0.1
#
# Helix  Beta  Other   P(SS)  
 0.850  0.050  0.050  4.373e-16 
 0.950  0.050  0.050  1.076e-18 
 0.750  0.150  0.050  6.060e-17 
 0.850  0.150  0.050  8.010e-18 
 0.950  0.150  0.050  1.971e-20 
 0.650  0.250  0.050  2.965e-21 
 0.750  0.250  0.050  2.033e-20 
 0.850  0.250  0.050  2.687e-21 
 0.450  0.350  0.050  2.627e-24 
 0.550  0.350  0.050  5.430e-26 
 0.650  0.350  0.050  1.825e-26 
 0.750  0.350  0.050  1.249e-25 
 0.350  0.450  0.050  3.353e-25 
 0.450  0.450  0.050  1.757e-28 
 0.550  0.450  0.050  3.624e-31 
 0.650  0.450  0.050  2.229e-33 
 0.350  0.550  0.050  3.239e-27 
 0.450  0.550  0.050  1.497e-30 
 0.550  0.550  0.050  1.271e-35 
 0.250  0.650  0.050  2.364e-29 
 0.350  0.650  0.050  5.962e-31 
 0.450  0.650  0.050  2.754e-34 
 0.150  0.750  0.050  6.534e-35 
 0.250  0.750  0.050  7.974e-35 
 0.350  0.750  0.050  2.011e-36 
 0.050  0.850  0.050  4.041e-42 
 0.150  0.850  0.050  4.349e-42 
 0.250  0.850  0.050  4.926e-42 
 0.050  0.950  0.050  7.652e-51 
 0.150  0.950  0.050  5.518e-51 
 0.750  0.050  0.150  1.552e-12 
 0.850  0.050  0.150  1.954e-13 
 0.950  0.050  0.150  4.736e-16 
 0.650  0.150  0.150  4.762e-15 
 0.750  0.150  0.150  2.842e-14 
 0.850  0.150  0.150  3.580e-15 
 0.450  0.250  0.150  5.044e-14 
 0.550  0.250  0.150  1.042e-15 
 0.650  0.250  0.150  1.991e-18 
 0.750  0.250  0.150  9.535e-18 
 0.350  0.350  0.150  2.225e-16 
 0.450  0.350  0.150  1.848e-17 
 0.550  0.350  0.150  3.785e-19 
 0.650  0.350  0.150  1.533e-22 
 0.250  0.450  0.150  1.405e-17 
 0.350  0.450  0.150  5.147e-19 
 0.450  0.450  0.150  4.755e-22 
 0.550  0.450  0.150  2.524e-24 
 0.250  0.550  0.150  2.565e-20 
 0.350  0.550  0.150  6.368e-22 
 0.450  0.550  0.150  2.989e-25 
 0.150  0.650  0.150  6.114e-23 
 0.250  0.650  0.150  4.721e-24 
 0.350  0.650  0.150  1.139e-25 
 0.050  0.750  0.150  1.692e-27 
 0.150  0.750  0.150  3.392e-28 
 0.250  0.750  0.150  1.639e-29 
 0.050  0.850  0.150  1.758e-34 
 0.150  0.850  0.150  3.478e-35 
 0.050  0.950  0.150  3.344e-43 
