#SESCA CD deconvolution results:
#Workdir: /home/gnagy/Programs/SESCA_dev/examples/5-Bayesian_SS
#Spectrum: CD_igg2.dat
#Basis set: ../../libs/Map_BB_DS-dTSC3.dat
#Correction: SC_calc.out
#Scaling factor from weight normalization: 1.431

#Weighting factors for calc. CD spectrum:
#        Alpha  :   0.0000
#         Beta  :   0.3877
#         Coil  :   0.6123

#Wl(nm)   Iexp     Icalc     Idev
269.0   -0.0222    0.0236    0.0458
268.0   -0.0126    -0.0178    -0.0052
267.0   -0.0266    0.0110    0.0376
266.0   0.0040    0.0130    0.0090
265.0   0.0077    0.0164    0.0087
264.0   0.0084    0.0020    -0.0064
263.0   -0.0084    0.0037    0.0122
262.0   0.0016    0.0296    0.0281
261.0   -0.0067    0.0456    0.0523
260.0   -0.0319    0.0161    0.0480
259.0   -0.0343    -0.0275    0.0069
258.0   -0.0316    -0.0622    -0.0306
257.0   -0.0409    -0.0759    -0.0349
256.0   0.0013    -0.0457    -0.0470
255.0   0.0074    -0.0278    -0.0352
254.0   0.0120    -0.0257    -0.0377
253.0   0.0485    -0.0148    -0.0634
252.0   0.0354    -0.0032    -0.0385
251.0   -0.0062    -0.0049    0.0012
250.0   -0.0326    -0.0161    0.0165
249.0   -0.0451    -0.0282    0.0169
248.0   -0.0238    -0.0399    -0.0161
247.0   -0.0209    -0.0215    -0.0006
246.0   -0.0295    0.0203    0.0498
245.0   -0.0637    0.0366    0.1003
244.0   -0.0927    0.0437    0.1365
243.0   -0.0688    0.0609    0.1298
242.0   -0.0658    0.0746    0.1404
241.0   -0.0737    0.1015    0.1752
240.0   -0.0886    0.1500    0.2386
239.0   -0.0942    0.2327    0.3268
238.0   -0.0884    0.3174    0.4058
237.0   -0.0429    0.4104    0.4534
236.0   -0.0232    0.4974    0.5206
235.0   -0.0562    0.5805    0.6368
234.0   -0.1507    0.6598    0.8106
233.0   -0.2631    0.7297    0.9928
232.0   -0.3886    0.7573    1.1459
231.0   -0.4789    0.7505    1.2294
230.0   -0.5391    0.7357    1.2748
229.0   -0.6186    0.6860    1.3045
228.0   -0.7061    0.5903    1.2965
227.0   -0.8339    0.4065    1.2404
226.0   -0.9899    0.1685    1.1585
225.0   -1.2059    -0.1274    1.0785
224.0   -1.4302    -0.4504    0.9798
223.0   -1.6437    -0.8160    0.8277
222.0   -1.9050    -1.1897    0.7154
221.0   -2.1266    -1.5711    0.5555
220.0   -2.3597    -1.9199    0.4398
219.0   -2.5592    -2.2495    0.3097
218.0   -2.6876    -2.5577    0.1299
217.0   -2.7011    -2.7643    -0.0632
216.0   -2.6744    -2.8448    -0.1704
215.0   -2.5531    -2.8067    -0.2536
214.0   -2.4286    -2.6657    -0.2371
213.0   -2.2524    -2.4618    -0.2094
212.0   -2.0095    -2.2010    -0.1915
211.0   -1.6791    -1.8234    -0.1444
210.0   -1.2805    -1.4119    -0.1314
209.0   -0.8780    -0.9546    -0.0766
208.0   -0.3519    -0.4380    -0.0861
207.0   0.1916    0.0645    -0.1272
206.0   0.8732    0.5621    -0.3111
205.0   1.5173    1.0524    -0.4650
204.0   2.0888    1.4017    -0.6871
203.0   2.4300    1.6734    -0.7565
202.0   2.5939    1.8433    -0.7506
201.0   2.4453    1.8997    -0.5456
200.0   2.2102    1.8309    -0.3793
199.0   1.8167    1.7354    -0.0813
198.0   1.5274    1.5727    0.0454
197.0   1.2344    1.4143    0.1799
196.0   0.9039    1.2650    0.3610
195.0   0.5781    1.0721    0.4940
194.0   0.2938    0.7953    0.5014
193.0   -0.0754    0.4717    0.5471
192.0   -0.3396    0.1022    0.4418
191.0   -0.7561    -0.3298    0.4263
190.0   -1.3024    -0.7869    0.5154
189.0   -1.8097    -1.2916    0.5182
188.0   -2.4749    -1.8544    0.6205
187.0   -3.2058    -2.5673    0.6385
186.0   -3.9200    -3.3402    0.5798
185.0   -4.8055    -4.1868    0.6186
184.0   -5.6177    -5.0524    0.5652
183.0   -6.3298    -5.8723    0.4575
182.0   -7.0468    -6.7639    0.2829
181.0   -7.6524    -7.6428    0.0096
180.0   -8.1222    -8.4405    -0.3182
179.0   -8.6549    -9.1669    -0.5120
178.0   -9.0483    -9.7376    -0.6893

#matches     RMSD     MUSE    NRMSD
#    92     0.523    0.374    0.208

#Typical uncertainty of the SS estimate based on residual error:
#Uncertianty determined from calibration curve 2
#dSS-est: 7.9 +/- 4.9 %
