#SESCA CD calculation module:
#Workdir: /home/osvaldo/spc_shiny_servers/circularDichroismApp/appFiles/ChiraKit/SESCA_v097/examples/6-SESCA_modules
#Target file: Hbss_1scd.out
#Basis set file: 
#    /home/osvaldo/spc_shiny_servers/circularDichroismApp/appFiles/ChiraKit/SESCA_v097/libs/Map_HBSS-3.dat

#Weighting factors for the calculated CD spectrum:
#     Helix_reg  :   0.086 
#     Helix_irr  :   0.069 
#      Beta_all  :   0.000 
#          Turn  :   0.293 
#         Other  :   0.552 

#   wvlgth       Icalc
   269.000      -0.057   
   268.000      -0.008   
   267.000      -0.002   
   266.000      -0.010   
   265.000      -0.021   
   264.000      -0.022   
   263.000      -0.031   
   262.000      -0.049   
   261.000      -0.013   
   260.000       0.087   
   259.000       0.111   
   258.000       0.132   
   257.000       0.120   
   256.000       0.076   
   255.000       0.090   
   254.000       0.163   
   253.000       0.103   
   252.000       0.046   
   251.000       0.036   
   250.000       0.040   
   249.000       0.070   
   248.000       0.112   
   247.000       0.060   
   246.000       0.006   
   245.000       0.010   
   244.000       0.012   
   243.000       0.027   
   242.000       0.043   
   241.000       0.078   
   240.000       0.089   
   239.000       0.062   
   238.000       0.005   
   237.000      -0.086   
   236.000      -0.207   
   235.000      -0.346   
   234.000      -0.542   
   233.000      -0.833   
   232.000      -1.186   
   231.000      -1.627   
   230.000      -2.178   
   229.000      -2.767   
   228.000      -3.390   
   227.000      -4.006   
   226.000      -4.628   
   225.000      -5.240   
   224.000      -5.825   
   223.000      -6.379   
   222.000      -6.845   
   221.000      -7.254   
   220.000      -7.559   
   219.000      -7.822   
   218.000      -7.945   
   217.000      -8.027   
   216.000      -8.039   
   215.000      -8.073   
   214.000      -8.047   
   213.000      -8.110   
   212.000      -8.149   
   211.000      -8.286   
   210.000      -8.493   
   209.000      -8.807   
   208.000      -9.148   
   207.000      -9.530   
   206.000      -9.845   
   205.000      -10.033   
   204.000      -9.845   
   203.000      -9.200   
   202.000      -8.083   
   201.000      -6.539   
   200.000      -4.688   
   199.000      -2.758   
   198.000      -0.795   
   197.000       0.874   
   196.000       2.160   
   195.000       3.203   
   194.000       4.133   
   193.000       5.020   
   192.000       5.978   
   191.000       6.725   
   190.000       7.228   
   189.000       7.523   
   188.000       7.544   
   187.000       7.328   
   186.000       6.946   
   185.000       6.311   
   184.000       5.392   
   183.000       4.218   
   182.000       2.982   
   181.000       1.745   
   180.000       0.532   
   179.000      -0.703   
   178.000      -2.005   
   177.000      -3.206   
   176.000      -4.320   
   175.000      -5.310   
