#SESCA CD calculation module:
#Workdir: /home/osvaldo/spc_shiny_servers/circularDichroismApp/appFiles/ChiraKit/SESCA_v097/examples/6-SESCA_modules
#Target file: Hbss_9pap.out
#Basis set file: 
#    /home/osvaldo/spc_shiny_servers/circularDichroismApp/appFiles/ChiraKit/SESCA_v097/libs/Map_HBSS-3.dat

#Weighting factors for the calculated CD spectrum:
#     Helix_reg  :   0.232 
#     Helix_irr  :   0.019 
#      Beta_all  :   0.094 
#          Turn  :   0.246 
#         Other  :   0.412 

#   wvlgth       Icalc
   269.000      -0.002   
   268.000       0.085   
   267.000       0.020   
   266.000      -0.022   
   265.000      -0.028   
   264.000      -0.017   
   263.000      -0.016   
   262.000      -0.048   
   261.000      -0.066   
   260.000      -0.007   
   259.000       0.056   
   258.000       0.061   
   257.000       0.035   
   256.000      -0.014   
   255.000      -0.050   
   254.000      -0.008   
   253.000      -0.026   
   252.000      -0.085   
   251.000      -0.097   
   250.000      -0.100   
   249.000      -0.106   
   248.000      -0.094   
   247.000      -0.137   
   246.000      -0.220   
   245.000      -0.293   
   244.000      -0.359   
   243.000      -0.467   
   242.000      -0.591   
   241.000      -0.696   
   240.000      -0.853   
   239.000      -1.102   
   238.000      -1.369   
   237.000      -1.727   
   236.000      -2.100   
   235.000      -2.495   
   234.000      -2.947   
   233.000      -3.516   
   232.000      -4.166   
   231.000      -4.900   
   230.000      -5.711   
   229.000      -6.543   
   228.000      -7.394   
   227.000      -8.199   
   226.000      -8.971   
   225.000      -9.692   
   224.000      -10.331   
   223.000      -10.922   
   222.000      -11.435   
   221.000      -11.858   
   220.000      -12.176   
   219.000      -12.455   
   218.000      -12.583   
   217.000      -12.708   
   216.000      -12.764   
   215.000      -12.802   
   214.000      -12.762   
   213.000      -12.799   
   212.000      -12.766   
   211.000      -12.799   
   210.000      -12.820   
   209.000      -12.751   
   208.000      -12.445   
   207.000      -11.860   
   206.000      -10.847   
   205.000      -9.486   
   204.000      -7.765   
   203.000      -5.692   
   202.000      -3.359   
   201.000      -0.744   
   200.000       2.119   
   199.000       5.092   
   198.000       8.019   
   197.000      10.608   
   196.000      12.703   
   195.000      14.315   
   194.000      15.580   
   193.000      16.479   
   192.000      17.093   
   191.000      17.300   
   190.000      17.013   
   189.000      16.288   
   188.000      15.235   
   187.000      13.857   
   186.000      12.369   
   185.000      10.830   
   184.000       9.138   
   183.000       7.391   
   182.000       5.743   
   181.000       4.138   
   180.000       2.643   
   179.000       1.232   
   178.000      -0.161   
   177.000      -1.414   
   176.000      -2.617   
   175.000      -3.783   
