#SESCA CD calculation module:
#Workdir: /home/osvaldo/spc_shiny_servers/circularDichroismApp/appFiles/ChiraKit/SESCA_v097/examples/6-SESCA_modules
#Target file: Hbss_1hnn.out
#Basis set file: 
#    /home/osvaldo/spc_shiny_servers/circularDichroismApp/appFiles/ChiraKit/SESCA_v097/libs/Map_HBSS-3.dat

#Weighting factors for the calculated CD spectrum:
#     Helix_reg  :   0.358 
#     Helix_irr  :   0.045 
#      Beta_all  :   0.182 
#          Turn  :   0.263 
#         Other  :   0.152 

#   wvlgth       Icalc
   269.000       0.051   
   268.000       0.073   
   267.000       0.023   
   266.000      -0.004   
   265.000      -0.010   
   264.000       0.001   
   263.000       0.001   
   262.000      -0.015   
   261.000      -0.040   
   260.000      -0.034   
   259.000      -0.003   
   258.000       0.004   
   257.000      -0.018   
   256.000      -0.036   
   255.000      -0.066   
   254.000      -0.070   
   253.000      -0.050   
   252.000      -0.071   
   251.000      -0.093   
   250.000      -0.121   
   249.000      -0.166   
   248.000      -0.220   
   247.000      -0.271   
   246.000      -0.359   
   245.000      -0.503   
   244.000      -0.651   
   243.000      -0.836   
   242.000      -1.094   
   241.000      -1.385   
   240.000      -1.734   
   239.000      -2.204   
   238.000      -2.714   
   237.000      -3.306   
   236.000      -3.968   
   235.000      -4.706   
   234.000      -5.518   
   233.000      -6.433   
   232.000      -7.430   
   231.000      -8.459   
   230.000      -9.493   
   229.000      -10.488   
   228.000      -11.421   
   227.000      -12.279   
   226.000      -13.055   
   225.000      -13.711   
   224.000      -14.229   
   223.000      -14.620   
   222.000      -14.895   
   221.000      -15.059   
   220.000      -15.147   
   219.000      -15.164   
   218.000      -15.109   
   217.000      -15.046   
   216.000      -14.952   
   215.000      -14.844   
   214.000      -14.757   
   213.000      -14.722   
   212.000      -14.734   
   211.000      -14.829   
   210.000      -14.899   
   209.000      -14.808   
   208.000      -14.346   
   207.000      -13.362   
   206.000      -11.781   
   205.000      -9.670   
   204.000      -7.127   
   203.000      -4.237   
   202.000      -1.048   
   201.000       2.497   
   200.000       6.363   
   199.000      10.498   
   198.000      14.621   
   197.000      18.372   
   196.000      21.476   
   195.000      23.758   
   194.000      25.214   
   193.000      25.888   
   192.000      25.824   
   191.000      25.087   
   190.000      23.751   
   189.000      21.828   
   188.000      19.589   
   187.000      17.154   
   186.000      14.659   
   185.000      12.303   
   184.000      10.040   
   183.000       7.878   
   182.000       5.951   
   181.000       4.247   
   180.000       2.759   
   179.000       1.487   
   178.000       0.337   
   177.000      -0.708   
   176.000      -1.659   
   175.000      -2.528   
