#Preprocessed CD spectrum:
#source: /home/gnagy/Programs/SESCA_dev/examples/7-Spectrum_preparation
#data columns:  [1, 4]
#input format:  mdeg
#spectrum files:
#CSAplus_01.dat
#CSAplus_02.dat
#CSAplus_03.dat
#basline files:

#   wvlgth  Int_avg   Int_sd 
    300.0   -0.017     0.003  
    299.5   -0.017     0.004  
    299.0   -0.016     0.003  
    298.5   -0.017     0.004  
    298.0   -0.015     0.003  
    297.5   -0.016     0.003  
    297.0   -0.015     0.003  
    296.5   -0.015     0.002  
    296.0   -0.015     0.003  
    295.5   -0.014     0.002  
    295.0   -0.015     0.003  
    294.5   -0.014     0.003  
    294.0   -0.015     0.002  
    293.5   -0.013     0.003  
    293.0   -0.014     0.002  
    292.5   -0.013     0.003  
    292.0   -0.013     0.002  
    291.5   -0.014     0.003  
    291.0   -0.012     0.002  
    290.5   -0.013     0.002  
    290.0   -0.012     0.002  
    289.5   -0.013     0.002  
    289.0   -0.012     0.002  
    288.5   -0.012     0.002  
    288.0   -0.012     0.002  
    287.5   -0.012     0.002  
    287.0   -0.012     0.003  
    286.5   -0.013     0.002  
    286.0   -0.013     0.002  
    285.5   -0.012     0.002  
    285.0   -0.012     0.002  
    284.5   -0.013     0.002  
    284.0   -0.012     0.002  
    283.5   -0.013     0.002  
    283.0   -0.013     0.002  
    282.5   -0.013     0.002  
    282.0   -0.013     0.002  
    281.5   -0.013     0.001  
    281.0   -0.014     0.002  
    280.5   -0.012     0.001  
    280.0   -0.014     0.002  
    279.5   -0.013     0.002  
    279.0   -0.013     0.002  
    278.5   -0.014     0.002  
    278.0   -0.014     0.001  
    277.5   -0.015     0.002  
    277.0   -0.014     0.001  
    276.5   -0.015     0.002  
    276.0   -0.014     0.002  
    275.5   -0.014     0.002  
    275.0   -0.015     0.002  
    274.5   -0.015     0.002  
    274.0   -0.016     0.002  
    273.5   -0.016     0.001  
    273.0   -0.016     0.002  
    272.5   -0.016     0.001  
    272.0   -0.017     0.003  
    271.5   -0.017     0.002  
    271.0   -0.016     0.002  
    270.5   -0.017     0.002  
    270.0   -0.017     0.001  
    269.5   -0.017     0.002  
    269.0   -0.017     0.001  
    268.5   -0.018     0.002  
    268.0   -0.018     0.001  
    267.5   -0.018     0.002  
    267.0   -0.018     0.002  
    266.5   -0.019     0.001  
    266.0   -0.018     0.002  
    265.5   -0.018     0.001  
    265.0   -0.019     0.002  
    264.5   -0.018     0.002  
    264.0   -0.019     0.002  
    263.5   -0.021     0.002  
    263.0   -0.019     0.001  
    262.5   -0.021     0.001  
    262.0   -0.019     0.002  
    261.5   -0.020     0.001  
    261.0   -0.021     0.002  
    260.5   -0.020     0.001  
    260.0   -0.021     0.002  
    259.5   -0.020     0.001  
    259.0   -0.022     0.001  
    258.5   -0.021     0.002  
    258.0   -0.021     0.001  
    257.5   -0.023     0.002  
    257.0   -0.021     0.002  
    256.5   -0.023     0.002  
    256.0   -0.021     0.001  
    255.5   -0.023     0.001  
    255.0   -0.023     0.001  
    254.5   -0.023     0.001  
    254.0   -0.024     0.002  
    253.5   -0.023     0.001  
    253.0   -0.024     0.002  
    252.5   -0.023     0.001  
    252.0   -0.023     0.002  
    251.5   -0.024     0.002  
    251.0   -0.022     0.001  
    250.5   -0.024     0.002  
    250.0   -0.023     0.001  
    249.5   -0.023     0.002  
    249.0   -0.023     0.002  
    248.5   -0.024     0.002  
    248.0   -0.025     0.001  
    247.5   -0.024     0.002  
    247.0   -0.024     0.001  
    246.5   -0.024     0.001  
    246.0   -0.024     0.002  
