#Preprocessed CD spectrum:
#source: /home/gnagy/Programs/SESCA_dev/examples/7-Spectrum_preparation
#data columns:  [1, 4]
#input format:  mdeg
#spectrum files:
#CSAplus_01.dat
#CSAplus_02.dat
#CSAplus_03.dat
#basline files:
#H2O_01.dat
#H2O_02.dat
#H2O_03.dat

#   wvlgth  Int_avg   Int_sd 
    300.0    0.003     0.005  
    299.5    0.003     0.006  
    299.0    0.003     0.006  
    298.5    0.003     0.006  
    298.0    0.004     0.006  
    297.5    0.003     0.005  
    297.0    0.004     0.005  
    296.5    0.004     0.004  
    296.0    0.004     0.005  
    295.5    0.005     0.004  
    295.0    0.005     0.005  
    294.5    0.004     0.005  
    294.0    0.005     0.003  
    293.5    0.005     0.005  
    293.0    0.006     0.003  
    292.5    0.006     0.005  
    292.0    0.006     0.004  
    291.5    0.007     0.005  
    291.0    0.007     0.004  
    290.5    0.007     0.003  
    290.0    0.007     0.004  
    289.5    0.007     0.003  
    289.0    0.007     0.004  
    288.5    0.007     0.003  
    288.0    0.008     0.003  
    287.5    0.007     0.003  
    287.0    0.008     0.004  
    286.5    0.006     0.003  
    286.0    0.008     0.003  
    285.5    0.007     0.004  
    285.0    0.008     0.003  
    284.5    0.007     0.004  
    284.0    0.007     0.003  
    283.5    0.008     0.004  
    283.0    0.007     0.004  
    282.5    0.008     0.003  
    282.0    0.007     0.004  
    281.5    0.007     0.002  
    281.0    0.007     0.004  
    280.5    0.007     0.002  
    280.0    0.007     0.003  
    279.5    0.007     0.003  
    279.0    0.009     0.004  
    278.5    0.006     0.003  
    278.0    0.007     0.002  
    277.5    0.006     0.003  
    277.0    0.007     0.002  
    276.5    0.006     0.003  
    276.0    0.006     0.003  
    275.5    0.007     0.003  
    275.0    0.005     0.003  
    274.5    0.007     0.003  
    274.0    0.005     0.003  
    273.5    0.005     0.002  
    273.0    0.006     0.003  
    272.5    0.005     0.003  
    272.0    0.005     0.004  
    271.5    0.005     0.003  
    271.0    0.005     0.003  
    270.5    0.005     0.003  
    270.0    0.004     0.002  
    269.5    0.005     0.003  
    269.0    0.004     0.002  
    268.5    0.004     0.004  
    268.0    0.004     0.003  
    267.5    0.004     0.003  
    267.0    0.004     0.003  
    266.5    0.003     0.002  
    266.0    0.004     0.004  
    265.5    0.003     0.003  
    265.0    0.003     0.003  
