#Preprocessed CD spectrum:
#source: /home/gnagy/Programs/SESCA_dev/examples/7-Spectrum_preparation
#data columns:  [1, 2, 3]
#input format:  mdeg
#spectrum files:
#CSAplus_01.dat
#CSAplus_02.dat
#CSAplus_03.dat
#basline files:

#   wvlgth  Int_avg   Int_sd 
    300.0   16.992     0.333  
    299.5   17.673     0.175  
    299.0   17.975     0.327  
    298.5   18.601     0.293  
    298.0   19.082     0.329  
    297.5   19.570     0.304  
    297.0   19.996     0.201  
    296.5   20.462     0.253  
    296.0   20.745     0.221  
    295.5   20.853     0.232  
    295.0   21.407     0.311  
    294.5   21.483     0.316  
    294.0   21.734     0.332  
    293.5   21.991     0.249  
    293.0   22.162     0.205  
    292.5   22.254     0.344  
    292.0   22.357     0.370  
    291.5   22.495     0.327  
    291.0   22.660     0.326  
    290.5   22.568     0.170  
    290.0   22.463     0.220  
    289.5   22.306     0.325  
    289.0   22.467     0.219  
    288.5   22.196     0.282  
    288.0   22.066     0.260  
    287.5   21.815     0.267  
    287.0   21.731     0.321  
    286.5   21.488     0.398  
    286.0   21.196     0.306  
    285.5   20.755     0.246  
    285.0   20.665     0.263  
    284.5   20.278     0.222  
    284.0   19.942     0.276  
    283.5   19.521     0.337  
    283.0   19.272     0.309  
    282.5   18.833     0.276  
    282.0   18.467     0.256  
    281.5   18.001     0.377  
    281.0   17.532     0.211  
    280.5   17.056     0.277  
    280.0   16.625     0.188  
    279.5   16.388     0.172  
    279.0   15.810     0.241  
    278.5   15.267     0.223  
    278.0   14.843     0.170  
    277.5   14.341     0.251  
    277.0   14.071     0.248  
    276.5   13.377     0.247  
    276.0   13.011     0.273  
    275.5   12.604     0.177  
    275.0   12.067     0.358  
    274.5   11.822     0.232  
    274.0   11.289     0.310  
    273.5   10.686     0.264  
    273.0   10.394     0.190  
    272.5   10.055     0.291  
    272.0    9.472     0.225  
    271.5    9.008     0.207  
    271.0    8.828     0.208  
    270.5    8.390     0.168  
    270.0    8.071     0.302  
    269.5    7.678     0.203  
    269.0    7.305     0.373  
    268.5    7.080     0.223  
    268.0    6.748     0.334  
    267.5    6.381     0.322  
    267.0    5.977     0.276  
    266.5    5.713     0.203  
    266.0    5.357     0.385  
    265.5    5.178     0.204  
    265.0    4.863     0.195  
    264.5    4.558     0.160  
    264.0    4.265     0.265  
    263.5    4.049     0.262  
    263.0    3.830     0.199  
    262.5    3.649     0.180  
    262.0    3.355     0.287  
    261.5    3.154     0.263  
    261.0    2.821     0.237  
    260.5    2.673     0.246  
    260.0    2.643     0.195  
    259.5    2.328     0.276  
    259.0    2.218     0.283  
    258.5    2.038     0.331  
    258.0    1.775     0.227  
    257.5    1.706     0.325  
    257.0    1.603     0.390  
    256.5    1.528     0.342  
    256.0    1.362     0.380  
    255.5    1.393     0.269  
    255.0    1.224     0.194  
    254.5    1.026     0.322  
    254.0    0.979     0.279  
    253.5    0.922     0.272  
    253.0    0.797     0.181  
    252.5    0.651     0.317  
    252.0    0.589     0.269  
    251.5    0.405     0.268  
    251.0    0.407     0.321  
    250.5    0.515     0.190  
    250.0    0.446     0.275  
    249.5    0.326     0.264  
    249.0    0.192     0.247  
    248.5    0.267     0.303  
    248.0    0.142     0.188  
    247.5   -0.061     0.243  
    247.0    0.011     0.208  
    246.5    0.124     0.203  
    246.0   -0.048     0.251  
    245.5   -0.031     0.192  
    245.0   -0.031     0.382  
    244.5   -0.020     0.233  
    244.0   -0.044     0.234  
    243.5   -0.013     0.191  
    243.0   -0.071     0.210  
    242.5   -0.249     0.234  
    242.0   -0.073     0.292  
    241.5   -0.133     0.376  
    241.0   -0.169     0.190  
    240.5   -0.263     0.161  
    240.0   -0.163     0.217  
    239.5   -0.343     0.454  
    239.0   -0.295     0.357  
    238.5   -0.247     0.196  
    238.0   -0.117     0.300  
    237.5   -0.174     0.168  
    237.0   -0.389     0.277  
    236.5   -0.425     0.263  
    236.0   -0.290     0.368  
    235.5   -0.423     0.293  
    235.0   -0.282     0.186  
    234.5   -0.208     0.192  
    234.0   -0.382     0.271  
    233.5   -0.291     0.284  
    233.0   -0.514     0.311  
    232.5   -0.349     0.258  
    232.0   -0.571     0.321  
    231.5   -0.524     0.352  
    231.0   -0.286     0.298  
    230.5   -0.452     0.384  
