#Preprocessed CD spectrum:
#source: /home/gnagy/Programs/SESCA_dev/examples/7-Spectrum_preparation
#data columns:  [1, 2, 3]
#input format:  mdeg
#spectrum files:
#CD_CSAplus_av.dat
#basline files:
#H2O_01.dat
#H2O_02.dat
#H2O_03.dat

#   wvlgth  Int_avg   Int_sd 
    300.0   17.559     0.488  
    299.5   18.312     0.416  
    299.0   18.534     0.549  
    298.5   19.127     0.539  
    298.0   19.645     0.546  
    297.5   20.045     0.552  
    297.0   20.492     0.436  
    296.5   20.975     0.457  
    296.0   21.323     0.472  
    295.5   21.433     0.378  
    295.0   21.956     0.578  
    294.5   22.017     0.558  
    294.0   22.262     0.498  
    293.5   22.665     0.421  
    293.0   22.663     0.412  
    292.5   22.821     0.595  
    292.0   22.972     0.613  
    291.5   22.946     0.506  
    291.0   23.280     0.543  
    290.5   23.159     0.376  
    290.0   23.193     0.438  
    289.5   22.869     0.553  
    289.0   23.110     0.472  
    288.5   22.931     0.550  
    288.0   22.684     0.438  
    287.5   22.428     0.477  
    287.0   22.453     0.541  
    286.5   22.072     0.667  
    286.0   21.915     0.533  
    285.5   21.310     0.467  
    285.0   21.312     0.546  
    284.5   20.862     0.502  
    284.0   20.639     0.460  
    283.5   20.180     0.631  
    283.0   19.990     0.542  
    282.5   19.449     0.471  
    282.0   19.101     0.472  
    281.5   18.716     0.578  
    281.0   18.120     0.405  
    280.5   17.684     0.483  
    280.0   17.311     0.439  
    279.5   17.058     0.437  
    279.0   16.441     0.411  
    278.5   15.994     0.390  
    278.0   15.498     0.378  
    277.5   15.138     0.477  
    277.0   14.691     0.588  
    276.5   13.995     0.417  
    276.0   13.732     0.495  
    275.5   13.298     0.400  
    275.0   12.645     0.647  
    274.5   12.473     0.400  
    274.0   11.992     0.552  
    273.5   11.224     0.419  
    273.0   11.107     0.349  
    272.5   10.779     0.553  
    272.0   10.130     0.399  
    271.5    9.810     0.460  
    271.0    9.428     0.546  
    270.5    9.011     0.378  
    270.0    8.623     0.492  
    269.5    8.348     0.411  
    269.0    7.853     0.557  
    268.5    7.723     0.499  
    268.0    7.354     0.578  
    267.5    6.973     0.518  
    267.0    6.440     0.542  
    266.5    6.174     0.439  
    266.0    6.011     0.584  
    265.5    5.765     0.390  
    265.0    5.483     0.463  
    264.5    5.200     0.340  
    264.0    4.886     0.458  
    263.5    4.596     0.489  
    263.0    4.284     0.450  
    262.5    4.202     0.436  
    262.0    3.964     0.695  
    261.5    3.653     0.419  
    261.0    3.345     0.466  
    260.5    3.114     0.517  
    260.0    3.168     0.493  
    259.5    2.923     0.500  
    259.0    2.740     0.598  
    258.5    2.547     0.588  
    258.0    2.360     0.385  
    257.5    2.283     0.662  
    257.0    2.028     0.613  
    256.5    1.955     0.554  
