#Preprocessed CD spectrum:
#source: /home/gnagy/Programs/SESCA_dev/examples/7-Spectrum_preparation
#data columns:  [1, 2, 3]
#input format:  mdeg
#output format: kMRE
#protein conc(M): 3.20e-03
#residue number:  1
#pathlength(cm):  0.100
#spectrum files:
#CD_CSAplus_corr.dat
#basline files:

#   wvlgth  Int_avg   Int_sd 
    185.0   -11.377     0.721  
    186.0   -12.161     0.419  
    187.0   -12.695     0.276  
    188.0   -13.463     0.347  
    189.0   -13.986     0.263  
    190.0   -14.217     0.299  
    191.0   -14.482     0.319  
    192.0   -14.477     0.310  
    193.0   -14.328     0.212  
    194.0   -14.129     0.270  
    195.0   -13.724     0.294  
    196.0   -13.039     0.198  
    197.0   -12.400     0.227  
    198.0   -11.609     0.274  
    199.0   -10.692     0.272  
    200.0   -9.784     0.284  
    201.0   -8.705     0.310  
    202.0   -7.799     0.283  
    203.0   -6.982     0.259  
    204.0   -5.941     0.261  
    205.0   -5.147     0.273  
    206.0   -4.453     0.247  
    207.0   -3.790     0.240  
    208.0   -3.145     0.232  
    209.0   -2.518     0.201  
    210.0   -2.104     0.192  
    211.0   -1.788     0.277  
    212.0   -1.417     0.202  
    213.0   -1.142     0.318  
    214.0   -0.893     0.205  
    215.0   -0.609     0.241  
    216.0   -0.546     0.178  
    217.0   -0.361     0.301  
    218.0   -0.290     0.185  
    219.0   -0.187     0.213  
    220.0   -0.114     0.177  
    221.0   -0.087     0.213  
    222.0    0.052     0.209  
    223.0    0.016     0.226  
    224.0    0.066     0.176  
    225.0    0.026     0.166  
    226.0   -0.071     0.165  
    227.0   -0.005     0.192  
    228.0    0.021     0.193  
    229.0    0.102     0.181  
    230.0    0.029     0.219  
    231.0    0.179     0.208  
    232.0    0.009     0.225  
    233.0    0.083     0.193  
    234.0    0.085     0.149  
    235.0    0.120     0.158  
    236.0    0.149     0.191  
    237.0    0.055     0.191  
    238.0    0.132     0.160  
    239.0    0.082     0.177  
    240.0    0.093     0.127  
    241.0    0.083     0.137  
    242.0    0.191     0.168  
    243.0    0.163     0.163  
    244.0    0.168     0.168  
    245.0    0.209     0.211  
    246.0    0.158     0.137  
    247.0    0.193     0.138  
    248.0    0.225     0.135  
    249.0    0.220     0.131  
    250.0    0.328     0.138  
    251.0    0.337     0.178  
    252.0    0.392     0.150  
    253.0    0.453     0.117  
    254.0    0.431     0.148  
    255.0    0.562     0.116  
    256.0    0.663     0.209  
    257.0    0.634     0.192  
    258.0    0.737     0.120  
    259.0    0.856     0.187  
    260.0    0.990     0.154  
    261.0    1.045     0.146  
    262.0    1.239     0.217  
    263.0    1.339     0.141  
    264.0    1.527     0.143  
    265.0    1.713     0.145  
    266.0    1.878     0.182  
    267.0    2.013     0.169  
    268.0    2.298     0.181  
    269.0    2.454     0.174  
    270.0    2.695     0.154  
    271.0    2.946     0.171  
    272.0    3.166     0.125  
    273.0    3.471     0.109  
    274.0    3.748     0.173  
    275.0    3.952     0.202  
    276.0    4.291     0.155  
    277.0    4.591     0.184  
    278.0    4.843     0.118  
    279.0    5.138     0.128  
    280.0    5.410     0.137  
    281.0    5.663     0.127  
    282.0    5.969     0.147  
    283.0    6.247     0.169  
    284.0    6.450     0.144  
    285.0    6.660     0.171  
    286.0    6.848     0.167  
    287.0    7.017     0.169  
    288.0    7.089     0.137  
    289.0    7.222     0.147  
    290.0    7.248     0.137  
    291.0    7.275     0.170  
    292.0    7.179     0.192  
    293.0    7.082     0.129  
    294.0    6.957     0.156  
    295.0    6.861     0.181  
    296.0    6.663     0.147  
    297.0    6.404     0.136  
    298.0    6.139     0.171  
    299.0    5.792     0.172  
    300.0    5.487     0.152  
