#Reformatted CD measurement data (ProData):
#source: ../raw/CSAplus_10X_1um_rep100058.txt
#repeat: 3

#WL(nm)  CD(mdeg)   Err(mdeg)  Absorbance    HT(V)     Det(V)    Temp(C)   Ph-Count  
 300.0   16.784     0.139      -0.021265    281.067   7.91255     23.3     20000.0
 299.5   17.629     0.134      -0.022025    281.067   7.91406     23.3     20000.0
 299.0   17.992     0.142      -0.020493    281.067   7.91930     23.4     20000.0
 298.5   18.398     0.128      -0.020526    281.067   7.94851     23.4     20000.0
 298.0   19.056     0.135      -0.019475    281.067   7.94237     23.3     20000.0
 297.5   19.562     0.128      -0.019148    281.067   7.98528     23.4     20000.0
 297.0   19.905     0.141      -0.019298    281.067   7.98021     23.3     20000.0
 296.5   20.494     0.135      -0.017873    281.067   7.99289     23.4     20000.0
 296.0   20.606     0.133      -0.018806    281.067   8.02069     23.3     20000.0
 295.5   20.958     0.126      -0.017128    281.067   8.00322     23.4     20000.0
 295.0   21.194     0.132      -0.018499    281.067   8.06361     23.4     20000.0
 294.5   21.230     0.132      -0.016989    281.067   8.06283     23.4     20000.0
 294.0   21.502     0.127      -0.017645    281.067   8.09164     23.3     20000.0
 293.5   21.908     0.127      -0.016829    281.067   8.09330     23.4     20000.0
 293.0   22.075     0.136      -0.016831    280.975   8.09666     23.4     20000.0
 292.5   22.273     0.120      -0.017069    280.975   8.11934     23.3     20000.0
 292.0   22.514     0.130      -0.015096    280.975   8.15192     23.4     20000.0
 291.5   22.232     0.126      -0.017541    280.197   8.15063     23.4     20000.0
 291.0   22.565     0.113      -0.014495    280.197   8.21849     23.3     20000.0
 290.5   22.519     0.140      -0.016054    280.197   8.07654     23.4     20000.0
 290.0   22.458     0.140      -0.015043    280.197   8.01319     23.3     20000.0
 289.5   22.160     0.123      -0.015888    280.197   8.01646     23.4     20000.0
 289.0   22.363     0.130      -0.015134    280.197   8.02684     23.3     20000.0
 288.5   22.363     0.135      -0.014379    280.197   8.04063     23.3     20000.0
 288.0   21.897     0.127      -0.015363    280.197   8.03208     23.3     20000.0
 287.5   21.764     0.142      -0.014925    280.197   8.06291     23.3     20000.0
 287.0   21.707     0.137      -0.015832    280.197   8.04222     23.4     20000.0
 286.5   21.274     0.145      -0.015810    280.197   8.08089     23.3     20000.0
 286.0   20.966     0.150      -0.015256    280.197   8.03356     23.4     20000.0
 285.5   20.647     0.141      -0.015425    280.197   8.08196     23.4     20000.0
 285.0   20.485     0.140      -0.014271    280.197   8.03535     23.4     20000.0
 284.5   20.176     0.124      -0.015872    280.197   8.08005     23.4     20000.0
 284.0   19.825     0.142      -0.014357    280.197   8.04922     23.4     20000.0
 283.5   19.521     0.127      -0.016054    280.197   8.07189     23.4     20000.0
 283.0   19.030     0.146      -0.015414    280.197   8.09478     23.3     20000.0
 282.5   18.630     0.116      -0.015285    280.197   8.05641     23.4     20000.0
 282.0   18.375     0.136      -0.016035    280.197   8.11353     23.4     20000.0
 281.5   17.686     0.120      -0.014379    280.197   8.07178     23.3     20000.0
 281.0   17.442     0.128      -0.017136    280.106   8.10457     23.4     20000.0
 280.5   16.951     0.142      -0.014156    280.106   8.04465     23.4     20000.0
 280.0   16.612     0.136      -0.017468    280.106   8.08234     23.4     20000.0
 279.5   16.456     0.136      -0.015592    280.106   8.04037     23.4     20000.0
 279.0   15.674     0.118      -0.016738    280.106   8.04912     23.4     20000.0
 278.5   15.348     0.131      -0.016489    280.106   8.07180     23.3     20000.0
 278.0   14.854     0.123      -0.015660    280.106   8.01061     23.4     20000.0
 277.5   14.198     0.134      -0.017999    280.106   8.06746     23.3     20000.0
 277.0   14.072     0.121      -0.015421    280.106   8.01210     23.3     20000.0
 276.5   13.406     0.123      -0.017651    280.106   8.01612     23.4     20000.0
 276.0   12.836     0.140      -0.016532    280.106   8.03467     23.4     20000.0
 275.5   12.597     0.124      -0.017031    280.106   8.00312     23.4     20000.0
 275.0   11.753     0.129      -0.017732    280.106   8.01691     23.4     20000.0
 274.5   11.685     0.135      -0.017730    280.106   7.97909     23.4     20000.0
