#Reformatted CD measurement data (ProData):
#source: ../raw/H2O_1um_rep100056.txt
#repeat: 2

#WL(nm)  CD(mdeg)   Err(mdeg)  Absorbance    HT(V)     Det(V)    Temp(C)   Ph-Count  
 300.0   -0.586     0.125      -0.021017    281.540   7.99333     22.7     20000.0
 299.5   -0.544     0.120      -0.022104    281.540   8.00087     22.7     20000.0
 299.0   -0.428     0.126      -0.021035    281.540   8.01473     22.7     20000.0
 298.5   -0.373     0.130      -0.021926    281.540   8.06018     22.7     20000.0
 298.0   -0.631     0.130      -0.020624    281.540   8.04930     22.7     20000.0
 297.5   -0.351     0.117      -0.021186    281.540   8.10936     22.7     20000.0
 297.0   -0.654     0.134      -0.020830    281.540   8.09478     22.7     20000.0
 296.5   -0.472     0.139      -0.020631    281.540   8.13056     22.7     20000.0
 296.0   -0.712     0.120      -0.021387    281.540   8.15552     22.7     20000.0
 295.5   -0.596     0.148      -0.020224    281.540   8.14741     22.7     20000.0
 295.0   -0.365     0.141      -0.022009    281.052   8.12622     22.7     20000.0
 294.5   -0.672     0.126      -0.019926    281.052   8.11474     22.7     20000.0
 294.0   -0.474     0.130      -0.022169    280.899   8.14528     22.7     20000.0
 293.5   -0.651     0.129      -0.020227    280.777   8.10336     22.7     20000.0
 293.0   -0.548     0.111      -0.020918    280.777   8.13649     22.7     20000.0
 292.5   -0.683     0.139      -0.021637    280.502   8.11746     22.7     20000.0
 292.0   -0.523     0.103      -0.020803    280.380   8.14879     22.7     20000.0
 291.5   -0.440     0.128      -0.022031    279.617   8.12722     22.7     20000.0
 291.0   -0.584     0.142      -0.020826    279.312   8.17256     22.7     20000.0
 290.5   -0.609     0.109      -0.021315    279.312   8.01164     22.7     20000.0
 290.0   -0.838     0.130      -0.020843    279.312   7.95866     22.7     20000.0
 289.5   -0.679     0.130      -0.020993    279.312   7.94918     22.7     20000.0
 289.0   -0.465     0.125      -0.020937    279.312   7.97228     22.7     20000.0
 288.5   -0.743     0.139      -0.019867    279.312   7.98020     22.7     20000.0
 288.0   -0.624     0.135      -0.021681    279.312   7.98695     22.7     20000.0
 287.5   -0.724     0.119      -0.019889    279.312   7.99265     22.7     20000.0
 287.0   -0.823     0.132      -0.021926    279.312   7.99291     22.7     20000.0
 286.5   -0.738     0.116      -0.020466    279.312   8.00481     22.7     20000.0
