#Preprocessed CD spectrum:
#source: /home/gnagy/Programs/SESCA_dev/examples/7-Spectrum_preparation
#data columns:  [1, 5]
#input format:  mdeg
#spectrum files:
#CSAplus_01.dat
#CSAplus_02.dat
#CSAplus_03.dat
#basline files:

#   wvlgth  Int_avg   Int_sd 
    300.0   281.606     0.388  
    299.5   281.606     0.388  
    299.0   281.606     0.388  
    298.5   281.606     0.388  
    298.0   281.606     0.388  
    297.5   281.606     0.388  
    297.0   281.606     0.388  
    296.5   281.606     0.388  
    296.0   281.606     0.388  
    295.5   281.606     0.388  
    295.0   281.596     0.384  
    294.5   281.586     0.380  
    294.0   281.484     0.296  
    293.5   281.403     0.249  
    293.0   281.372     0.290  
    292.5   281.331     0.281  
    292.0   281.179     0.199  
    291.5   280.472     0.238  
    291.0   280.075     0.217  
    290.5   280.075     0.217  
    290.0   280.156     0.104  
    289.5   280.156     0.104  
    289.0   280.156     0.104  
    288.5   280.156     0.104  
    288.0   280.156     0.104  
    287.5   280.156     0.104  
    287.0   280.156     0.104  
    286.5   280.156     0.104  
    286.0   280.156     0.104  
    285.5   280.156     0.104  
    285.0   280.156     0.104  
    284.5   280.156     0.104  
    284.0   280.156     0.104  
    283.5   280.156     0.104  
    283.0   280.156     0.104  
    282.5   280.156     0.104  
    282.0   280.156     0.104  
    281.5   280.156     0.104  
    281.0   280.126     0.101  
    280.5   280.126     0.101  
    280.0   280.126     0.101  
    279.5   280.126     0.101  
    279.0   280.126     0.101  
    278.5   280.126     0.101  
    278.0   280.126     0.101  
    277.5   280.126     0.101  
    277.0   280.126     0.101  
    276.5   280.126     0.101  
    276.0   280.126     0.101  
    275.5   280.126     0.101  
    275.0   280.126     0.101  
    274.5   280.126     0.101  
    274.0   280.126     0.101  
    273.5   280.126     0.101  
    273.0   280.126     0.101  
    272.5   280.335     0.262  
    272.0   280.335     0.262  
    271.5   280.497     0.145  
    271.0   280.691     0.224  
    270.5   280.691     0.224  
    270.0   280.731     0.176  
    269.5   281.036     0.357  
    269.0   281.118     0.243  
    268.5   281.255     0.056  
    268.0   281.860     0.120  
    267.5   281.982     0.216  
    267.0   281.982     0.216  
    266.5   282.522     0.374  
    266.0   282.883     0.159  
    265.5   283.046     0.206  
    265.0   283.269     0.339  
    264.5   283.839     0.056  
    264.0   284.124     0.262  
    263.5   284.469     0.242  
    263.0   284.749     0.137  
    262.5   284.973     0.352  
    262.0   285.787     0.094  
    261.5   286.011     0.200  
    261.0   286.011     0.200  
    260.5   286.295     0.026  
    260.0   287.058     0.317  
    259.5   287.277     0.106  
    259.0   287.521     0.252  
    258.5   288.254     0.216  
    258.0   288.254     0.216  
    257.5   288.600     0.328  
    257.0   288.803     0.378  
    256.5   289.256     0.160  
    256.0   289.337     0.112  
