#Bayesian error parameters for SS estimation (2D CD errors, including  side-chain corrections)
#|SS Dist	dim 	mean	SD		min	max	step
Uni_ND		3				0.0	1.0	0.05
&
#|SS change	dim	mean	SD		min	max	step
Gauss			0.05	0.1		0.0	0.2	0.01
&

#|SS project	X-dim		Y-dim
#SS_map		1		2		
&

#|Scale Dist   dim      mean    SD   		 min     max     step
#Gauss			0.87	0.25		 0.2	 5.0	 0.2
&

#|NonSS Dist	min	max	step		min	max	step
Custom_2D	0.0	6.0	0.3		0.2	4.2	0.2
# R0_j  SF_j      P_j 
 0.150  0.300  5.969e-10 
 0.450  0.300  1.437e-05 
 0.750  0.300  5.572e-07 
 1.050  0.300  2.236e-07 
 1.350  0.300  1.240e-09 
 1.650  0.300  2.104e-10 
 1.950  0.300  8.425e-11 
 2.250  0.300  2.683e-11 
 2.550  0.300  8.936e-12 
 2.850  0.300  3.748e-12 
 3.150  0.300  1.699e-12 
 3.450  0.300  7.090e-13 
 3.750  0.300  2.609e-13 
 4.050  0.300  8.481e-14 
 4.350  0.300  2.477e-14 
 4.650  0.300  6.683e-15 
 4.950  0.300  1.728e-15 
 5.250  0.300  4.430e-16 
 5.550  0.300  1.140e-16 
 5.850  0.300  2.909e-17 
 0.150  0.500  1.215e-05 
 0.450  0.500  1.770e-04 
 0.750  0.500  1.561e-05 
 1.050  0.500  7.717e-06 
 1.350  0.500  6.421e-06 
 1.650  0.500  3.544e-06 
 1.950  0.500  1.297e-06 
 2.250  0.500  3.153e-07 
 2.550  0.500  5.109e-08 
 2.850  0.500  5.672e-09 
 3.150  0.500  5.154e-10 
 3.450  0.500  7.422e-11 
 3.750  0.500  2.124e-11 
 4.050  0.500  6.698e-12 
 4.350  0.500  1.936e-12 
 4.650  0.500  5.159e-13 
 4.950  0.500  1.313e-13 
 5.250  0.500  3.308e-14 
 5.550  0.500  8.393e-15 
 5.850  0.500  2.122e-15 
 0.150  0.700  7.530e-04 
 0.450  0.700  2.151e-03 
 0.750  0.700  4.070e-03 
 1.050  0.700  5.110e-03 
 1.350  0.700  4.253e-03 
 1.650  0.700  2.347e-03 
 1.950  0.700  8.590e-04 
 2.250  0.700  2.085e-04 
 2.550  0.700  3.356e-05 
 2.850  0.700  3.579e-06 
 3.150  0.700  2.534e-07 
 3.450  0.700  1.207e-08 
 3.750  0.700  4.487e-10 
 4.050  0.700  3.345e-11 
 4.350  0.700  7.559e-12 
 4.650  0.700  1.976e-12 
 4.950  0.700  4.985e-13 
 5.250  0.700  1.245e-13 
 5.550  0.700  3.135e-14 
 5.850  0.700  7.885e-15 
 0.150  0.900  1.829e-02 
 0.450  0.900  5.222e-02 
 0.750  0.900  9.887e-02 
 1.050  0.900  1.241e-01 
 1.350  0.900  1.033e-01 
 1.650  0.900  5.720e-02 
 1.950  0.900  2.135e-02 
 2.250  0.900  5.459e-03 
 2.550  0.900  9.142e-04 
 2.850  0.900  9.464e-05 
 3.150  0.900  6.331e-06 
 3.450  0.900  2.895e-07 
 3.750  0.900  8.977e-09 
 4.050  0.900  1.896e-10 
 4.350  0.900  3.936e-12 
 4.650  0.900  3.969e-13 
 4.950  0.900  9.453e-14 
 5.250  0.900  2.357e-14 
 5.550  0.900  5.934e-15 
 5.850  0.900  1.492e-15 
 0.150  1.100  1.630e-02 
 0.450  1.100  4.658e-02 
 0.750  1.100  8.843e-02 
 1.050  1.100  1.118e-01 
 1.350  1.100  9.457e-02 
 1.650  1.100  5.416e-02 
 1.950  1.100  2.162e-02 
 2.250  1.100  6.135e-03 
 2.550  1.100  1.150e-03 
