#Derived Basis Spectrum set for calculating CD spectra
#spectrum_list: /home/gnagy/Documents/Gottingen/IDPs/experiments/CD_test/arom/PCA_2/Baselines/SC_4T10/MP79/spectra_side.inp
#SS_list: /home/gnagy/Documents/Gottingen/IDPs/experiments/CD_test/sets/DS_det_MP79.inp
#Number of decomposed  spectra: 79

#Combination matrix for Structural Properties:
#Basis/  3H        ALH       PIH       EBS       NBS       PP        TI        TII       TVIII     GXT       SCH       HP        TC        HC        BC        BU        LTII      LHH       UC        
# GRP1 :    1.0000    1.0000    1.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000  
# GRP2 :    0.0000    0.0000    0.0000    1.0000    1.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    1.0000    0.0000    0.0000    0.0000    0.0000    0.0000  
# GRP3 :    0.0000    0.0000    0.0000    0.0000    0.0000    1.0000    1.0000    1.0000    1.0000    1.0000    1.0000    1.0000    1.0000    0.0000    1.0000    1.0000    1.0000    1.0000    1.0000  


#|  Wavelength      GRP1           GRP2           GRP3           
#      nm        T (10^3)       T (10^3)       T (10^3)      
     269.0        0.1806         0.2506         -0.1692      
     268.0        0.3442         0.3141         -0.2614      
     267.0        0.0574         0.1488         -0.0900      
     266.0        -0.0813         -0.0298         0.0305      
     265.0        -0.0900         -0.1082         0.0731      
     264.0        -0.0172         -0.0601         0.0255      
     263.0        0.0371         0.0749         -0.0678      
     262.0        -0.0702         0.1523         -0.0743      
     261.0        -0.1854         0.1608         -0.0306      
     260.0        -0.1376         0.0230         0.0543      
     259.0        0.0296         -0.0431         0.0274      
     258.0        0.1033         -0.1513         0.0407      
     257.0        0.0703         -0.1715         0.0138      
     256.0        -0.0143         -0.1631         0.0167      
     255.0        -0.1246         -0.1705         0.0487      
     254.0        -0.1191         -0.1779         0.0821      
     253.0        -0.1058         -0.1433         0.0673      
     252.0        -0.2012         -0.1435         0.0701      
     251.0        -0.2811         -0.1831         0.0761      
     250.0        -0.2829         -0.1871         0.0360      
     249.0        -0.3193         -0.1652         -0.0020      
     248.0        -0.3526         -0.1279         -0.0493      
     247.0        -0.4460         0.0122         -0.1302      
     246.0        -0.6831         0.2122         -0.2155      
     245.0        -1.0014         0.3570         -0.2963      
     244.0        -1.2985         0.3880         -0.3333      
     243.0        -1.7221         0.3941         -0.3267      
     242.0        -2.3491         0.3789         -0.3059      
     241.0        -3.0528         0.4789         -0.3218      
     240.0        -3.9859         0.7058         -0.3674      
     239.0        -5.2626         0.9428         -0.3996      
     238.0        -6.6577         1.0621         -0.3585      
     237.0        -8.2687         1.2675         -0.3593      
     236.0        -10.0265         1.4725         -0.3928      
     235.0        -11.8755         1.7859         -0.5164      
     234.0        -13.9670         2.1605         -0.6814      
     233.0        -16.3222         2.3720         -0.8111      
     232.0        -18.8960         2.4448         -0.9208      
     231.0        -21.5950         2.3583         -0.9865      
     230.0        -24.3469         2.0919         -0.9968      
     229.0        -26.9406         1.6924         -0.9916      
     228.0        -29.3471         1.1021         -0.9444      
     227.0        -31.4214         0.2580         -0.9023      
     226.0        -33.2129         -0.6755         -0.9044      
     225.0        -34.6064         -1.7088         -0.9265      
     224.0        -35.5428         -2.8099         -0.9734      
     223.0        -36.1107         -3.9737         -1.0368      
     222.0        -36.3419         -5.0738         -1.1198      
     221.0        -36.2353         -6.0626         -1.2752      
     220.0        -35.8924         -6.8660         -1.4940      
     219.0        -35.3661         -7.6287         -1.6921      
     218.0        -34.6272         -8.2625         -1.8913      
     217.0        -34.0161         -8.5695         -2.1093      
     216.0        -33.4885         -8.4524         -2.3526      
     215.0        -33.0563         -7.9002         -2.6773      
     214.0        -32.8438         -6.8306         -3.1021      
     213.0        -32.8253         -5.4228         -3.6511      
     212.0        -32.9377         -3.5057         -4.3915      
     211.0        -33.3617         -0.9064         -5.3966      
     210.0        -33.7402         2.0585         -6.5798      
     209.0        -33.6880         5.5853         -8.0775      
     208.0        -32.6861         9.7815         -9.9040      
     207.0        -30.2266         14.4342         -12.0573      
     206.0        -26.0639         19.7296         -14.6084      
     205.0        -20.4591         25.2975         -17.2990      
     204.0        -13.5316         30.2355         -19.6898      
     203.0        -5.6037         34.7069         -21.7323      
     202.0        3.1062         38.3892         -23.2578      
     201.0        12.6967         41.1117         -24.2101      
     200.0        23.1894         42.9533         -24.7555      
     199.0        34.2570         44.2000         -24.9871      
     198.0        45.3306         44.5845         -24.8003      
     197.0        55.4041         44.4545         -24.4037      
     196.0        63.5976         43.7285         -23.7022      
     195.0        69.4715         41.8633         -22.4662      
     194.0        73.0991         38.8187         -20.6783      
     193.0        74.5312         34.5961         -18.3075      
     192.0        74.0159         29.4608         -15.4754      
     191.0        71.8746         23.9517         -12.6536      
     190.0        68.1827         17.9723         -9.7216      
     189.0        63.0585         11.8304         -6.9250      
     188.0        57.3920         5.9951         -4.5327      
     187.0        51.5742         0.0567         -2.4190      
     186.0        45.8551         -5.4893         -0.7038      
     185.0        40.7577         -10.2751         0.3802      
     184.0        36.1411         -14.3413         0.9025      
     183.0        31.8698         -17.4123         0.8150      
     182.0        28.4478         -19.9219         0.3018      
     181.0        25.6657         -22.2580         -0.3201      
     180.0        23.2973         -24.2974         -0.9427      
     179.0        21.3474         -25.8875         -1.6869      
     178.0        19.6281         -26.7222         -2.6700      
