#Derived Basis Spectrum set for calculating CD spectra
#spectrum_list: /home/gnagy/Documents/Gottingen/IDPs/experiments/CD_test/arom/side_Avg6/Baselines/Ar-0/MP79/CD_corr.inp
#SS_list: /home/gnagy/Documents/Gottingen/IDPs/experiments/CD_test/sets/DS_det_MP79.inp
#Number of decomposed  spectra: 79

#Combination matrix for Structural Properties:
#Basis/     3H        ALH       PIH       EBS       NBS       PP        TI        TII       TVIII     GXT       SCH       HP        TC        HC        BC        BU        LTII      LHH       UC        
# Alpha :   1.0000    1.0000    1.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000  
# Beta :    0.0000    0.0000    0.0000    1.0000    1.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000  
# Coil :    0.0000    0.0000    0.0000    0.0000    0.0000    1.0000    1.0000    1.0000    1.0000    1.0000    1.0000    1.0000    1.0000    1.0000    1.0000    1.0000    1.0000    1.0000    1.0000  

#|  Wavelength      Alpha          Beta           Coil           
#      nm        T (10^3)       T (10^3)       T (10^3)      
     269.0        0.2218         0.3489         -0.1661      
     268.0        0.3248         0.1765         -0.1261      
     267.0        0.0632         0.0832         -0.0233      
     266.0        -0.0665         0.0156         0.0260      
     265.0        -0.0798         0.0230         0.0172      
     264.0        -0.0061         0.0442         -0.0149      
     263.0        0.0456         0.1380         -0.0699      
     262.0        -0.0634         0.1597         -0.0413      
     261.0        -0.1772         0.1174         0.0132      
     260.0        -0.1516         -0.0878         0.0999      
     259.0        -0.0168         -0.1948         0.1046      
     258.0        0.0654         -0.2668         0.0935      
     257.0        0.0449         -0.2187         0.0554      
     256.0        0.0100         -0.0323         -0.0182      
     255.0        -0.0821         0.0078         -0.0144      
     254.0        -0.0982         -0.0959         0.0449      
     253.0        -0.0974         -0.0813         0.0501      
     252.0        -0.1971         -0.0591         0.0518      
     251.0        -0.2940         -0.1044         0.0858      
     250.0        -0.2764         -0.0272         0.0138      
     249.0        -0.3123         0.0203         -0.0312      
     248.0        -0.3570         0.0269         -0.0724      
     247.0        -0.4661         0.1377         -0.1321      
     246.0        -0.6904         0.3500         -0.2064      
     245.0        -0.9895         0.4912         -0.2758      
     244.0        -1.2616         0.6261         -0.3675      
     243.0        -1.6412         0.7539         -0.4449      
     242.0        -2.2551         0.7504         -0.4546      
     241.0        -2.9633         0.7580         -0.4515      
     240.0        -3.8843         0.8636         -0.4374      
     239.0        -5.1158         1.1199         -0.4762      
     238.0        -6.4569         1.3502         -0.5098      
     237.0        -7.9928         1.6623         -0.5881      
     236.0        -9.7297         1.9028         -0.6376      
     235.0        -11.5923         2.1688         -0.7340      
     234.0        -13.7309         2.3776         -0.7791      
     233.0        -16.0819         2.6722         -0.9136      
     232.0        -18.6693         2.8044         -1.0110      
     231.0        -21.3420         2.8884         -1.1292      
