#Derived Basis Spectrum set for calculating CD spectra
#spectrum_list: /home/gnagy/Documents/Gottingen/IDPs/experiments/CD_test/arom/side_Avg6/Baselines/DS5-9/MP79/CD_corr.inp
#SS_list: /home/gnagy/Documents/Gottingen/IDPs/experiments/CD_test/sets/DS_det_MP79.inp
#Number of decomposed  spectra: 79

#Combination matrix for Structural Properties:
#Basis/      3H        ALH       PIH       EBS       NBS       PP        TI        TII       TVIII     GXT       SCH       HP        TC        HC        BC        BU        LTII      LHH       UC        
# Helix1 :   0.0000    1.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    1.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000  
# Beta1 :    0.0000    0.0000    0.0000    1.0000    1.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000  
# Helix2 :   1.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    1.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000  
# Turn1 :    0.0000    0.0000    0.0000    0.0000    0.0000    1.0000    1.0000    0.0000    0.0000    1.0000    0.0000    0.0000    0.0000    0.0000    0.0000    1.0000    0.0000    0.0000    0.0000  
# Turn2 :    0.0000    0.0000    1.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    1.0000    1.0000    0.0000    1.0000    1.0000    0.0000    1.0000    1.0000    0.0000  
# Other :    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    1.0000    0.0000    0.0000    0.0000    0.0000    0.0000    1.0000  


#|  Wavelength      Helix1         Beta1          Helix2         Turn1          Turn2          Other          
#      nm        T (10^3)       T (10^3)       T (10^3)       T (10^3)       T (10^3)       T (10^3)      
     269.0        0.2814         0.2646         -1.0454         1.1857         -0.1012         -0.5097      
     268.0        0.5594         0.1088         -3.5519         2.0116         -0.0097         -0.4593      
     267.0        0.1622         0.0795         -1.4031         0.7082         -0.0072         -0.1108      
     266.0        -0.1163         0.0880         0.9805         -0.6177         -0.0840         0.1608      
     265.0        -0.1440         0.0359         1.2120         -0.8421         0.0624         0.1136      
     264.0        -0.0583         0.0002         0.7384         -0.3987         0.1411         -0.0636      
     263.0        0.0279         0.0478         -0.0067         0.0475         0.1687         -0.2293      
     262.0        -0.1645         0.1305         1.0689         -0.1038         -0.0167         -0.1528      
     261.0        -0.3726         0.1697         2.4344         -0.4414         -0.2107         -0.0010      
     260.0        -0.3406         -0.0057         2.3972         -0.2657         -0.1853         0.0965      
     259.0        0.0010         -0.2193         -0.4981         0.9187         0.0942         -0.0845      
     258.0        0.1179         -0.3446         -1.0026         0.7647         0.3185         -0.1150      
     257.0        0.1184         -0.3149         -1.2899         0.5521         0.3860         -0.1260      
     256.0        0.0060         -0.1609         -0.5972         0.6634         0.3349         -0.3476      
     255.0        -0.2614         -0.0209         1.7479         -0.0807         0.0700         -0.2334      
     254.0        -0.3025         -0.0660         2.0652         0.0068         -0.0023         -0.1523      
     253.0        -0.2133         -0.0546         1.1048         0.2023         0.0393         -0.1279      
     252.0        -0.3342         -0.0043         1.5353         -0.3231         0.0221         -0.0058      
     251.0        -0.3833         -0.0725         1.0037         -0.3653         0.1228         0.0748      
     250.0        -0.3392         -0.0929         0.1978         0.2497         0.2523         -0.2239      
     249.0        -0.3914         -0.0769         0.2569         0.0285         0.3039         -0.2673      
     248.0        -0.3483         -0.1346         -1.1102         0.5083         0.3991         -0.3895      
     247.0        -0.4524         -0.0125         -1.3083         0.6489         0.2319         -0.4346      
     246.0        -0.7888         0.2465         0.0187         0.1527         0.0015         -0.4534      
     245.0        -1.1642         0.4048         0.6623         -0.0529         -0.1831         -0.4964      
     244.0        -1.4482         0.4652         0.0043         0.6921         -0.1999         -0.8176      
     243.0        -1.8958         0.5096         0.3803         0.3138         -0.1050         -0.9337      
     242.0        -2.4832         0.4436         -0.5748         0.2484         0.0287         -0.9036      
     241.0        -3.1368         0.4028         -2.1725         0.7381         0.0807         -0.9069      
     240.0        -4.1201         0.5174         -2.2061         0.0068         0.1029         -0.6700      
     239.0        -5.4352         0.7583         -2.3212         -0.6377         0.0665         -0.5264      
     238.0        -6.8109         0.9379         -3.5915         -0.3331         0.0204         -0.5283      
     237.0        -8.5604         1.2631         -2.2941         -1.5761         -0.2223         -0.3124      
     236.0        -10.3938         1.5473         -2.9237         -1.8130         -0.6303         -0.0511      
     235.0        -12.3140         1.8449         -4.5710         -1.4632         -1.1246         0.1054      
     234.0        -14.4909         2.1350         -6.4590         -1.4965         -1.6253         0.4970      
     233.0        -16.8727         2.4073         -9.0055         -1.4023         -1.9701         0.6767      
     232.0        -19.4980         2.5296         -11.7204         -0.9776         -2.4339         0.9085      
     231.0        -22.3326         2.4983         -12.8251         -1.4013         -2.6166         1.0418      
     230.0        -25.1929         2.4703         -14.3204         -0.6354         -3.0275         0.8929      
     229.0        -27.9020         2.2501         -15.5775         0.0311         -3.1966         0.5787      
     228.0        -30.4313         1.9199         -16.2169         0.1685         -3.1347         0.1723      
     227.0        -32.5422         1.3597         -17.9926         0.4891         -2.7503         -0.4243      
     226.0        -34.3788         0.6898         -20.0443         0.9085         -2.4791         -0.9092      
     225.0        -35.8262         -0.0750         -21.5680         1.5625         -1.9673         -1.8198      
     224.0        -36.7535         -0.8980         -24.3631         3.5559         -1.5416         -3.0172      
     223.0        -37.3525         -1.7669         -26.1572         4.8068         -0.9741         -4.1873      
     222.0        -37.7263         -2.5178         -25.8745         4.8715         -0.4370         -5.2274      
     221.0        -37.6819         -3.1957         -26.3315         5.0798         0.1847         -6.3453      
     220.0        -37.3865         -3.7164         -26.7433         5.1443         0.6486         -7.3391      
     219.0        -36.9505         -4.0739         -25.7280         4.9223         0.9093         -8.3708      
     218.0        -36.1864         -4.4973         -26.7752         5.7991         1.2420         -9.4100      
     217.0        -35.6988         -4.5647         -24.9244         4.9783         1.3807         -10.0918      
     216.0        -35.3813         -4.3273         -21.4023         3.2106         1.5106         -10.5510      
     215.0        -35.1115         -3.7027         -17.9247         1.3490         1.4369         -10.9394      
     214.0        -35.0642         -2.7843         -14.4867         -0.7068         1.1285         -10.9623      
     213.0        -35.2887         -1.5219         -9.8790         -3.2781         0.4497         -10.8709      
     212.0        -35.4509         -0.1161         -8.2057         -5.5301         -0.0698         -10.6487      
     211.0        -36.0441         1.8933         -5.2268         -7.8186         -1.3005         -10.3417      
     210.0        -36.5243         4.1755         -2.9543         -9.8254         -2.8325         -10.0002      
     209.0        -36.4122         6.8977         -2.3184         -11.2415         -4.7685         -9.7385      
     208.0        -35.3167         10.1661         -1.5108         -12.7658         -7.2527         -9.3320      
     207.0        -32.8505         13.8955         1.5103         -14.8630         -10.6018         -8.7368      
     206.0        -28.5731         18.0849         4.3793         -17.0520         -14.3885         -8.1518      
     205.0        -22.9700         22.4484         9.7058         -19.2778         -18.7838         -7.4382      
     204.0        -15.9832         26.1837         15.8136         -21.2403         -22.8678         -6.7637      
     203.0        -7.8230         29.1364         21.2955         -23.5174         -25.5540         -6.3203      
     202.0        1.1021         31.2529         29.4083         -26.8464         -26.7842         -6.2162      
     201.0        11.1288         32.2484         36.4166         -30.7328         -26.0074         -6.3294      
     200.0        22.3065         32.3753         41.8963         -35.2177         -23.4403         -6.8085      
     199.0        34.2346         32.0450         46.6960         -40.1625         -19.6453         -7.5652      
     198.0        46.3706         30.9707         48.0299         -44.5784         -14.6719         -8.4924      
     197.0        57.4648         29.6138         47.5223         -48.8161         -9.4195         -9.3428      
     196.0        66.5937         27.9038         44.3315         -51.8150         -4.2786         -9.8767      
     195.0        73.4597         25.4259         35.8057         -52.2751         1.0416         -10.1257      
     194.0        77.8838         22.0929         25.0986         -51.2120         5.9389         -9.5570      
     193.0        79.7836         18.1541         16.0451         -48.8274         10.0024         -8.5159      
     192.0        79.4718         13.9051         7.7914         -46.4038         12.8883         -6.3264      
     191.0        77.2043         9.6898         1.8133         -43.8897         14.4984         -3.7943      
     190.0        73.1156         5.7869         -2.0810         -40.6780         14.4856         -0.9869      
     189.0        67.5271         2.0613         -5.0560         -38.0308         14.0061         1.7003      
     188.0        61.1163         -1.4598         -6.0155         -34.0401         12.7003         3.5931      
     187.0        54.3665         -5.0625         -4.9850         -29.3440         10.9643         4.6314      
     186.0        47.6814         -8.2737         -3.1995         -24.2580         8.2964         5.4283      
     185.0        41.8447         -11.2235         -3.2254         -18.6169         6.0091         5.1728      
     184.0        36.5911         -13.5003         -3.8152         -13.3253         3.2987         4.4474      
     183.0        31.9631         -15.1653         -6.3895         -9.0691         0.7102         3.4892      
     182.0        28.0696         -16.8559         -8.7790         -3.6855         -2.2167         2.2251      
     181.0        24.9764         -18.2485         -11.7952         0.8533         -4.7099         0.7127      
     180.0        22.2082         -19.3099         -12.6727         5.5803         -7.4067         -0.9924      
     179.0        20.1601         -19.9913         -14.6662         8.7988         -9.1810         -2.9148      
     178.0        18.3562         -20.0159         -16.6737         11.2951         -10.8977         -4.9124      



#Calibration curves for SS error estimation:
# curve     1-globular,unscaled  2-globular,rescaled  3-general,unscaled   4-general,rescaled
#RMSDj/     dSSj_mean  dSSj_SD   dSSj_mean  dSSj_SD   dSSj_mean  dSSj_SD   dSSj_mean  dSSj_SD
#   0.000     0.000     0.048      0.000     0.063      0.000     0.067      0.000     0.042
#   0.150     0.036     0.048      0.072     0.063      0.026     0.067      0.015     0.042 
#   0.450     0.107     0.048      0.124     0.053      0.078     0.067      0.102     0.065 
#   0.750     0.135     0.055      0.148     0.060      0.124     0.073      0.156     0.074 
#   1.050     0.151     0.059      0.169     0.069      0.166     0.077      0.197     0.081 
#   1.350     0.161     0.062      0.185     0.075      0.196     0.089      0.227     0.089 
#   1.650     0.168     0.065      0.200     0.080      0.216     0.092      0.252     0.094 
#   1.950     0.178     0.066      0.216     0.083      0.230     0.094      0.267     0.097 
#   2.250     0.187     0.068      0.232     0.087      0.243     0.095      0.282     0.099 
#   2.550     0.195     0.070      0.247     0.089      0.252     0.094      0.295     0.101 
#   2.850     0.203     0.070      0.261     0.091      0.261     0.097      0.304     0.101 
#   3.150     0.211     0.073      0.276     0.095      0.270     0.097      0.312     0.100 
#   3.450     0.217     0.073      0.289     0.097      0.275     0.096      0.321     0.098 
#   3.750     0.225     0.076      0.304     0.097      0.283     0.096      0.331     0.098 
#   4.050     0.231     0.076      0.317     0.099      0.291     0.097      0.341     0.097 
#   4.350     0.237     0.079      0.329     0.102      0.297     0.098      0.349     0.099 
#   4.650     0.244     0.080      0.339     0.099      0.304     0.098      0.357     0.099 
#   4.950     0.250     0.081      0.352     0.098      0.310     0.100      0.364     0.100 
#   5.250     0.256     0.084      0.363     0.097      0.317     0.100      0.374     0.100 
#   5.550     0.262     0.086      0.375     0.098      0.321     0.100      0.384     0.102 
#   5.850     0.267     0.089      0.386     0.102      0.326     0.100      0.389     0.105 
#   6.150     0.272     0.090      0.397     0.105      0.332     0.101      0.391     0.104 
#   6.450     0.277     0.092      0.404     0.108      0.336     0.102      0.396     0.106 
#   6.750     0.283     0.095      0.406     0.105      0.341     0.103      0.401     0.105 
#   7.050     0.286     0.095      0.414     0.106      0.346     0.103      0.408     0.104 
#   7.350     0.289     0.097      0.412     0.102      0.348     0.104      0.414     0.105 
#   7.650     0.294     0.100      0.414     0.099      0.354     0.103      0.415     0.105 
#   7.950     0.299     0.100      0.418     0.098      0.357     0.105      0.420     0.107 
#   8.250     0.302     0.103      0.424     0.097      0.363     0.104      0.421     0.104 
#   8.550     0.307     0.104      0.430     0.095      0.365     0.104      0.425     0.103 
#   8.850     0.311     0.107      0.436     0.096      0.369     0.106      0.432     0.101 
#   9.150     0.316     0.110      0.444     0.101      0.371     0.105      0.432     0.099 
