#Derived Basis Spectrum set for calculating CD spectra
#spectrum_list: /home/gnagy/Documents/Gottingen/IDPs/experiments/CD_test/arom/PCA_2/Baselines/SC_H1869/MP79/spectra_side.inp
#SS_list: /home/gnagy/Documents/Gottingen/IDPs/experiments/CD_test/sets/DS_det_MP79.inp
#Number of decomposed  spectra: 79

#Combination matrix for Structural Properties:
#Basis/  3H        ALH       PIH       EBS       NBS       PP        TI        TII       TVIII     GXT       SCH       HP        TC        HC        BC        BU        LTII      LHH       UC        
# GRP1 :    0.0000    1.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    1.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    1.0000    0.0000    0.0000    0.0000  
# GRP2 :    1.0000    0.0000    0.0000    0.0000    1.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    1.0000    0.0000    0.0000  
# GRP3 :    0.0000    0.0000    1.0000    0.0000    0.0000    0.0000    0.0000    1.0000    0.0000    1.0000    0.0000    0.0000    1.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000  
# GRP4 :    0.0000    0.0000    0.0000    1.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    1.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000  
# GRP5 :    0.0000    0.0000    0.0000    0.0000    0.0000    1.0000    1.0000    0.0000    0.0000    0.0000    1.0000    0.0000    0.0000    0.0000    1.0000    0.0000    0.0000    1.0000    0.0000  
# GRP6 :    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    1.0000    0.0000    0.0000    0.0000    0.0000    1.0000  


#|  Wavelength      GRP1           GRP2           GRP3           GRP4           GRP5           GRP6           
#      nm        T (10^3)       T (10^3)       T (10^3)       T (10^3)       T (10^3)       T (10^3)      
     269.0        0.1650         -0.1570         -0.4423         0.1456         0.4328         -0.1933      
     268.0        0.4091         -0.5967         -3.0625         0.3842         0.8876         0.0001      
     267.0        0.0767         -0.0299         -1.5232         0.0126         0.1655         0.1177      
     266.0        -0.0982         0.2261         0.0246         0.0594         -0.2936         0.0814      
     265.0        -0.1257         0.1821         0.6779         -0.0724         -0.1793         -0.0396      
     264.0        -0.0272         -0.0360         -0.3196         -0.0772         0.2186         -0.0674      
     263.0        0.0357         -0.1311         -1.5444         -0.1385         0.4926         -0.0158      
     262.0        -0.1447         0.2950         -0.2771         -0.7015         0.1470         -0.0591      
     261.0        -0.3098         0.7295         1.4163         -0.9864         -0.3880         -0.0943      
     260.0        -0.2314         0.5435         1.6680         -0.7671         -0.2107         -0.1783      
     259.0        0.0291         -0.1758         -0.1767         -0.1205         0.5746         -0.2320      
     258.0        0.1656         -0.5437         -1.7511         0.2526         0.9601         -0.1666      
     257.0        0.1354         -0.6545         -1.9564         0.4069         0.9833         -0.1593      
     256.0        0.0079         -0.4731         -1.3527         -0.1399         1.0477         -0.2849      
     255.0        -0.2140         0.1485         1.7498         -0.8054         0.2412         -0.3975      
     254.0        -0.2134         0.1388         2.6848         -0.4578         0.1206         -0.4714      
     253.0        -0.1865         0.0815         2.1666         -0.1084         0.1408         -0.4262      
     252.0        -0.2991         0.2277         1.9602         0.0140         -0.0661         -0.3350      
     251.0        -0.3747         0.1210         1.6003         0.0677         0.0762         -0.3349      
     250.0        -0.3573         -0.1213         0.2954         -0.2674         0.6733         -0.3994      
     249.0        -0.3972         -0.1058         -0.3194         -0.5147         0.7850         -0.3867      
     248.0        -0.3885         -0.4402         -1.1516         -0.0729         1.0726         -0.4030      
     247.0        -0.5174         -0.3212         -1.1224         -0.1984         0.9596         -0.3813      
     246.0        -0.8596         0.1775         0.2368         -0.5270         0.4657         -0.4206      
