#Derived Basis Spectrum set for calculating CD spectra
#spectrum_list: /home/gnagy/Documents/Gottingen/IDPs/experiments/CD_test/arom/side_Avg6/Baselines/DS6-1/MP79/CD_corr.inp
#SS_list: /home/gnagy/Documents/Gottingen/IDPs/experiments/CD_test/sets/DS_det_MP79.inp
#Number of decomposed  spectra: 79

#Combination matrix for Structural Properties:
#Basis/     3H        ALH       PIH       EBS       NBS       PP        TI        TII       TVIII     GXT       SCH       HP        TC        HC        BC        BU        LTII      LHH       UC        
# HEL1 :    0.0000    1.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    1.0000    1.0000    0.0000    0.0000    0.0000    1.0000    0.0000  
# HEL2 :    0.0000    0.0000    1.0000    0.0000    0.0000    1.0000    0.0000    0.0000    0.0000    0.0000    1.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000  
# BST1 :    1.0000    0.0000    0.0000    0.0000    1.0000    0.0000    0.0000    0.0000    0.0000    1.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000  
# BST2 :    0.0000    0.0000    0.0000    1.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    1.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000  
# TRN1 :    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    1.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    1.0000    1.0000    1.0000    0.0000    0.0000  
# COIL :    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    1.0000    1.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    1.0000  


#|  Wavelength      HEL1           HEL2           BST1           BST2           TRN1           COIL           
#      nm        T (10^3)       T (10^3)       T (10^3)       T (10^3)       T (10^3)       T (10^3)      
     269.0        0.1892         0.4103         0.1389         -0.0809         0.1890         -0.4689      
     268.0        0.3394         0.6759         -0.2588         0.1373         0.2825         -0.4745      
     267.0        0.0839         -0.4549         -0.1094         0.0788         0.2589         -0.0037      
     266.0        -0.0531         -0.5803         0.1033         0.1518         -0.1254         0.2084      
     265.0        -0.0823         -0.3706         0.0839         0.0426         0.0040         0.1150      
     264.0        -0.0227         0.4038         0.0976         -0.0329         -0.0680         -0.1147      
     263.0        0.0088         0.7127         0.1835         -0.2413         -0.0404         -0.2912      
     262.0        -0.1238         0.2540         0.3251         -0.5382         0.0489         -0.1291      
     261.0        -0.2408         -0.4035         0.3809         -0.5330         0.1006         0.1155      
     260.0        -0.1835         -0.0150         0.1364         -0.3343         0.0910         0.1691      
     259.0        -0.0101         0.9384         -0.2812         0.0008         0.2659         -0.1098      
     258.0        0.0809         1.4368         -0.4288         0.2388         0.1632         -0.2329      
     257.0        0.0593         1.3030         -0.4803         0.4079         0.2358         -0.2857      
     256.0        -0.0293         1.1985         -0.3527         0.1578         0.5063         -0.4383      
     255.0        -0.1501         0.3392         -0.0883         -0.1789         0.4820         -0.2091      
     254.0        -0.1436         0.5151         -0.2255         0.1786         0.3911         -0.1317      
     253.0        -0.1252         0.4550         -0.2088         0.2617         0.3229         -0.1001      
     252.0        -0.2384         0.3254         0.0016         0.1971         0.0823         0.0014      
     251.0        -0.3340         0.5951         -0.0375         0.1826         0.0763         0.0196      
     250.0        -0.3509         1.3366         -0.0378         -0.1283         0.2174         -0.2988      
     249.0        -0.4108         1.7423         0.1681         -0.5065         0.0185         -0.4068      
     248.0        -0.4107         1.5185         -0.2527         0.0488         0.3919         -0.5162      
     247.0        -0.5234         1.1100         -0.2247         0.0599         0.4961         -0.5287      
     246.0        -0.8007         0.5424         0.1510         -0.1310         0.4267         -0.4765      
     245.0        -1.1353         0.3125         0.3275         -0.0539         0.3867         -0.4940      
     244.0        -1.4566         1.0202         0.4144         -0.4573         0.5594         -0.8013      
     243.0        -1.8660         1.1724         0.5126         -0.2877         0.5425         -0.9205      
     242.0        -2.4737         0.8847         0.3771         -0.0656         0.7612         -0.8348      
     241.0        -3.2076         1.2271         0.3844         -0.3674         0.9353         -0.8192      
     240.0        -4.1991         1.0050         0.7574         -0.8365         0.9354         -0.5795      
     239.0        -5.5314         0.7068         1.3381         -1.5735         0.9808         -0.3721      
     238.0        -6.9958         1.1812         1.9216         -2.8912         1.1646         -0.3234      
     237.0        -8.6770         0.4640         2.7539         -3.8478         1.1368         -0.0253      
     236.0        -10.5686         -0.2723         3.5516         -5.4302         1.3207         0.3488      
     235.0        -12.5693         -0.8789         4.1581         -6.5673         1.5498         0.6167      
     234.0        -14.8652         -1.6738         4.9230         -7.7490         1.6070         1.0968      
     233.0        -17.3865         -2.4421         5.7135         -9.1104         1.7476         1.4373      
     232.0        -20.0891         -2.9423         6.2999         -10.1300         1.7578         1.8227      
     231.0        -22.9141         -2.5850         7.0209         -11.2656         1.5178         2.0336      
     230.0        -25.7503         -2.7593         7.3852         -12.3826         1.9106         2.1627      
     229.0        -28.3797         -2.8207         7.2664         -12.5055         2.4223         2.1404      
     228.0        -30.8096         -2.4583         7.2222         -12.7097         2.6465         1.9942      
     227.0        -32.8717         -1.5860         6.7122         -12.3705         2.9132         1.5829      
     226.0        -34.6420         -1.0746         5.8066         -11.3825         3.1863         1.2548      
     225.0        -35.9692         0.4090         4.6587         -9.8827         3.4514         0.4463      
