#Derived Basis Spectrum set for calculating CD spectra
#spectrum_list: /home/gnagy/Documents/Gottingen/IDPs/experiments/CD_test/arom/side_Avg6/Baselines/DSSP-T0/MP79/CD_corr.inp
#SS_list: /home/gnagy/Documents/Gottingen/IDPs/experiments/CD_test/sets/Dssp_MP79.inp
#Number of decomposed  spectra: 79

#Combination matrix for Structural Properties:
#Basis/     3-Helix   4-Helix   5-Helix   Bend      Beta-Bridge Beta-strand Turn      Unclassified 
# Helix  :    1.0000    1.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000  
# Strand :    0.0000    0.0000    1.0000    0.0000    0.0000    1.0000    0.0000    0.0000  
# Bridge :    0.0000    0.0000    0.0000    0.0000    1.0000    0.0000    0.0000    0.0000  
# Other  :    0.0000    0.0000    0.0000    1.0000    0.0000    0.0000    1.0000    1.0000  


#|  Wavelength    Helix          Strand         Bridge          Other            
#      nm        T (10^3)       T (10^3)       T (10^3)       T (10^3)      
     269.0        0.1376         0.0971         1.7945         -0.1632      
     268.0        0.2345         0.0099         0.4860         -0.0982      
     267.0        0.0567         0.0550         -0.4098         -0.0170      
     266.0        -0.0552         0.0377         -0.3804         0.0280      
     265.0        -0.0700         0.0056         0.3222         0.0148      
     264.0        -0.0172         -0.0332         0.9771         -0.0147      
     263.0        0.0246         0.0153         0.8053         -0.0675      
     262.0        -0.0450         0.0827         -0.1038         -0.0418      
     261.0        -0.1290         0.1388         -0.6938         -0.0001      
     260.0        -0.1272         0.0389         -0.3071         0.0870      
     259.0        -0.0414         -0.1018         1.0474         0.0978      
     258.0        0.0204         -0.1371         1.0971         0.0843      
     257.0        -0.0058         -0.1126         1.2362         0.0424      
     256.0        -0.0311         -0.0340         1.6238         -0.0386      
     255.0        -0.1068         0.0554         0.8756         -0.0398      
     254.0        -0.1236         0.0518         0.2111         0.0233      
     253.0        -0.1193         0.0358         0.3251         0.0337      
     252.0        -0.1848         0.0807         -0.5243         0.0359      
     251.0        -0.2569         0.0611         -0.5976         0.0669      
