#Derived Basis Spectrum set for calculating CD spectra
#spectrum_list: /home/gnagy/Documents/Gottingen/IDPs/experiments/CD_test/arom/SC_Dssp-1/Baselines/SC_2T121/MP79/spectra_side.inp
#SS_list: /home/gnagy/Documents/Gottingen/IDPs/experiments/CD_test/sets/Dssp_MP79.inp
#Number of decomposed  spectra: 79

#Combination matrix for Structural Properties:
#Basis/    3-Helix   4-Helix   5-Helix   Bend   Beta-Bridge Beta-strand Turn     Unclassified 
# BS1 :    1.0000    1.0000    1.0000    0.0000    0.0000    0.0000    0.0000    0.0000  
# BS2 :    0.0000    0.0000    0.0000    0.0000    0.0000    1.0000    0.0000    0.0000  
# BS3 :    0.0000    0.0000    0.0000    1.0000    1.0000    0.0000    1.0000    1.0000  


#|  Wavelength      BS1            BS2            BS3            
#      nm        T (10^3)       T (10^3)       T (10^3)      
     269.0        0.1750         0.2357         -0.2317      
     268.0        0.2881         0.1805         -0.2397      
     267.0        0.0693         0.0949         -0.0891      
     266.0        -0.0794         -0.0235         0.0364      
     265.0        -0.0880         -0.0553         0.0423      
     264.0        -0.0307         -0.0700         0.0292      
     263.0        0.0347         0.0283         -0.0713      
     262.0        -0.0337         0.0768         -0.0552      
     261.0        -0.1209         0.1188         -0.0244      
     260.0        -0.1216         0.0673         0.0496      
     259.0        -0.0292         -0.0279         0.0683      
     258.0        0.0362         -0.0533         0.0441      
     257.0        0.0168         -0.0248         -0.0160      
     256.0        -0.0055         0.0459         -0.0825      
     255.0        -0.0770         0.1175         -0.1155      
     254.0        -0.0953         0.1391         -0.0936      
     253.0        -0.1142         0.0612         -0.0140      
     252.0        -0.1898         0.0246         0.0259      
     251.0        -0.2763         -0.0492         0.0921      
     250.0        -0.2526         -0.0152         -0.0027      
     249.0        -0.2749         0.0596         -0.0990      
     248.0        -0.2796         0.1968         -0.2591      
     247.0        -0.3633         0.2976         -0.3466      
     246.0        -0.5391         0.4737         -0.4651      
     245.0        -0.7913         0.6452         -0.6115      
     244.0        -1.0278         0.7755         -0.7618      
     243.0        -1.3370         0.8896         -0.8881      
     242.0        -1.8332         1.0151         -0.9907      
     241.0        -2.4273         1.1666         -1.0688      
     240.0        -3.2124         1.4571         -1.1766      
     239.0        -4.2729         1.8063         -1.3229      
     238.0        -5.4616         2.1078         -1.4260      
     237.0        -6.7945         2.4917         -1.6114      
     236.0        -8.2336         2.9422         -1.8915      
     235.0        -9.7850         3.3854         -2.2359      
     234.0        -11.5850         3.8157         -2.5405      
     233.0        -13.5787         4.1828         -2.8995      
     232.0        -15.8622         4.2482         -3.0634      
     231.0        -18.3025         4.0832         -3.0766      
     230.0        -20.8019         3.7542         -3.0318      
     229.0        -23.2264         3.1840         -2.8741      
     228.0        -25.5041         2.4420         -2.6588      
     227.0        -27.5077         1.4945         -2.4528      
     226.0        -29.3472         0.3556         -2.1568      
     225.0        -30.8656         -0.9482         -1.8275      
     224.0        -32.0066         -2.3229         -1.5156      
     223.0        -32.8422         -3.7946         -1.1552      
     222.0        -33.3539         -5.1461         -0.8486      
     221.0        -33.5432         -6.3839         -0.6385      
     220.0        -33.4525         -7.2970         -0.6381      
     219.0        -33.1112         -8.0845         -0.7372      
     218.0        -32.5592         -8.6723         -0.9197      
     217.0        -32.0349         -8.9701         -1.1581      
     216.0        -31.5389         -8.9398         -1.4124      
     215.0        -31.0400         -8.4778         -1.8704      
     214.0        -30.6737         -7.6698         -2.3923      
     213.0        -30.4410         -6.6570         -3.0392      
     212.0        -30.2868         -5.3083         -3.8656      
     211.0        -30.3904         -3.5773         -4.8790      
     210.0        -30.4359         -1.7093         -6.0152      
     209.0        -30.0336         0.4558         -7.4512      
     208.0        -28.7601         2.8843         -9.0883      
     207.0        -26.1815         5.4285         -10.9536      
     206.0        -22.0754         8.2152         -13.1067      
     205.0        -16.6918         11.0363         -15.2763      
     204.0        -10.1050         13.6486         -17.3635      
     203.0        -2.6015         16.2251         -19.2902      
     202.0        5.6288         18.7291         -20.9679      
     201.0        14.6416         20.8405         -22.1780      
     200.0        24.3292         22.5883         -23.0223      
