#Derived Basis Spectrum set for calculating CD spectra
#spectrum_list: /home/gnagy/Documents/Gottingen/IDPs/experiments/CD_test/arom/side_Avg6/Baselines/Ar-2/MP79/CD_corr.inp
#SS_list: /home/gnagy/Documents/Gottingen/IDPs/experiments/CD_test/sets/HB_ext_MP79.inp
#Number of decomposed  spectra: 79

#Combination matrix for Structural Properties:
#Basis/        4H        3H        5H        TU        UNC       LHP       NBP       RHP       LHA       NBA       RHA       
# Helix_reg :  1.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000  
# Helix_irr :  0.0000    1.0000    1.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000  
# Beta_all :   0.0000    0.0000    0.0000    0.0000    0.0000    1.0000    1.0000    1.0000    1.0000    1.0000    1.0000  
# Turn :       0.0000    0.0000    0.0000    1.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000  
# Other :      0.0000    0.0000    0.0000    0.0000    1.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000  


#|  Wavelength      Helix_reg      Helix_irr      Beta_all       Turn           Other          
#      nm        T (10^3)       T (10^3)       T (10^3)       T (10^3)       T (10^3)      
     269.0        0.1179         0.1036         0.0904         0.0750         -0.1804      
     268.0        0.3626         -1.0111         0.0553         0.0663         -0.1095      
     267.0        0.0691         0.1353         0.0882         -0.0752         -0.0088      
     266.0        -0.0980         0.6676         0.0014         -0.0585         0.0284      
     265.0        -0.1113         0.2924         -0.0219         0.0353         0.0047      
     264.0        -0.0332         -0.1080         -0.0825         0.1282         -0.0349      
     263.0        0.0147         -0.2993         -0.0225         0.1272         -0.0903      
     262.0        -0.0956         0.2442         0.1840         -0.0623         -0.0494      
     261.0        -0.2288         1.1231         0.2346         -0.2083         0.0134      
     260.0        -0.1755         1.2577         0.0355         -0.1748         0.1080      
     259.0        0.0143         0.3575         -0.1756         0.0083         0.1096      
     258.0        0.0655         0.3619         -0.3792         0.1185         0.0884      
     257.0        0.0132         0.5153         -0.4153         0.1298         0.0458      
     256.0        -0.0889         0.8960         -0.2677         0.0734         -0.0351      
     255.0        -0.2401         1.8019         -0.1908         -0.0593         -0.0269      
     254.0        -0.2071         1.7823         -0.2039         -0.1101         0.0476      
     253.0        -0.1826         1.7453         -0.1031         -0.1699         0.0558      
     252.0        -0.2940         2.0196         -0.0266         -0.2338         0.0531      
     251.0        -0.3587         1.8356         -0.0138         -0.2376         0.0888      
     250.0        -0.3625         1.4353         -0.0944         -0.1257         0.0064      
     249.0        -0.4227         1.3270         -0.1988         -0.0490         -0.0433      
     248.0        -0.4376         1.0864         -0.2447         -0.0742         -0.0729      
     247.0        -0.5290         0.9660         -0.0909         -0.1865         -0.1219      
     246.0        -0.7875         1.5016         0.1978         -0.4099         -0.1841      
     245.0        -1.1141         1.6695         0.2810         -0.4985         -0.2472      
     244.0        -1.3988         1.1970         0.2353         -0.4212         -0.3476      
     243.0        -1.8457         1.5475         0.1497         -0.4047         -0.4371      
