#Derived Basis Spectrum set for calculating CD spectra
#spectrum_list: /home/gnagy/Documents/Gottingen/IDPs/experiments/CD_test/sets/spectrum_R0.inp
#SS_list: /home/gnagy/Documents/Gottingen/IDPs/experiments/CD_test/sets/DS_det_R0.inp
#Number of decomposed  spectra: 69

#Combination matrix for Structural Properties:
#Basis/     3H        ALH       PIH       EBS       NBS       PP        TI        TII       TVIII     GXT       SCH       HP        TC        HC        BC        BU        LTII      LHH       UC        
# GRP1 :    1.0000    1.0000    1.0000    0.0000    0.0000    0.0000    0.0000    0.0000    1.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000  
# GRP2 :    0.0000    0.0000    0.0000    1.0000    1.0000    0.0000    0.0000    1.0000    0.0000    0.0000    0.0000    0.0000    1.0000    1.0000    0.0000    0.0000    0.0000    0.0000    0.0000  
# GRP3 :    0.0000    0.0000    0.0000    0.0000    0.0000    1.0000    1.0000    0.0000    0.0000    1.0000    1.0000    0.0000    0.0000    0.0000    0.0000    1.0000    0.0000    1.0000    0.0000  
# GRP4 :    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    1.0000    0.0000    0.0000    1.0000    0.0000    1.0000    0.0000    1.0000  


#|  Wavelength      GRP1           GRP2           GRP3           GRP4           
#      nm        T (10^3)       T (10^3)       T (10^3)       T (10^3)      
     269.0        0.0882         0.0656         0.8285         -0.4316      
     268.0        0.1883         0.0605         0.8509         -0.4763      
     267.0        0.0146         0.0556         0.1963         -0.1150      
     266.0        -0.0531         0.0016         -0.2853         0.1578      
     265.0        -0.0455         -0.0074         -0.4321         0.2042      
     264.0        -0.0027         -0.0102         -0.3393         0.1244      
     263.0        0.0152         -0.0165         0.0242         -0.0543      
     262.0        -0.0876         0.0941         -0.0553         -0.0601      
     261.0        -0.1631         0.1344         -0.1502         -0.0079      
     260.0        -0.1194         0.0833         0.0756         -0.0208      
     259.0        -0.0116         -0.0099         0.4767         -0.1590      
     258.0        0.0425         -0.0164         0.3904         -0.1568      
     257.0        0.0074         -0.0498         0.3661         -0.1493      
     256.0        -0.0656         -0.0749         0.3973         -0.1327      
     255.0        -0.1270         -0.1011         0.1502         0.0084      
     254.0        -0.1323         -0.1710         0.2535         0.0728      
     253.0        -0.1193         -0.1963         0.1887         0.1219      
     252.0        -0.1888         -0.1390         -0.1440         0.2036      
     251.0        -0.2584         -0.1730         -0.1204         0.2024      
     250.0        -0.2923         -0.2001         0.2168         0.0278      
     249.0        -0.3351         -0.1853         0.2252         -0.0268      
     248.0        -0.4321         -0.1539         0.3828         -0.1268      
     247.0        -0.5555         -0.0820         0.2497         -0.1411      
     246.0        -0.8047         0.0435         -0.0314         -0.1225      
     245.0        -1.1231         0.1525         -0.1371         -0.2122      
     244.0        -1.4320         0.1694         0.2467         -0.4389      
     243.0        -1.8283         0.1585         0.2848         -0.4516      
     242.0        -2.4189         0.1457         0.2068         -0.4271      
     241.0        -3.0526         0.1302         0.0847         -0.3928      
     240.0        -3.9206         0.2689         -0.2961         -0.3086      
     239.0        -5.1151         0.4897         -0.7730         -0.2542      
     238.0        -6.4576         0.6144         -0.8061         -0.2495      
     237.0        -8.0036         0.6835         -1.3489         0.0252      
     236.0        -9.7073         0.6671         -1.7403         0.2628      
     235.0        -11.4991         0.5980         -2.1635         0.4924      
     234.0        -13.5392         0.5112         -2.7379         0.7902      
     233.0        -15.8027         0.3426         -3.3332         1.0689      
     232.0        -18.2662         0.2384         -3.7334         1.1885      
     231.0        -20.8071         -0.0710         -3.6874         1.2469      
     230.0        -23.3949         -0.3132         -3.2964         1.0786      
     229.0        -25.8109         -0.6460         -2.9992         0.9483      
     228.0        -28.0670         -1.0847         -2.5479         0.7655      
     227.0        -30.0574         -1.6705         -1.8729         0.4829      
     226.0        -31.7708         -2.3512         -1.1469         0.1906      
     225.0        -33.1256         -3.0984         0.2628         -0.4027      
     224.0        -34.0638         -3.8370         1.7733         -1.1148      
     223.0        -34.6288         -4.6371         3.0495         -1.7379      
     222.0        -34.8820         -5.3149         4.1039         -2.3529      
     221.0        -34.8555         -5.9784         5.1703         -2.9917      
     220.0        -34.5644         -6.5101         5.9853         -3.6118      
     219.0        -34.0917         -6.8928         6.5213         -4.1964      
     218.0        -33.4035         -7.1658         7.0474         -4.8375      
     217.0        -32.7852         -7.1035         6.8831         -5.3123      
     216.0        -32.2062         -6.6332         6.4526         -5.8433      
     215.0        -31.7321         -5.8335         5.6151         -6.3538      
     214.0        -31.4689         -4.5918         4.2733         -6.8529      
     213.0        -31.4300         -3.0512         2.3143         -7.3018      
     212.0        -31.5309         -1.2565         0.0724         -7.8304      
     211.0        -31.9856         1.0395         -2.7552         -8.4490      
     210.0        -32.3778         3.7141         -6.0396         -9.2524      
     209.0        -32.3486         6.7276         -9.9651         -10.1981      
     208.0        -31.4249         10.0277         -14.6416         -11.1318      
     207.0        -29.0718         13.5915         -20.4476         -12.0055      
     206.0        -25.0742         17.3421         -26.7003         -13.0383      
     205.0        -19.7602         21.2888         -33.3172         -14.0813      
     204.0        -13.0878         25.1929         -39.6557         -15.2289      
     203.0        -5.3935         29.0951         -45.2415         -16.5507      
     202.0        3.0830         32.6736         -49.4349         -17.9784      
     201.0        12.5329         35.8203         -52.4387         -19.3801      
     200.0        22.8742         38.2451         -54.0762         -20.6633      
     199.0        33.7727         40.0047         -54.6968         -21.6381      
     198.0        44.7260         40.7614         -54.2488         -22.0828      
     197.0        54.6473         40.7754         -53.0085         -22.0982      
     196.0        62.6548         39.9593         -50.9219         -21.5856      
     195.0        68.3827         38.2706         -47.2526         -20.8765      
     194.0        71.8311         35.7047         -42.7022         -19.6500      
     193.0        73.1939         32.4406         -37.5408         -17.9905      
     192.0        72.7293         28.5144         -32.7016         -15.5535      
     191.0        70.6625         24.3994         -27.8847         -13.1632      
     190.0        67.1913         19.9635         -24.0405         -10.2829      
     189.0        62.3388         15.4555         -20.1778         -7.6689      
     188.0        56.8131         11.2255         -15.9153         -5.8304      
     187.0        51.1485         6.8078         -11.6829         -4.3440      
     186.0        45.5222         2.6218         -7.9954         -3.1676      
     185.0        40.4569         -1.0813         -3.9918         -2.9979      
     184.0        35.9086         -4.5713         -0.6754         -3.1236      
     183.0        31.6950         -7.6679         2.0796         -3.6433      
     182.0        28.2665         -10.2846         4.9060         -4.8461      
     181.0        25.3142         -13.0037         7.0231         -5.6795      
     180.0        22.7564         -15.1069         8.9638         -6.8272      
     179.0        20.7862         -16.7988         10.4408         -8.1009      
     178.0        19.2043         -17.8387         10.7092         -9.4458      
