#Derived Basis Spectrum set for calculating CD spectra
#spectrum_list: /home/gnagy/Documents/Gottingen/IDPs/experiments/CD_test/sets/spectrum_SP175.inp
#SS_list: /home/gnagy/Documents/Gottingen/IDPs/experiments/CD_test/sets/DISICL_det_SP175.inp
#Number of decomposed  spectra: 71

#Combination matrix for Structural Properties:
#Basis/     3H       ALH      PIH      EBS      NBS      PP       TI       TII      TVIII    GXT      SCH      HP       TC       HC       BC       BU       LTII     LHH      UC        
# Alpha :   1.000    1.000    1.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000  
# Beta :    0.000    0.000    0.000    1.000    1.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000  
# Coil :    0.000    0.000    0.000    0.000    0.000    1.000    1.000    1.000    1.000    1.000    1.000    1.000    1.000    1.000    1.000    1.000    1.000    1.000    1.000  


#|  Wavelength      Alpha          Beta           Coil           
#      nm        T (10^3)       T (10^3)       T (10^3)      
     269.0         0.162          0.408         -0.149      
     268.0         0.301          0.394         -0.185      
     267.0         0.051          0.189         -0.048      
     266.0        -0.068          0.099          0.008      
     265.0        -0.094          0.054          0.023      
     264.0        -0.037          0.059          0.001      
     263.0        -0.003          0.165         -0.050      
     262.0        -0.114          0.125         -0.001      
     261.0        -0.238          0.034          0.076      
     260.0        -0.219         -0.102          0.143      
     259.0        -0.078         -0.150          0.121      
     258.0        -0.004         -0.210          0.109      
     257.0        -0.023         -0.173          0.074      
     256.0        -0.075         -0.135          0.057      
     255.0        -0.170         -0.121          0.074      
     254.0        -0.170         -0.128          0.094      
     253.0        -0.148         -0.104          0.084      
     252.0        -0.241         -0.110          0.093      
     251.0        -0.320         -0.172          0.121      
     250.0        -0.333         -0.140          0.078      
     249.0        -0.373         -0.050          0.022      
     248.0        -0.411          0.064         -0.054      
     247.0        -0.506          0.229         -0.136      
     246.0        -0.734          0.426         -0.199      
     245.0        -1.039          0.601         -0.272      
     244.0        -1.356          0.715         -0.331      
     243.0        -1.769          0.841         -0.384      
     242.0        -2.396          0.889         -0.396      
     241.0        -3.106          1.018         -0.426      
     240.0        -4.033          1.209         -0.431      
     239.0        -5.269          1.478         -0.463      
     238.0        -6.631          1.715         -0.479      
     237.0        -8.194          2.047         -0.532      
     236.0        -9.926          2.414         -0.610      
     235.0        -11.756          2.977         -0.801      
     234.0        -13.829          3.509         -0.968      
     233.0        -16.110          4.022         -1.191      
     232.0        -18.598          4.281         -1.367      
     231.0        -21.210          4.244         -1.467      
     230.0        -23.870          3.996         -1.528      
     229.0        -26.401          3.544         -1.565      
     228.0        -28.751          2.883         -1.576      
     227.0        -30.776          2.033         -1.621      
     226.0        -32.526          1.007         -1.668      
     225.0        -33.877         -0.134         -1.745      
     224.0        -34.807         -1.389         -1.836      
