#Derived Basis Spectrum set for calculating CD spectra
#spectrum_list: /home/gnagy/Documents/Gottingen/IDPs/experiments/CD_test/sets/spectrum_SP175.inp
#SS_list: /home/gnagy/Documents/Gottingen/IDPs/experiments/CD_test/sets/DISICL_simple_SP175.inp
#Number of decomposed  spectra: 71

#Combination matrix for Structural Properties:
#Basis/      3HT      HEL      BS       IRB      BT       OTT      LHT      UC        
# HELX1 :    0.000    1.000    0.000    0.000    0.000    0.000    0.000    0.000  
# BETA1 :    0.000    0.000    1.000    0.000    1.000    0.000    0.000    0.000  
# HELX2 :    1.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000  
# BETA2 :    0.000    0.000    0.000    1.000    0.000    0.000    0.000    0.000  
# OTHER :    0.000    0.000    0.000    0.000    0.000    1.000    1.000    1.000  


#|  Wavelength      HELX1          BETA1          HELX2          BETA2          OTHER          
#      nm        T (10^3)       T (10^3)       T (10^3)       T (10^3)       T (10^3)      
     269.0         0.160          0.446          0.372         -0.670         -0.501      
     268.0         0.452          0.369         -0.626          0.531         -0.535      
     267.0         0.063          0.224          0.118         -0.437         -0.175      
     266.0        -0.137          0.031          0.143         -1.158          0.281      
     265.0        -0.149          0.031          0.118         -0.964          0.243      
     264.0        -0.056          0.004         -0.061         -0.186          0.108      
     263.0        -0.007          0.123          0.012          0.108         -0.145      
     262.0        -0.164          0.118          0.374          0.021         -0.128      
     261.0        -0.366          0.065          0.916         -0.235         -0.040      
     260.0        -0.344         -0.045          0.891         -0.073          0.096      
     259.0        -0.082         -0.097          0.201          0.899          0.013      
     258.0         0.013         -0.205         -0.107          0.869          0.151      
     257.0        -0.016         -0.165         -0.108          0.525          0.140      
     256.0        -0.066         -0.005          0.209          0.818         -0.194      
     255.0        -0.237          0.043          0.712          0.365         -0.213      
     254.0        -0.233          0.080          0.800          0.477         -0.270      
     253.0        -0.220          0.145          0.891         -0.220         -0.232      
     252.0        -0.365          0.069          0.923         -0.982          0.042      
     251.0        -0.469          0.007          1.002         -1.002          0.126      
     250.0        -0.412          0.114          0.818         -0.113         -0.215      
     249.0        -0.413          0.213          0.551         -0.250         -0.286      
     248.0        -0.339          0.426          0.143          0.020         -0.591      
     247.0        -0.400          0.634          0.048         -0.341         -0.788      
     246.0        -0.652          0.840          0.188         -0.961         -0.900      
     245.0        -0.964          1.087          0.347         -1.224         -1.172      
     244.0        -1.246          1.357          0.541         -0.408         -1.732      
     243.0        -1.659          1.632          0.652         -1.119         -1.920      
     242.0        -2.252          1.888          0.649         -1.606         -2.082      
     241.0        -2.866          2.200          0.288         -1.251         -2.376      
     240.0        -3.820          2.515          0.353         -2.179         -2.368      
     239.0        -5.091          2.976          0.619         -2.929         -2.597      
     238.0        -6.485          3.462          1.017         -3.039         -3.003      
     237.0        -8.158          4.036          1.565         -5.223         -3.092      
     236.0        -9.944          4.606          1.778         -6.319         -3.340      
     235.0        -11.743          5.393          1.568         -7.383         -3.846      
     234.0        -13.865          6.098          1.558         -9.320         -4.062      
     233.0        -16.164          6.848          1.531         -10.748         -4.557      
     232.0        -18.772          7.385          2.132         -11.988         -5.048      
     231.0        -21.592          7.703          3.266         -13.111         -5.466      
     230.0        -24.467          7.989          5.105         -12.596         -6.446      
     229.0        -27.220          8.150          7.095         -11.983         -7.447      
     228.0        -29.839          8.092          9.290         -11.558         -8.299      
     227.0        -32.058          7.775         10.932         -10.187         -9.146      
     226.0        -34.025          7.203         12.488         -9.110         -9.749      
     225.0        -35.504          6.526         13.724         -6.835         -10.591      
     224.0        -36.461          5.887         14.999         -3.406         -11.907      
     223.0        -37.036          5.015         15.907         -0.598         -12.826      
     222.0        -37.319          4.080         16.744          1.035         -13.397      
     221.0        -37.203          3.217         17.237          2.427         -13.976      
     220.0        -36.853          2.548         17.572          2.910         -14.492      
     219.0        -36.321          2.007         17.992          2.812         -15.026      
     218.0        -35.511          1.600         17.941          3.712         -15.725      
     217.0        -34.896          1.338         17.871          2.724         -15.900      
     216.0        -34.399          1.323         17.664          1.146         -15.845      
     215.0        -33.870          1.741         16.853         -0.423         -15.962      
     214.0        -33.517          2.429         15.427         -2.463         -15.803      
     213.0        -33.376          3.326         13.965         -5.762         -15.537      
     212.0        -33.188          4.514         11.083         -8.957         -15.192      
     211.0        -33.290          6.018          7.766         -12.636         -14.837      
     210.0        -33.229          7.787          3.801         -16.083         -14.686      
     209.0        -32.459          9.821         -2.061         -19.057         -14.609      
     208.0        -30.613         12.115         -9.100         -23.508         -14.283      
     207.0        -27.191         14.422         -17.339         -29.588         -13.623      
     206.0        -21.776         16.920         -27.504         -36.241         -12.930      
     205.0        -14.995         19.284         -37.481         -43.849         -12.036      
     204.0        -6.930         21.238         -46.531         -50.889         -11.257      
     203.0         2.043         22.938         -54.551         -58.107         -10.380      
     202.0        11.502         24.398         -59.412         -66.355         -9.676      
     201.0        21.701         25.464         -62.349         -76.070         -8.628      
     200.0        32.761         26.179         -64.251         -86.052         -7.497      
     199.0        44.212         26.553         -64.581         -96.726         -6.154      
     198.0        55.461         26.122         -64.088         -104.740         -4.657      
     197.0        65.384         25.220         -62.182         -109.932         -3.488      
     196.0        73.044         23.565         -58.793         -110.358         -2.513      
     195.0        78.150         20.775         -55.417         -105.373         -1.007      
     194.0        80.890         17.030         -52.852         -95.611          1.137      
     193.0        81.395         12.809         -49.844         -82.871          3.366      
     192.0        79.825          7.946         -47.522         -70.729          6.942      
     191.0        76.729          3.340         -45.218         -57.670          9.850      
     190.0        72.190         -1.041         -42.777         -45.648         12.532      
     189.0        66.365         -5.232         -40.317         -34.202         14.834      
     188.0        60.122         -8.679         -37.044         -22.693         15.540      
     187.0        53.708         -11.956         -32.492         -11.212         15.079      
     186.0        47.341         -15.035         -27.705         -1.329         14.286      
     185.0        41.814         -17.490         -23.369          8.684         12.285      
     184.0        37.019         -19.538         -20.579         17.413          9.941      
     183.0        32.825         -21.085         -19.132         24.908          7.274      
     182.0        29.347         -22.647         -17.284         32.868          4.155      
     181.0        26.559         -24.315         -16.493         39.879          1.536      
     180.0        24.065         -25.824         -15.031         46.189         -1.056      
     179.0        22.072         -26.605         -13.029         50.583         -4.142      
     178.0        20.409         -26.851         -12.283         53.603         -7.041      
     177.0        18.656         -26.882         -11.341         54.772         -9.380      
     176.0        16.613         -26.400         -8.449         53.436         -11.755      
     175.0        14.545         -26.200         -7.804         53.762         -12.956      

#Calibration curves for SS error estimation:
# curve     1-globular,unscaled  2-globular,rescaled  3-general,unscaled   4-general,rescaled
#RMSDj/     dSSj_mean  dSSj_SD   dSSj_mean  dSSj_SD   dSSj_mean  dSSj_SD   dSSj_mean  dSSj_SD
#   0.000     0.000     0.050      0.000     0.075      0.000     0.071      0.000     0.075 
#   0.150     0.023     0.050      0.072     0.075      0.023     0.071      0.048     0.075 
#   0.450     0.068     0.050      0.116     0.079      0.068     0.071      0.101     0.082 
#   0.750     0.097     0.055      0.146     0.083      0.089     0.073      0.138     0.082 
#   1.050     0.114     0.062      0.163     0.086      0.113     0.065      0.164     0.085 
#   1.350     0.126     0.062      0.178     0.091      0.137     0.071      0.183     0.089 
#   1.650     0.140     0.065      0.192     0.092      0.154     0.078      0.200     0.090 
#   1.950     0.147     0.067      0.204     0.094      0.169     0.078      0.215     0.093 
#   2.250     0.157     0.069      0.216     0.096      0.187     0.079      0.230     0.094 
#   2.550     0.167     0.071      0.227     0.098      0.197     0.085      0.242     0.097 
#   2.850     0.173     0.073      0.237     0.100      0.207     0.087      0.252     0.098 
#   3.150     0.180     0.074      0.244     0.102      0.218     0.092      0.264     0.100 
#   3.450     0.187     0.075      0.251     0.103      0.225     0.093      0.271     0.099 
#   3.750     0.192     0.075      0.256     0.105      0.231     0.094      0.283     0.104 
#   4.050     0.197     0.076      0.261     0.104      0.238     0.095      0.289     0.106 
#   4.350     0.205     0.077      0.267     0.105      0.242     0.096      0.294     0.107 
#   4.650     0.209     0.078      0.273     0.106      0.247     0.097      0.297     0.106 
#   4.950     0.216     0.079      0.276     0.105      0.254     0.096      0.301     0.107 
#   5.250     0.219     0.078      0.281     0.106      0.259     0.096      0.303     0.106 
#   5.550     0.225     0.080      0.288     0.106      0.264     0.097      0.306     0.104 
#   5.850     0.230     0.079      0.290     0.104      0.267     0.098      0.309     0.104 
#   6.150     0.235     0.082      0.296     0.105      0.270     0.096      0.314     0.102 
