#Derived Basis Spectrum set for calculating CD spectra
#spectrum_list: /home/gnagy/Documents/Gottingen/IDPs/experiments/CD_test/sets/spectrum_SP175.inp
#SS_list: /home/gnagy/Documents/Gottingen/IDPs/experiments/CD_test/sets/DISICL_det_SP175.inp
#Number of decomposed  spectra: 71

#Combination matrix for Structural Properties:
#Basis/  3H        ALH       PIH       EBS       NBS       PP        TI        TII       TVIII     GXT       SCH       HP        TC        HC        BC        BU        LTII      LHH       UC        
# HEL1 :    0.000    1.000    1.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    1.000    0.000    0.000    0.000    0.000    0.000  
# BSTR :    0.000    0.000    0.000    1.000    1.000    0.000    0.000    0.000    1.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000  
# HEL2 :    1.000    0.000    0.000    0.000    0.000    1.000    0.000    1.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000  
# TRN2 :    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    1.000    0.000    0.000    0.000    1.000    1.000    1.000    1.000    0.000  
# TRN1 :    0.000    0.000    0.000    0.000    0.000    0.000    1.000    0.000    0.000    0.000    0.000    1.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000  
# UNC :    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    1.000    0.000    0.000    1.000    0.000    0.000    0.000    0.000    0.000    1.000  


#|  Wavelength      HEL1           BSTR           HEL2           TRN2           TRN1           UNC            
#      nm        T (10^3)       T (10^3)       T (10^3)       T (10^3)       T (10^3)       T (10^3)      
     269.0         0.147          0.477         -0.290         -0.106          1.295         -0.441      
     268.0         0.426          0.325         -1.139          0.378          0.718         -0.521      
     267.0         0.101          0.132         -0.740          0.112          0.277         -0.010      
     266.0        -0.155          0.117          0.346         -0.511         -0.467          0.396      
     265.0        -0.175          0.104          0.768         -0.417         -0.941          0.291      
     264.0        -0.117          0.161          1.145         -0.328         -0.798          0.001      
     263.0        -0.025          0.223          0.801          0.039         -0.571         -0.313      
     262.0        -0.141          0.178          0.900          0.039         -0.834         -0.175      
     261.0        -0.273          0.085          0.948          0.049         -1.035          0.026      
     260.0        -0.224         -0.066          0.796          0.244         -0.945          0.062      
     259.0         0.012         -0.176         -0.228          0.691          0.208         -0.210      
     258.0         0.077         -0.241         -0.449          0.667          0.873         -0.254      
     257.0         0.058         -0.243         -0.674          0.667          0.880         -0.235      
     256.0        -0.042         -0.104          0.201          0.533          0.529         -0.422      
     255.0        -0.232         -0.014          1.120          0.067         -0.272         -0.185      
     254.0        -0.228          0.002          1.507          0.097         -0.876         -0.197      
     253.0        -0.233          0.008          1.045         -0.056          0.099         -0.107      
     252.0        -0.363         -0.046          0.687         -0.228          0.587          0.127      
     251.0        -0.421         -0.169          0.516         -0.051          0.319          0.202      
     250.0        -0.368         -0.125          0.709          0.376         -0.088         -0.235      
     249.0        -0.359         -0.074          0.667          0.625         -0.682         -0.426      
     248.0        -0.310          0.020          0.087          0.921         -0.550         -0.702      
     247.0        -0.429          0.235          0.198          0.718         -0.451         -0.815      
     246.0        -0.697          0.470          0.699          0.508         -1.186         -0.830      
     245.0        -0.986          0.675          1.239          0.625         -2.526         -1.034      
     244.0        -1.247          0.848          1.814          1.095         -3.452         -1.576      
     243.0        -1.634          0.998          2.135          1.374         -4.324         -1.851      
     242.0        -2.194          1.031          1.696          1.771         -4.660         -1.969      
     241.0        -2.818          1.193          1.920          2.299         -5.962         -2.304      
     240.0        -3.677          1.320          2.044          2.803         -8.115         -2.296      
     239.0        -4.852          1.579          2.527          3.340         -10.680         -2.427      
     238.0        -6.216          1.905          3.420          3.737         -12.482         -2.695      
     237.0        -7.844          2.323          4.733          3.705         -15.516         -2.615      
     236.0        -9.618          2.768          5.750          3.711         -18.521         -2.536      
     235.0        -11.527          3.505          7.129          3.399         -21.461         -2.656      
     234.0        -13.713          4.156          7.980          2.879         -24.144         -2.385      
     233.0        -16.196          4.945          9.531          1.917         -26.321         -2.268      
     232.0        -19.021          5.616         11.782          0.470         -27.569         -2.056      
     231.0        -21.971          6.033         15.148         -0.649         -29.977         -2.054      
     230.0        -25.007          6.417         18.903         -1.861         -31.176         -2.314      
