#Derived Basis Spectrum set for calculating CD spectra
#spectrum_list: /home/gnagy/Documents/Gottingen/IDPs/experiments/CD_test/sets/spectrum_SP175.inp
#SS_list: /home/gnagy/Documents/Gottingen/IDPs/experiments/CD_test/sets/DISICL_det_SP175.inp
#Number of decomposed  spectra: 71

#Combination matrix for Structural Properties:
#Basis/      3H       ALH      PIH      EBS      NBS      PP       TI       TII      TVIII    GXT      SCH      HP       TC       HC       BC       BU       LTII     LHH      UC  
# Helix1 :   0.000    1.000    0.000    0.000    0.000    0.000    0.000    0.000    1.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000  
# Beta1 :    0.000    0.000    0.000    1.000    1.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000  
# Helix2 :   1.000    0.000    0.000    0.000    0.000    0.000    0.000    1.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000  
# Turn1 :    0.000    0.000    0.000    0.000    0.000    1.000    1.000    0.000    0.000    1.000    0.000    0.000    0.000    0.000    0.000    1.000    0.000    0.000    0.000  
# Turn2 :    0.000    0.000    1.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    1.000    1.000    0.000    1.000    1.000    0.000    1.000    1.000    0.000  
# Other :    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    1.000    0.000    0.000    0.000    0.000    0.000    1.000  


#|  Wavelength      Helix1         Beta1          Helix2         Turn1          Turn2          Other          
#      nm        T (10^3)       T (10^3)       T (10^3)       T (10^3)       T (10^3)       T (10^3)      
     269.0         0.201          0.445         -0.287          0.806         -0.183         -0.467      
     268.0         0.507          0.209         -2.908          1.234          0.105         -0.381      
     267.0         0.090          0.141         -0.704          0.258         -0.075          0.008      
     266.0        -0.167          0.173          1.236         -0.716         -0.364          0.358      
     265.0        -0.183          0.132          1.313         -0.907         -0.173          0.275      
     264.0        -0.093          0.131          1.041         -0.561         -0.027          0.015      
     263.0        -0.009          0.199          0.538         -0.463          0.211         -0.243      
     262.0        -0.184          0.200          1.189         -0.522          0.096         -0.136      
     261.0        -0.406          0.209          2.480         -0.759         -0.087          0.010      
     260.0        -0.367          0.076          2.252         -0.511         -0.044          0.063      
     259.0        -0.029         -0.163         -0.582          0.606          0.362         -0.177      
     258.0         0.108         -0.292         -1.383          0.677          0.560         -0.224      
     257.0         0.107         -0.291         -1.643          0.401          0.618         -0.187      
     256.0         0.010         -0.186         -0.958          0.536          0.566         -0.390      
     255.0        -0.253         -0.005          1.307          0.029          0.096         -0.222      
     254.0        -0.281          0.034          1.783          0.021          0.028         -0.224      
     253.0        -0.211         -0.006          1.123         -0.069          0.187         -0.202      
     252.0        -0.316         -0.045          1.071         -0.433          0.211         -0.034      
     251.0        -0.376         -0.155          0.653         -0.583          0.326          0.084      
     250.0        -0.326         -0.152         -0.115         -0.052          0.541         -0.268      
     249.0        -0.342         -0.071         -0.184         -0.460          0.711         -0.387      
     248.0        -0.284         -0.026         -1.511         -0.012          0.868         -0.624      
     247.0        -0.387          0.177         -1.378         -0.020          0.726         -0.751      
     246.0        -0.717          0.497         -0.008         -0.395          0.422         -0.812      
