#Derived Basis Spectrum set for calculating CD spectra
#spectrum_list: /home/gnagy/Documents/Gottingen/IDPs/experiments/CD_test/sets/spectrum_SP175.inp
#SS_list: /home/gnagy/Documents/Gottingen/IDPs/experiments/CD_test/sets/DISICL_det_SP175.inp
#Number of decomposed  spectra: 71

#Combination matrix for Structural Properties:
#Basis/      3H      ALH      PIH      EBS      NBS      PP       TI       TII      TVIII    GXT      SCH      HP       TC       HC       BC       BU       LTII     LHH      UC        
# HEL1 :    0.000    1.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    1.000    1.000    0.000    0.000    0.000    1.000    0.000  
# HEL2 :    0.000    0.000    1.000    0.000    0.000    1.000    0.000    0.000    0.000    0.000    1.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000  
# BST1 :    1.000    0.000    0.000    0.000    1.000    0.000    0.000    0.000    0.000    1.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000  
# BST2 :    0.000    0.000    0.000    1.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    1.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000  
# TRN1 :    0.000    0.000    0.000    0.000    0.000    0.000    1.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    1.000    1.000    1.000    0.000    0.000  
# COIL :    0.000    0.000    0.000    0.000    0.000    0.000    0.000    1.000    1.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    1.000  


#|  Wavelength      HEL1           HEL2           BST1           BST2           TRN1           COIL           
#      nm        T (10^3)       T (10^3)       T (10^3)       T (10^3)       T (10^3)       T (10^3)      
     269.0         0.145          0.496          0.168          0.940         -0.132         -0.423      
     268.0         0.279          0.698         -0.198          0.993          0.002         -0.416      
     267.0         0.074         -0.778          0.133          0.056          0.322         -0.122      
     266.0        -0.106         -0.293          0.164          0.167         -0.467          0.376      
     265.0        -0.139          0.151          0.107          0.239         -0.528          0.339      
     264.0        -0.114          1.329          0.012          0.480         -0.782          0.188      
     263.0        -0.071          1.341          0.150          0.427         -0.513         -0.149      
     262.0        -0.158          0.520          0.399         -0.281         -0.143         -0.139      
     261.0        -0.225         -0.618          0.574         -0.759          0.269         -0.067      
     260.0        -0.202          0.026          0.271         -0.524          0.141          0.075      
     259.0        -0.054          1.128         -0.222          0.145          0.179         -0.125      
     258.0        -0.014          2.111         -0.509          0.599         -0.194         -0.064      
     257.0        -0.023          1.714         -0.516          0.753         -0.092         -0.109      
     256.0        -0.051          1.187         -0.339          0.480          0.355         -0.368      
     255.0        -0.116         -0.393          0.049         -0.142          0.644         -0.265      
     254.0        -0.103         -0.422          0.006         -0.036          0.691         -0.248      
     253.0        -0.077         -0.472          0.069          0.023          0.663         -0.291      
     252.0        -0.194         -0.396          0.187         -0.050          0.408         -0.159      
     251.0        -0.288         -0.049          0.183         -0.247          0.366         -0.133      
     250.0        -0.311          0.484          0.174         -0.404          0.633         -0.481      
     249.0        -0.384          0.620          0.328         -0.618          0.557         -0.566      
     248.0        -0.357         -0.240          0.053         -0.004          1.192         -0.822      
     247.0        -0.456         -0.764          0.271         -0.059          1.259         -0.933      
     246.0        -0.696         -1.620          0.833         -0.512          1.298         -1.015      
