#Derived Basis Spectrum set for calculating CD spectra
#spectrum_list: /home/gnagy/Documents/Gottingen/IDPs/experiments/CD_test/sets/spectrum_SP175.inp
#SS_list: /home/gnagy/Documents/Gottingen/IDPs/experiments/CD_test/sets/Dssp_SP175.inp
#Number of decomposed  spectra: 71

#Combination matrix for Structural Properties:
#Basis/     3-Helix   4-Helix  5-Helix   Bend  Beta-Bridge Beta-strand  Turn     Unclassified 
# Helix  :    1.000    1.000    0.000    0.000    0.000      0.000      0.000    0.000  
# Beta   :    0.000    0.000    1.000    0.000    0.000      1.000      0.000    0.000  
# Bridge :    0.000    0.000    0.000    0.000    1.000      0.000      0.000    0.000  
# Other  :    0.000    0.000    0.000    1.000    0.000      0.000      1.000    1.000  


#|  Wavelength     Helix          Beta           Bridge         Other            
#      nm        T (10^3)       T (10^3)       T (10^3)       T (10^3)      
     269.0         0.257          0.381          1.463         -0.384      
     268.0         0.349          0.294          0.007         -0.308      
     267.0         0.057          0.126         -1.333         -0.018      
     266.0        -0.121         -0.010         -1.633          0.156      
     265.0        -0.112          0.009         -0.496          0.082      
     264.0        -0.037          0.019          0.449         -0.003      
     263.0         0.026          0.131          0.193         -0.104      
     262.0        -0.068          0.134         -0.431         -0.037      
     261.0        -0.181          0.127         -1.103          0.058      
     260.0        -0.172          0.073         -0.927          0.123      
     259.0        -0.031          0.048          0.686          0.020      
     258.0         0.056          0.045          1.277         -0.053      
     257.0         0.054          0.099          1.444         -0.131      
     256.0         0.067          0.199          2.411         -0.273      
     255.0        -0.013          0.256          1.556         -0.248      
     254.0        -0.032          0.232          0.602         -0.161      
     253.0        -0.084          0.095         -0.277         -0.007      
     252.0        -0.209          0.014         -1.278          0.113      
     251.0        -0.326         -0.080         -1.676          0.226      
     250.0        -0.268          0.039         -0.436          0.021      
     249.0        -0.278          0.148         -0.502         -0.094      
     248.0        -0.238          0.336          0.015         -0.325      
     247.0        -0.319          0.414         -0.274         -0.406      
     246.0        -0.494          0.571         -0.676         -0.508      
     245.0        -0.730          0.760         -0.748         -0.668      
     244.0        -0.931          0.979          0.158         -0.919      
     243.0        -1.240          1.154          0.418         -1.093      
     242.0        -1.750          1.313          0.681         -1.231      
     241.0        -2.351          1.465          1.222         -1.357      
     240.0        -3.144          1.720          1.055         -1.461      
     239.0        -4.194          2.050          1.594         -1.657      
     238.0        -5.359          2.353          2.586         -1.847      
     237.0        -6.701          2.728          2.534         -2.054      
     236.0        -8.169          3.188          1.656         -2.312      
     235.0        -9.744          3.648         -0.189         -2.595      
     234.0        -11.601          4.046         -3.425         -2.729      
     233.0        -13.608          4.443         -5.329         -3.019      
     232.0        -15.925          4.515         -7.200         -3.080      
     231.0        -18.402          4.350         -7.749         -3.039      
     230.0        -20.911          4.059         -6.824         -3.019      
     229.0        -23.356          3.509         -6.228         -2.851      
     228.0        -25.661          2.788         -5.818         -2.608      
     227.0        -27.658          1.944         -4.419         -2.457      
     226.0        -29.504          0.871         -3.754         -2.149      
     225.0        -30.966         -0.297         -0.586         -1.982      
     224.0        -32.020         -1.495          3.997         -1.929      
     223.0        -32.752         -2.836          8.495         -1.816      
     222.0        -33.149         -4.108         12.525         -1.739      
     221.0        -33.193         -5.258         16.532         -1.782      
     220.0        -32.945         -6.060         19.641         -2.018      
     219.0        -32.451         -6.696         23.009         -2.392      
     218.0        -31.753         -7.127         25.710         -2.823      
     217.0        -31.125         -7.325         27.208         -3.220      
     216.0        -30.544         -7.228         28.165         -3.604      
     215.0        -29.944         -6.688         28.371         -4.176      
     214.0        -29.532         -5.826         26.907         -4.701      
     213.0        -29.299         -4.807         22.953         -5.192      
     212.0        -29.173         -3.505         16.986         -5.745      
     211.0        -29.302         -1.871          9.303         -6.382      
     210.0        -29.404         -0.095         -0.301         -7.029      
     209.0        -29.050          2.035         -10.961         -7.949      
     208.0        -27.895          4.401         -25.125         -8.851      
     207.0        -25.495          6.809         -43.670         -9.697      
     206.0        -21.540          9.430         -63.970         -10.749      
     205.0        -16.358         11.987         -85.481         -11.703      
     204.0        -9.924         14.311         -105.288         -12.670      
     203.0        -2.500         16.594         -120.332         -13.767      
     202.0         5.806         18.785         -129.268         -14.995      
     201.0        15.022         20.571         -131.167         -16.171      
     200.0        25.102         22.015         -125.679         -17.434      
     199.0        35.614         22.863         -115.645         -18.382      
     198.0        45.933         22.939         -100.366         -18.988      
     197.0        54.963         22.273         -85.054         -18.989      
     196.0        62.091         21.096         -69.823         -18.528      
     195.0        67.078         19.584         -50.445         -17.924      
     194.0        69.942         17.910         -30.609         -17.104      
     193.0        70.926         16.121         -11.024         -16.138      
     192.0        70.218         14.391          7.269         -15.094      
     191.0        68.015         12.577         20.285         -13.926      
     190.0        64.560         10.696         28.805         -12.721      
     189.0        59.915          8.677         40.047         -11.754      
     188.0        54.668          6.433         48.438         -10.789      
     187.0        49.232          3.830         56.381         -9.949      
     186.0        43.843          1.306         62.015         -9.299      
     185.0        39.039         -1.105         65.780         -8.985      
     184.0        34.656         -3.466         68.259         -8.949      
     183.0        30.492         -5.851         68.956         -8.955      
     182.0        26.768         -8.561         65.280         -8.605      
     181.0        23.750         -10.962         63.360         -8.636      
     180.0        21.114         -13.129         60.876         -8.659      
     179.0        18.934         -15.035         58.291         -8.789      
     178.0        16.970         -16.472         55.217         -9.100      
     177.0        14.696         -18.292         46.091         -8.492      
     176.0        12.388         -19.846         38.920         -7.828      
     175.0        10.339         -20.531         38.472         -7.830      


#Calibration curves for SS error estimation:
# curve     1-globular,unscaled  2-globular,rescaled  3-general,unscaled   4-general,rescaled
#RMSDj/     dSSj_mean  dSSj_SD   dSSj_mean  dSSj_SD   dSSj_mean  dSSj_SD   dSSj_mean  dSSj_SD
#   0.000     0.000     0.024      0.000     0.054      0.000     0.051      0.000     0.057 
#   0.150     0.060     0.024      0.068     0.054      0.051     0.051      0.060     0.057 
#   0.450     0.080     0.057      0.099     0.055      0.100     0.063      0.105     0.066 
#   0.750     0.101     0.055      0.111     0.062      0.113     0.061      0.126     0.069 
#   1.050     0.109     0.060      0.130     0.071      0.126     0.072      0.145     0.074 
#   1.350     0.114     0.063      0.148     0.080      0.137     0.074      0.164     0.084 
#   1.650     0.116     0.066      0.165     0.091      0.141     0.083      0.187     0.094 
#   1.950     0.125     0.070      0.182     0.101      0.150     0.083      0.207     0.103 
#   2.250     0.134     0.072      0.197     0.106      0.161     0.088      0.230     0.111 
#   2.550     0.140     0.073      0.211     0.113      0.168     0.088      0.246     0.119 
#   2.850     0.149     0.076      0.219     0.114      0.176     0.090      0.259     0.123 
#   3.150     0.157     0.077      0.229     0.117      0.182     0.091      0.263     0.123 
#   3.450     0.164     0.080      0.235     0.116      0.190     0.092      0.269     0.123 
#   3.750     0.168     0.081      0.240     0.117      0.198     0.095      0.276     0.123 
#   4.050     0.176     0.082      0.244     0.114      0.206     0.097      0.284     0.125 
#   4.350     0.183     0.084      0.250     0.115      0.212     0.096      0.286     0.124 
#   4.650     0.188     0.084      0.255     0.115      0.218     0.099      0.292     0.125 
#   4.950     0.194     0.085      0.262     0.114      0.223     0.099      0.293     0.123 
#   5.250     0.200     0.087      0.264     0.111      0.228     0.099      0.295     0.120 
#   5.550     0.208     0.088      0.269     0.111      0.231     0.099      0.300     0.119 
#   5.850     0.213     0.087      0.274     0.110      0.236     0.098      0.302     0.117 
#   6.150     0.219     0.089      0.278     0.108      0.244     0.098      0.308     0.117 
#   6.450     0.225     0.090      0.284     0.109      0.251     0.100      0.313     0.114 
#   6.750     0.232     0.091      0.290     0.109      0.255     0.099      0.314     0.111 
#   7.050     0.239     0.091      0.295     0.106      0.262     0.099      0.319     0.110 
#   7.350     0.244     0.093      0.301     0.106      0.267     0.102      0.327     0.111 
#   7.650     0.250     0.093      0.308     0.105      0.271     0.101      0.333     0.109 
#   7.950     0.256     0.094      0.312     0.104      0.278     0.101      0.336     0.108 
#   8.250     0.263     0.096      0.320     0.103      0.282     0.102      0.340     0.106 
#   8.550     0.268     0.095      0.325     0.104      0.287     0.102      0.345     0.105 
#   8.850     0.275     0.097      0.332     0.101      0.292     0.104      0.351     0.107 
#   9.150     0.279     0.098      0.337     0.101      0.295     0.104      0.358     0.107 
#   9.450     0.284     0.101      0.345     0.101      0.300     0.105      0.363     0.105 
#   9.750     0.290     0.101      0.351     0.102      0.304     0.103      0.370     0.107 
#  10.050     0.294     0.104      0.358     0.102      0.310     0.104      0.374     0.103 
#  10.350     0.300     0.106      0.367     0.104      0.314     0.105      0.380     0.107 
#  10.650     0.302     0.107      0.370     0.102      0.320     0.105      0.388     0.107 
#  10.950     0.308     0.111      0.379     0.105      0.322     0.107      0.393     0.109 
#  11.250     0.314     0.111      0.382     0.101      0.328     0.108      0.394     0.106 
#  11.550     0.317     0.115      0.389     0.106      0.331     0.107      0.401     0.104 
#  11.850     0.321     0.118      0.400     0.103      0.332     0.107      0.402     0.104 
#  12.150     0.325     0.117      0.402     0.106      0.337     0.107      0.410     0.105 
#  12.450     0.331     0.121      0.411     0.105      0.342     0.110      0.413     0.104 
#  12.750     0.331     0.122      0.414     0.103      0.348     0.113      0.419     0.103 
#  13.050     0.337     0.122      0.423     0.104      0.352     0.112      0.426     0.105 
#  13.350     0.340     0.126      0.431     0.106      0.355     0.113      0.429     0.104 
#  13.650     0.344     0.128      0.436     0.106      0.360     0.112      0.432     0.106 
#  13.950     0.344     0.127      0.446     0.105      0.359     0.114      0.434     0.104 
#  14.250     0.348     0.133      0.452     0.104      0.363     0.113      0.440     0.104 
#  14.550     0.352     0.133      0.455     0.107      0.369     0.114      0.446     0.103 
#  14.850     0.352     0.136      0.467     0.105      0.369     0.115      0.452     0.104 
#  15.150     0.357     0.137      0.472     0.104      0.375     0.117      0.459     0.106 
#  15.450     0.356     0.138      0.477     0.105      0.379     0.116      0.463     0.107 
#  15.750     0.363     0.142      0.482     0.106      0.378     0.116      0.472     0.111 
#  16.050     0.363     0.141      0.488     0.101      0.385     0.119      0.477     0.107 
#  16.350     0.359     0.147      0.493     0.105      0.388     0.118      0.472     0.104 
#  16.650     0.361     0.148      0.506     0.110      0.388     0.117      0.476     0.106 
#  16.950     0.361     0.150      0.508     0.104      0.393     0.122      0.486     0.108 
#  17.250     0.361     0.148      0.521     0.108      0.393     0.119      0.488     0.110 
#  17.550     0.362     0.152      0.528     0.112      0.397     0.121      0.491     0.106 
#  17.850     0.364     0.153      0.527     0.112      0.403     0.121      0.493     0.102 
#  18.150     0.361     0.155      0.535     0.111      0.403     0.125      0.490     0.102 
#  18.450     0.360     0.156      0.551     0.112      0.406     0.123      0.495     0.101 
#  18.750     0.369     0.159      0.541     0.114      0.408     0.126      0.493     0.099 
#  19.050     0.368     0.156      0.542     0.112      0.412     0.126      0.501     0.102 
#  19.350     0.369     0.157      0.547     0.114      0.415     0.123      0.504     0.096 
#  19.650     0.371     0.160      0.566     0.111      0.414     0.125      0.508     0.096 
#  19.950     0.372     0.164      0.560     0.115      0.420     0.128      0.511     0.091 
#  20.250     0.370     0.159      0.581     0.117      0.418     0.127      0.521     0.095 
#  20.550     0.373     0.161      0.589     0.117      0.422     0.126      0.518     0.093 
#  20.850     0.376     0.165      0.610     0.113      0.425     0.129      0.538     0.097 
#  21.150     0.357     0.163      0.615     0.124      0.434     0.147      0.577     0.095 
