#Derived Basis Spectrum set for calculating CD spectra
#spectrum_list: /home/gnagy/Documents/Gottingen/IDPs/experiments/CD_test/sets/spectrum_SP175.inp
#SS_list: /home/gnagy/Documents/Gottingen/IDPs/experiments/CD_test/sets/Dssp_SP175.inp
#Number of decomposed  spectra: 71

#Combination matrix for Structural Properties:
#Basis/     3-Helix  4-Helix  5-Helix   Bend   Beta-Bridge Beta-strand  Turn   Unclassified 
# Helix :    1.000    1.000    1.000    0.000    0.000     0.000        0.000    0.000  
# Sheet :    0.000    0.000    0.000    0.000    0.000     1.000        0.000    0.000  
# Coil  :    0.000    0.000    0.000    1.000    1.000     0.000        1.000    1.000  


#|  Wavelength      Helix         Sheet          Coil            
#      nm         CD(kMRE)       CD(kMRE)       CD(kMRE)      
     269.0         0.219          0.333         -0.265      
     268.0         0.342          0.287         -0.288      
     267.0         0.084          0.162         -0.104      
     266.0        -0.085          0.037          0.040      
     265.0        -0.100          0.024          0.045      
     264.0        -0.046          0.007          0.027      
     263.0         0.020          0.122         -0.084      
     262.0        -0.060          0.144         -0.062      
     261.0        -0.157          0.157         -0.017      
     260.0        -0.151          0.100          0.056      
     259.0        -0.045          0.030          0.063      
     258.0         0.029          0.010          0.034      
     257.0         0.022          0.057         -0.029      
     256.0         0.013          0.128         -0.099      
     255.0        -0.050          0.208         -0.131      
     254.0        -0.048          0.212         -0.112      
     253.0        -0.078          0.101         -0.024      
     252.0        -0.180          0.049          0.024      
     251.0        -0.287         -0.032          0.104      
     250.0        -0.259          0.050         -0.008      
     249.0        -0.269          0.159         -0.120      
     248.0        -0.245          0.326         -0.303      
     247.0        -0.321          0.409         -0.397      
     246.0        -0.489          0.574         -0.519      
     245.0        -0.728          0.762         -0.674      
     244.0        -0.952          0.951         -0.850      
     243.0        -1.269          1.116         -0.997      
     242.0        -1.787          1.265         -1.109      
     241.0        -2.401          1.401         -1.193      
     240.0        -3.193          1.658         -1.302      
     239.0        -4.257          1.970         -1.451      
     238.0        -5.445          2.243         -1.566      
     237.0        -6.789          2.615         -1.763      
     236.0        -8.243          3.091         -2.062      
     235.0        -9.785          3.594         -2.447      
     234.0        -11.577          4.074         -2.782      
     233.0        -13.551          4.515         -3.177      
     232.0        -15.829          4.634         -3.355      
     231.0        -18.292          4.485         -3.353      
     230.0        -20.818          4.170         -3.275      
     229.0        -23.272          3.610         -3.080      
     228.0        -25.578          2.886         -2.827      
     227.0        -27.601          2.011         -2.597      
     226.0        -29.454          0.929         -2.266      
     225.0        -30.977         -0.316         -1.906      
     224.0        -32.123         -1.632         -1.561      
     223.0        -32.945         -3.087         -1.165      
     222.0        -33.423         -4.464         -0.832      
     221.0        -33.549         -5.720         -0.614      
     220.0        -33.371         -6.610         -0.633      
     219.0        -32.953         -7.345         -0.765      
     218.0        -32.320         -7.858         -0.993      
