#Derived Basis Spectrum set for calculating CD spectra
#spectrum_list: /home/gnagy/Documents/Gottingen/IDPs/experiments/CD_test/sets/spectrum_SP175.inp
#SS_list: /home/gnagy/Documents/Gottingen/IDPs/experiments/CD_test/sets/HB_ext_SP175.inp
#Number of decomposed  spectra: 71

#Combination matrix for Structural Properties:
#Basis/         4H      3H        5H       TU       UNC      LHP      NBP      RHP      LHA      NBA      RHA       
# Helix_reg :   1.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000  
# Helix_irr :   0.000    1.000    1.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000  
# Beta_all :    0.000    0.000    0.000    0.000    0.000    1.000    1.000    1.000    1.000    1.000    1.000  
# Turn :        0.000    0.000    0.000    1.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000  
# Other :       0.000    0.000    0.000    0.000    1.000    0.000    0.000    0.000    0.000    0.000    0.000  


#|  Wavelength      Helix_reg      Helix_irr      Beta_all       Turn           Other          
#      nm        T (10^3)       T (10^3)       T (10^3)       T (10^3)       T (10^3)      
     269.0         0.096         -0.139          0.210          0.000         -0.101      
     268.0         0.331         -0.899          0.126         -0.193          0.149      
     267.0         0.047         -0.131          0.106         -0.047          0.031      
     266.0        -0.099          0.239          0.098          0.043         -0.056      
     265.0        -0.116          0.105          0.095          0.082         -0.077      
     264.0        -0.051          0.005          0.076          0.055         -0.062      
     263.0        -0.022          0.004          0.124         -0.029         -0.038      
     262.0        -0.128          0.402          0.278         -0.109         -0.061      
     261.0        -0.267          0.978          0.254         -0.100         -0.052      
     260.0        -0.223          1.120          0.052         -0.122          0.117      
     259.0        -0.030          0.354         -0.085         -0.097          0.213      
     258.0         0.023          0.619         -0.197         -0.113          0.218      
     257.0        -0.022          0.831         -0.215         -0.146          0.195      
     256.0        -0.110          1.134         -0.124         -0.149          0.093      
     255.0        -0.248          1.881         -0.084         -0.225          0.086      
     254.0        -0.232          2.001         -0.181         -0.308          0.244      
     253.0        -0.219          1.619         -0.094         -0.166          0.106      
     252.0        -0.340          1.842          0.002         -0.102         -0.039      
     251.0        -0.406          1.600         -0.031         -0.018         -0.062      
     250.0        -0.415          1.504         -0.107         -0.072         -0.012      
     249.0        -0.473          1.691         -0.205         -0.184          0.087      
     248.0        -0.480          1.813         -0.271         -0.483          0.308      
     247.0        -0.571          1.666         -0.158         -0.612          0.314      
     246.0        -0.824          2.063          0.029         -0.792          0.302      
     245.0        -1.153          2.431         -0.011         -0.995          0.422      
     244.0        -1.473          2.372         -0.154         -1.074          0.524      
     243.0        -1.937          3.069         -0.306         -1.208          0.608      
     242.0        -2.540          3.513         -0.465         -1.442          0.800      
     241.0        -3.183          3.536         -0.600         -1.785          1.143      
     240.0        -4.064          3.725         -0.631         -2.095          1.440      
     239.0        -5.277          4.098         -0.673         -2.421          1.708      
     238.0        -6.589          3.795         -0.784         -2.569          1.925      
     237.0        -8.156          4.325         -0.803         -2.860          2.092      
     236.0        -9.807          4.318         -0.715         -3.371          2.403      
     235.0        -11.541          3.961         -0.643         -4.048          2.825      
     234.0        -13.493          3.174         -0.515         -4.642          3.187      
     233.0        -15.670          2.619         -0.375         -5.291          3.413      
     232.0        -18.058          1.594         -0.489         -5.586          3.431      
     231.0        -20.589          0.456         -0.684         -5.567          3.159      
     230.0        -23.178         -0.805         -0.813         -5.350          2.606      
     229.0        -25.690         -2.145         -1.113         -4.820          1.817      
     228.0        -28.088         -3.207         -1.532         -4.034          0.777      
     227.0        -30.159         -4.389         -2.158         -3.217         -0.303      
     226.0        -31.974         -5.697         -2.926         -2.253         -1.494      
     225.0        -33.406         -6.575         -3.742         -1.357         -2.746      
     224.0        -34.418         -7.341         -4.607         -0.487         -4.014      
     223.0        -35.105         -7.254         -5.466          0.311         -5.346      
     222.0        -35.522         -6.249         -6.329          0.986         -6.609      
     221.0        -35.609         -5.020         -7.151          1.509         -7.767      
     220.0        -35.481         -3.448         -7.874          1.748         -8.663      
     219.0        -35.195         -1.139         -8.485          1.812         -9.506      
     218.0        -34.670          0.665         -9.168          1.758         -10.008      
     217.0        -34.298          3.349         -9.508          1.501         -10.413      
     216.0        -33.995          6.109         -9.453          1.036         -10.581      
     215.0        -33.736          8.844         -8.878          0.236         -10.599      
     214.0        -33.599         10.747         -7.949         -0.775         -10.276      
     213.0        -33.667         12.741         -6.704         -1.890         -10.037      
     212.0        -33.758         13.210         -5.352         -3.146         -9.485      
     211.0        -34.107         13.468         -3.440         -4.766         -8.851      
     210.0        -34.356         13.085         -1.177         -6.582         -8.176      
     209.0        -34.070         11.584          1.647         -8.742         -7.454      
     208.0        -32.814          8.625          4.965         -10.885         -6.760      
     207.0        -30.121          5.068          8.869         -13.237         -6.179      
     206.0        -25.668         -0.129         13.133         -15.771         -5.448      
     205.0        -19.838         -5.388         17.630         -18.341         -4.677      
     204.0        -12.790         -8.663         21.510         -21.003         -3.612      
     203.0        -4.869         -9.845         24.647         -23.615         -2.142      
     202.0         3.635         -7.388         26.976         -26.080         -0.442      
     201.0        12.877         -1.930         28.569         -28.282          1.401      
     200.0        22.898          5.118         29.393         -30.077          3.265      
     199.0        33.324         12.013         29.634         -30.656          4.583      
     198.0        43.582         18.573         28.997         -30.116          5.433      
     197.0        52.729         22.529         27.740         -28.145          5.492      
     196.0        60.066         23.560         26.193         -25.120          4.944      
     195.0        65.322         21.863         24.019         -21.404          4.254      
     194.0        68.705         17.248         21.396         -17.749          4.048      
     193.0        70.240         11.590         18.187         -14.196          4.237      
     192.0        70.065          5.531         14.421         -11.051          5.088      
     191.0        68.461         -1.050         10.514         -8.440          6.129      
     190.0        65.383         -5.877          6.692         -6.381          7.030      
     189.0        61.002         -9.772          2.644         -4.745          7.865      
     188.0        56.057         -12.730         -1.232         -3.697          8.487      
     187.0        50.803         -13.583         -5.317         -2.893          8.594      
     186.0        45.601         -14.506         -9.306         -2.347          8.538      
     185.0        40.980         -15.664         -12.853         -2.133          8.139      
     184.0        36.681         -15.706         -15.855         -2.271          7.222      
     183.0        32.734         -16.701         -18.348         -2.488          5.949      
     182.0        29.501         -17.920         -20.632         -2.809          4.537      
     181.0        26.734         -17.411         -22.621         -3.302          2.926      
     180.0        24.324         -16.712         -24.225         -3.708          1.231      
     179.0        22.277         -16.014         -25.480         -3.914         -0.665      
     178.0        20.309         -15.221         -26.107         -4.130         -2.702      
     177.0        18.353         -15.618         -26.623         -3.889         -4.651      
     176.0        16.246         -14.979         -26.677         -3.596         -6.576      
     175.0        13.951         -12.069         -26.093         -3.661         -8.342      


#Calibration curves for SS error estimation:
# curve     1-globular,unscaled  2-globular,rescaled  3-general,unscaled   4-general,rescaled
#RMSDj/     dSSj_mean  dSSj_SD   dSSj_mean  dSSj_SD   dSSj_mean  dSSj_SD   dSSj_mean  dSSj_SD
#   0.000     0.000     0.049      0.000     0.039      0.000     0.068      0.000     0.025 
#   0.150     0.072     0.049      0.049     0.039      0.034     0.068      0.021     0.025 
#   0.450     0.094     0.049      0.099     0.050      0.102     0.068      0.102     0.062 
#   0.750     0.122     0.051      0.130     0.058      0.123     0.069      0.142     0.066 
#   1.050     0.136     0.060      0.150     0.065      0.150     0.072      0.173     0.076 
#   1.350     0.148     0.063      0.166     0.070      0.172     0.082      0.198     0.084 
#   1.650     0.156     0.066      0.181     0.074      0.193     0.088      0.220     0.090 
#   1.950     0.166     0.068      0.197     0.077      0.206     0.087      0.243     0.092 
#   2.250     0.176     0.070      0.216     0.081      0.221     0.088      0.265     0.095 
#   2.550     0.187     0.071      0.234     0.085      0.232     0.088      0.284     0.097 
#   2.850     0.198     0.073      0.251     0.086      0.246     0.091      0.304     0.101 
#   3.150     0.205     0.074      0.265     0.088      0.255     0.091      0.316     0.102 
#   3.450     0.215     0.077      0.281     0.088      0.266     0.092      0.329     0.102 
#   3.750     0.225     0.079      0.296     0.089      0.277     0.093      0.339     0.103 
#   4.050     0.232     0.082      0.310     0.089      0.284     0.094      0.347     0.103 
#   4.350     0.240     0.083      0.324     0.089      0.292     0.095      0.356     0.102 
#   4.650     0.249     0.085      0.337     0.089      0.300     0.097      0.363     0.102 
#   4.950     0.256     0.087      0.352     0.090      0.308     0.098      0.371     0.102 
#   5.250     0.264     0.089      0.365     0.093      0.315     0.098      0.379     0.101 
#   5.550     0.269     0.091      0.374     0.092      0.325     0.101      0.384     0.100 
#   5.850     0.277     0.093      0.385     0.092      0.331     0.103      0.391     0.100 
#   6.150     0.283     0.095      0.396     0.094      0.336     0.104      0.399     0.102 
#   6.450     0.288     0.098      0.409     0.097      0.340     0.106      0.405     0.100 
#   6.750     0.293     0.100      0.423     0.105      0.346     0.108      0.412     0.102 
#   7.050     0.299     0.101      0.426     0.106      0.354     0.108      0.420     0.102 
#   7.350     0.302     0.104      0.431     0.106      0.359     0.110      0.429     0.104 
#   7.650     0.308     0.110      0.439     0.108      0.365     0.111      0.437     0.109 
#   7.950     0.315     0.110      0.443     0.110      0.369     0.112      0.440     0.107 
#   8.250     0.319     0.113      0.443     0.112      0.373     0.113      0.446     0.106 
#   8.550     0.322     0.114      0.440     0.105      0.377     0.114      0.451     0.107 
#   8.850     0.326     0.117      0.442     0.100      0.385     0.117      0.458     0.103 
#   9.150     0.334     0.118      0.446     0.099      0.388     0.117      0.454     0.098 
#   9.450     0.338     0.119      0.450     0.094      0.391     0.120      0.462     0.097 
#   9.750     0.341     0.120      0.454     0.090      0.391     0.120      0.471     0.100 
#  10.050     0.350     0.122      0.468     0.093      0.396     0.123      0.475     0.094 
#  10.350     0.353     0.123      0.472     0.092      0.401     0.123      0.482     0.096 
#  10.650     0.360     0.124      0.482     0.093      0.403     0.125      0.485     0.095 
#  10.950     0.358     0.127      0.490     0.098      0.399     0.125      0.496     0.093 
#  11.250     0.367     0.130      0.494     0.095      0.400     0.127      0.508     0.096 
#  11.550     0.373     0.131      0.498     0.085      0.407     0.132      0.513     0.099 
#  11.850     0.376     0.132      0.510     0.087      0.405     0.130      0.511     0.095 
#  12.150     0.377     0.133      0.519     0.085      0.413     0.129      0.527     0.095 
#  12.450     0.381     0.135      0.531     0.088      0.408     0.130      0.532     0.097 
#  12.750     0.383     0.138      0.532     0.079      0.407     0.132      0.537     0.095 
#  13.050     0.382     0.140      0.552     0.080      0.409     0.135      0.541     0.089 
#  13.350     0.383     0.144      0.562     0.079      0.408     0.135      0.550     0.098 
#  13.650     0.382     0.145      0.572     0.081      0.405     0.132      0.549     0.087 
#  13.950     0.385     0.146      0.578     0.084      0.395     0.136      0.563     0.087 
#  14.250     0.387     0.150      0.583     0.078      0.399     0.136      0.561     0.083 
#  14.550     0.381     0.150      0.580     0.072      0.393     0.142      0.565     0.092 
#  14.850     0.380     0.154      0.591     0.072      0.394     0.138      0.553     0.073 
#  15.150     0.382     0.154      0.605     0.076      0.384     0.143      0.586     0.075 
#  15.450     0.386     0.158      0.604     0.065      0.374     0.139      0.573     0.072 
#  15.750     0.378     0.160      0.606     0.064      0.376     0.141      0.615     0.094 
#  16.050     0.375     0.160      0.620     0.069      0.377     0.145      0.602     0.075 
#  16.350     0.371     0.161      0.625     0.068      0.379     0.141      0.591     0.058 
#  16.650     0.377     0.165      0.628     0.063      0.370     0.145      0.584     0.028 
#  16.950     0.373     0.164      0.641     0.058      0.363     0.135      0.615     0.046 
#  17.250     0.364     0.160      0.645     0.060      0.360     0.144      0.598     0.045 
#  17.550     0.370     0.162      0.651     0.057      0.362     0.141      0.613     0.036 
#  17.850     0.364     0.164      0.663     0.055      0.359     0.137      0.628     0.044 
#  18.150     0.371     0.165      0.676     0.054      0.366     0.141      0.619     0.042 
#  18.450     0.363     0.167      0.674     0.050      0.353     0.132      0.653     0.048 
#  18.750     0.363     0.166      0.685     0.053      0.347     0.128      0.649     0.049 
#  19.050     0.365     0.170      0.697     0.059      0.360     0.138      0.649     0.049 
#  19.350     0.368     0.176      0.701     0.052      0.366     0.137      0.649     0.049 
#  19.650     0.361     0.174      0.722     0.054      0.363     0.137      0.649     0.049 
#  19.950     0.371     0.177      0.717     0.051      0.361     0.124      0.649     0.049 
#  20.250     0.382     0.178      0.731     0.037      0.352     0.120      0.649     0.049 
#  20.550     0.366     0.176      0.727     0.035      0.359     0.128      0.649     0.049 
#  20.850     0.381     0.177      0.736     0.039      0.359     0.128      0.649     0.049 
#  21.150     0.356     0.173      0.784     0.060      0.377     0.123      0.649     0.049 
