#Derived Basis Spectrum set for calculating CD spectra
#spectrum_list: /home/gnagy/Documents/Gottingen/IDPs/experiments/CD_test/arom/side_Avg6/BB_corr_scale/CD_corr_MP79.inp
#SS_list: /home/gnagy/Documents/Gottingen/IDPs/experiments/CD_test/arom/side_Avg6/Seq_MP79.inp
#Number of decomposed  spectra: 79

#Combination matrix for Structural Properties:
#Basis/     ALA       ASP       ASN       ARG       CYS       GLY       GLU       GLN       HIS       ILE       LEU       LYS       MET       PHE       PRO       SER       THR       TRP       TYR       VAL       
# GRP1 :    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    1.0000    0.0000    0.0000    0.0000    0.0000    1.0000    0.0000    0.0000    0.0000    1.0000    1.0000    0.0000  
# GRP2 :    0.0000    1.0000    1.0000    1.0000    0.0000    0.0000    1.0000    1.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000  
# GRP3 :    0.0000    0.0000    0.0000    0.0000    0.0000    1.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000  
# GRP4 :    1.0000    0.0000    0.0000    0.0000    1.0000    0.0000    0.0000    0.0000    0.0000    1.0000    1.0000    1.0000    1.0000    0.0000    1.0000    1.0000    1.0000    0.0000    0.0000    1.0000  


#|  Wavelength      GRP1           GRP2           GRP3           GRP4           
#      nm        T (10^3)       T (10^3)       T (10^3)       T (10^3)      
     269.0        -0.1830         -0.0389         0.2455         0.0052      
     268.0        -0.3493         -0.0084         0.1709         0.0351      
     267.0        -0.0941         -0.0716         0.0210         0.0280      
     266.0        -0.0923         -0.0139         -0.0666         0.0141      
     265.0        -0.2016         0.0191         -0.0436         0.0308      
     264.0        -0.1798         0.0558         0.0005         0.0050      
     263.0        -0.1489         0.0687         0.0912         -0.0151      
     262.0        -0.1332         0.0055         0.0373         0.0084      
     261.0        0.0139         -0.0132         -0.0631         -0.0044      
     260.0        -0.0464         0.0960         -0.1909         -0.0205      
     259.0        -0.2676         0.2025         -0.1899         -0.0220      
     258.0        -0.2642         0.2121         -0.1790         -0.0271      
     257.0        -0.3069         0.2236         -0.1185         -0.0434      
     256.0        -0.3149         0.0980         -0.0162         -0.0062      
     255.0        -0.1605         0.0614         -0.0237         -0.0229      
     254.0        -0.1994         0.1089         -0.1028         -0.0141      
     253.0        -0.3004         0.1505         -0.1155         -0.0027      
     252.0        -0.3021         0.1785         -0.1385         -0.0060      
     251.0        -0.4353         0.1361         -0.1839         0.0295      
     250.0        -0.4921         0.0822         -0.0818         0.0512      
     249.0        -0.5616         0.1640         -0.0396         0.0281      
     248.0        -0.7139         0.1775         0.0142         0.0652      
     247.0        -0.8298         0.2016         0.0970         0.0889      
     246.0        -0.7839         0.1861         0.1833         0.0854      
     245.0        -0.6003         0.1143         0.2789         0.0692      
     244.0        -0.6423         0.0856         0.4151         0.0905      
     243.0        -0.4787         0.0369         0.5149         0.0898      
