#Derived Basis Spectrum set for calculating CD spectra
#spectrum_list: /home/gnagy/Documents/Gottingen/IDPs/experiments/CD_test/arom/side_Avg6/BB_corr_scale/CD_corr_MP79.inp
#SS_list: /home/gnagy/Documents/Gottingen/IDPs/experiments/CD_test/arom/side_Avg6/Seq_MP79.inp
#Number of decomposed  spectra: 79

#Combination matrix for Structural Properties:
#Basis/     ALA       ASP       ASN       ARG       CYS       GLY       GLU       GLN       HIS       ILE       LEU       LYS       MET       PHE       PRO       SER       THR       TRP       TYR       VAL       
# Helix1 :  0.0000    0.0000    0.0000    1.0000    0.0000    0.0000    0.0000    0.0000    0.0000    1.0000    0.0000    0.0000    0.0000    0.0000    0.0000    1.0000    0.0000    1.0000    0.0000    0.0000  
# Beta1 :   0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    1.0000    0.0000    0.0000    0.0000    0.0000    1.0000    0.0000    0.0000    0.0000    0.0000    1.0000    0.0000  
# Helix2 :  0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    1.0000    0.0000    0.0000    0.0000    1.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000  
# Turn1 :   0.0000    1.0000    0.0000    0.0000    1.0000    0.0000    0.0000    1.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000  
# Turn2 :   1.0000    0.0000    1.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    1.0000    0.0000    1.0000    0.0000    0.0000    0.0000  
# Other :   0.0000    0.0000    0.0000    0.0000    0.0000    1.0000    0.0000    0.0000    0.0000    0.0000    0.0000    1.0000    1.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    1.0000  


#|  Wavelength      Helix1         Beta1          Helix2         Turn1          Turn2          Other           
#      nm        T (10^3)       T (10^3)       T (10^3)       T (10^3)       T (10^3)       T (10^3)      
     269.0        0.2125         -0.4080         -0.0544         0.1555         -0.2809         0.2227      
     268.0        0.1776         -0.5704         0.2757         0.1495         -0.3228         0.1540      
     267.0        0.0156         -0.1900         0.0298         0.0600         -0.0546         0.0226      
     266.0        -0.0379         -0.1269         -0.0001         -0.1049         0.1197         -0.0462      
     265.0        0.0607         -0.2564         0.0083         -0.1948         0.1458         -0.0234      
     264.0        0.0761         -0.2280         0.0818         -0.1618         0.0361         0.0118      
     263.0        0.0259         -0.1471         0.0464         -0.0401         -0.0515         0.0861      
     262.0        0.0194         -0.1297         0.0632         -0.1467         0.0080         0.0411      
     261.0        -0.0243         0.0731         0.0057         -0.1507         0.0635         -0.0501      
     260.0        0.0163         0.0059         0.1919         -0.0971         0.0336         -0.1690      
     259.0        0.0633         -0.1681         0.2384         0.1521         -0.0657         -0.1857      
     258.0        -0.0713         -0.1153         0.2578         0.2715         -0.0539         -0.1811      
     257.0        -0.1751         -0.0917         0.1700         0.3544         -0.0491         -0.1284      
     256.0        -0.2198         -0.0913         0.1670         0.2320         -0.0597         -0.0277      
     255.0        -0.3589         0.1397         0.1522         0.1641         -0.0155         -0.0262      
     254.0        -0.3639         0.1013         0.3418         0.2414         -0.0652         -0.0959      
     253.0        -0.3646         0.1052         0.2485         0.4067         -0.0657         -0.1143      
     252.0        -0.3962         0.1436         0.1805         0.3839         0.0189         -0.1304      
     251.0        -0.3348         0.0246         0.1541         0.2759         0.0884         -0.1728      
     250.0        -0.3061         -0.0364         0.2167         0.1698         0.0228         -0.0778      
     249.0        -0.3417         -0.0864         0.2645         0.2165         0.0065         -0.0452      
     248.0        -0.3276         -0.2545         0.2674         0.3376         0.0193         -0.0070      
     247.0        -0.3143         -0.3587         0.2382         0.4552         0.0088         0.0582      
     246.0        -0.3300         -0.2726         0.1911         0.3491         0.0069         0.1474      
     245.0        -0.3613         -0.0969         0.0739         0.2038         0.0251         0.2421      
