#Derived Basis Spectrum set for calculating CD spectra
#spectrum_list: /home/gnagy/Documents/Gottingen/IDPs/experiments/CD_test/arom/PCA_2/Baselines/SS_M1/MP79/spectra_side.inp
#SS_list: /home/gnagy/Documents/Gottingen/IDPs/experiments/CD_test/sets/Seq_MP79.inp
#Number of decomposed  spectra: 79

#Combination matrix for Structural Properties:
#Basis/  ALA       ASP       ASN       ARG       CYS       GLY       GLU       GLN       HIS       ILE       LEU       LYS       MET       PHE       PRO       SER       THR       TRP       TYR       VAL       
# GRP1 :    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    1.0000    1.0000    0.0000    0.0000    0.0000    0.0000    1.0000    0.0000    1.0000    0.0000    1.0000  
# GRP2 :    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    1.0000    0.0000  
# GRP3 :    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    1.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000  
# GRP4 :    0.0000    1.0000    0.0000    0.0000    1.0000    0.0000    0.0000    1.0000    1.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000  
# GRP5 :    1.0000    0.0000    1.0000    1.0000    0.0000    0.0000    1.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    1.0000    0.0000    1.0000    0.0000    0.0000    0.0000  
# GRP6 :    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    1.0000    1.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000  
# GRP7 :    0.0000    0.0000    0.0000    0.0000    0.0000    1.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000  


#|  Wavelength      GRP1           GRP2           GRP3           GRP4           GRP5           GRP6           GRP7           
#      nm        T (10^3)       T (10^3)       T (10^3)       T (10^3)       T (10^3)       T (10^3)       T (10^3)      
     269.0        0.2551         -0.5389         -0.1595         -0.0546         -0.1450         0.0127         0.0369      
     268.0        0.3446         -0.5816         -0.3465         -0.1009         -0.1859         0.0498         0.0412      
     267.0        0.0384         -0.1611         -0.1181         -0.0713         -0.0043         0.1294         0.0069      
     266.0        -0.1543         0.0359         0.0208         -0.2613         0.1814         0.2905         -0.0098      
     265.0        -0.1187         -0.0396         0.0189         -0.3998         0.2151         0.3076         -0.0061      
     264.0        -0.0371         -0.0989         0.1702         -0.3790         0.1490         0.1586         0.0077      
     263.0        -0.0388         -0.1354         0.1071         -0.2040         0.1029         0.0257         0.0226      
     262.0        -0.0178         -0.1321         0.0477         -0.2795         0.1106         0.0770         0.0254      
     261.0        -0.0815         0.1593         -0.0736         -0.1770         0.0986         0.1260         0.0125      
     260.0        -0.0679         0.0964         -0.0319         -0.1559         0.0707         0.2000         0.0022      
     259.0        -0.0024         -0.0944         -0.1290         -0.0091         -0.0049         0.1365         0.0053      
     258.0        -0.0745         -0.2791         -0.0111         0.1193         0.0148         0.1239         -0.0009      
     257.0        -0.1451         -0.1615         0.1357         0.1209         0.0475         0.1057         -0.0011      
     256.0        -0.0696         -0.2277         0.1663         0.0479         0.0248         0.0558         0.0077      
     255.0        -0.1900         0.1090         0.2132         0.0781         0.0563         0.1441         -0.0026      
     254.0        -0.1621         0.0807         0.3833         0.1306         -0.0262         0.2509         -0.0114      
     253.0        -0.2131         -0.0295         0.3167         0.2740         -0.0332         0.3063         -0.0186      
     252.0        -0.3604         -0.1448         0.3434         0.2405         0.0973         0.4111         -0.0245      
     251.0        -0.3125         -0.4145         0.4347         0.0856         0.1587         0.3287         -0.0150      
     250.0        -0.1675         -0.5271         0.3707         0.0224         0.0904         0.2267         0.0068      
     249.0        -0.2177         -0.3347         0.1255         0.0613         0.1345         0.1417         0.0162      
     248.0        -0.1594         -0.2756         0.0077         0.0816         0.0964         0.0636         0.0223      
     247.0        -0.1409         -0.3215         -0.1200         0.1339         0.0929         -0.0373         0.0330      
     246.0        -0.2595         -0.2989         0.0886         0.0265         0.1644         0.1334         0.0445      
     245.0        -0.3206         -0.1491         0.4777         -0.0286         0.1548         0.1745         0.0593      
     244.0        -0.2150         -0.1247         0.5644         -0.1581         0.0842         0.2001         0.0824      
     243.0        -0.2107         0.3277         0.4561         -0.2856         0.0828         0.2202         0.0947      
     242.0        -0.2323         0.6981         0.4436         -0.1784         0.0291         0.1588         0.0910      
     241.0        -0.0975         1.0803         0.4998         -0.1318         -0.1396         0.0621         0.0963      
     240.0        -0.2072         1.5001         0.8030         -0.1565         -0.1359         0.1123         0.1003      
     239.0        -0.3117         2.0025         1.0678         -0.1474         -0.1650         0.1877         0.1072      
     238.0        -0.2437         2.3788         1.0708         -0.1750         -0.2569         0.1677         0.1149      
     237.0        -0.3677         3.4020         0.9874         -0.3747         -0.2085         0.2875         0.1254      
     236.0        -0.3093         4.2797         1.1084         -0.4248         -0.2826         -0.0169         0.1288      
     235.0        -0.1192         5.2174         1.0769         -0.5816         -0.4142         -0.3541         0.1466      
     234.0        -0.0661         6.2185         0.9984         -0.8555         -0.4321         -0.4517         0.1607      
     233.0        0.0570         7.1178         1.0081         -1.0096         -0.5199         -0.7147         0.1714      
     232.0        0.2084         8.4032         1.2390         -1.2568         -0.6083         -1.2045         0.1840      
     231.0        0.3109         9.5282         1.8244         -1.6498         -0.6347         -1.6700         0.2150      
     230.0        0.5945         10.4101         2.4956         -1.8280         -0.8308         -2.3978         0.2458      
     229.0        1.0231         10.7633         3.1853         -2.1843         -1.0780         -2.9102         0.2951      
     228.0        1.4130         10.7911         3.7905         -2.5888         -1.2961         -3.1254         0.3474      
     227.0        1.6859         10.3364         4.4384         -2.8156         -1.4644         -3.2637         0.4032      
     226.0        1.8811         9.7763         5.2959         -3.1281         -1.5498         -3.3590         0.4577      
     225.0        1.9513         9.1040         6.4706         -3.3696         -1.6139         -3.4061         0.5319      
     224.0        2.0687         8.2402         7.3960         -3.5050         -1.6665         -3.6640         0.6097      
     223.0        2.0720         7.0025         8.6419         -3.5623         -1.7056         -3.6762         0.6824      
     222.0        1.8801         5.6780         9.9466         -3.5438         -1.6711         -3.4041         0.7466      
     221.0        1.6116         4.3110         11.3240         -3.3730         -1.7001         -2.8673         0.8029      
     220.0        1.3887         3.0387         12.5335         -3.1974         -1.7506         -2.3551         0.8541      
     219.0        1.1029         2.3483         13.8383         -2.9866         -1.8578         -1.7217         0.8881      
     218.0        0.9249         1.7287         14.8392         -2.5724         -2.0629         -1.3001         0.9139      
     217.0        0.5750         1.5035         15.6465         -2.1616         -2.1106         -0.9833         0.9313      
     216.0        0.2010         1.7253         15.6156         -1.9202         -2.1038         -0.3154         0.9563      
     215.0        -0.0062         2.1170         14.9748         -1.7272         -2.1529         0.3055         0.9808      
     214.0        -0.2664         3.2166         14.3370         -1.6748         -2.1422         0.8056         0.9990      
     213.0        -0.5594         4.4774         14.4753         -1.7669         -2.1652         1.3838         1.0131      
     212.0        -0.8582         5.6026         14.9736         -1.7756         -2.1980         1.7291         1.0337      
     211.0        -1.0355         7.2305         15.9896         -1.8647         -2.3695         1.8239         1.0678      
     210.0        -1.1891         9.2592         17.1341         -1.9226         -2.6809         2.1165         1.0973      
     209.0        -1.1479         11.7553         18.4809         -2.0407         -3.1728         2.2704         1.1213      
     208.0        -1.1606         15.0918         20.0764         -2.3303         -3.6131         2.2278         1.1354      
     207.0        -1.2574         18.9274         22.1114         -2.7318         -4.0614         2.3457         1.1272      
     206.0        -1.3882         23.3566         23.9907         -3.2064         -4.4409         2.2306         1.1167      
     205.0        -1.4294         28.4788         25.6898         -3.5504         -4.9291         1.8441         1.0815      
     204.0        -1.5435         34.2450         27.7976         -3.5542         -5.5698         1.4322         0.9788      
     203.0        -1.8174         39.9000         30.1011         -3.2158         -6.1405         0.6959         0.8515      
     202.0        -2.2321         45.1771         32.8713         -2.3818         -6.7973         -0.1156         0.7114      
     201.0        -2.8380         48.9515         36.0776         -1.3049         -7.2540         -0.9511         0.5501      
     200.0        -3.4621         49.5616         39.1149         0.0026         -7.4577         -1.6869         0.4177      
     199.0        -4.1387         46.4542         42.6022         1.5066         -7.4556         -1.9857         0.3169      
     198.0        -4.9091         40.9745         46.1166         2.9387         -7.0877         -2.3310         0.2533      
     197.0        -5.6058         32.7202         48.6914         4.3727         -6.3779         -2.8397         0.2722      
     196.0        -6.0774         23.7954         50.2286         5.6707         -5.5418         -3.7205         0.3328      
     195.0        -6.2528         14.6173         48.3376         6.8997         -4.4665         -4.7890         0.4206      
     194.0        -6.0342         4.7974         41.9701         8.0535         -3.0566         -5.9982         0.5153      
     193.0        -5.4608         -4.8902         32.5097         9.0264         -1.5988         -6.8164         0.5994      
     192.0        -4.7495         -13.1726         19.8700         9.8206         -0.0414         -7.0598         0.6136      
     191.0        -3.5763         -20.9370         5.3680         10.3101         1.2756         -6.7293         0.6380      
     190.0        -2.3447         -27.1207         -9.1291         10.5746         2.4615         -6.1625         0.5930      
     189.0        -1.2232         -31.2041         -23.8353         10.6952         3.4853         -5.1540         0.5415      
     188.0        -0.1274         -33.6203         -38.7484         10.4977         4.5009         -4.2840         0.5338      
     187.0        0.9028         -34.5367         -50.5522         9.7388         5.2949         -3.5086         0.5337      
     186.0        1.8358         -33.5628         -60.1833         8.9102         5.7704         -2.8431         0.5089      
     185.0        2.4714         -32.5587         -64.7672         7.9486         6.0406         -2.7449         0.5414      
     184.0        2.6126         -30.6295         -65.7212         6.9496         6.3274         -3.1791         0.5831      
     183.0        2.3745         -28.6232         -62.8328         6.2305         6.3130         -3.5264         0.6373      
     182.0        2.0891         -26.1148         -58.6388         5.4103         6.2327         -4.2317         0.7192      
     181.0        1.9543         -23.4255         -52.7700         4.4754         5.8071         -4.5719         0.7533      
     180.0        1.9673         -20.1883         -46.9088         3.6202         5.1314         -4.7721         0.7782      
     179.0        1.8176         -17.3545         -39.9414         3.3253         4.2044         -4.7242         0.7949      
     178.0        1.2449         -15.1087         -32.8534         3.1029         3.5645         -4.3522         0.8325      
