#Derived Basis Spectrum set for calculating CD spectra
#spectrum_list: /home/gnagy/Documents/Gottingen/IDPs/experiments/CD_test/arom/side_Avg6/BB_corr_scale/CD_corr_MP79.inp
#SS_list: /home/gnagy/Documents/Gottingen/IDPs/experiments/CD_test/arom/side_Avg6/Seq_MP79.inp
#Number of decomposed  spectra: 79

#Combination matrix for Structural Properties:
#Basis/     ALA       ASP       ASN       ARG       CYS       GLY       GLU       GLN       HIS       ILE       LEU       LYS       MET       PHE       PRO       SER       THR       TRP       TYR       VAL       
# GRP1 :    0.0000    1.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    1.0000    0.0000    0.0000    0.0000    0.0000    0.0000    1.0000  
# GRP2 :    0.0000    0.0000    0.0000    0.0000    1.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    1.0000    1.0000    0.0000    0.0000  
# GRP3 :    0.0000    0.0000    1.0000    0.0000    0.0000    0.0000    1.0000    0.0000    0.0000    1.0000    0.0000    0.0000    0.0000    0.0000    0.0000    1.0000    0.0000    0.0000    0.0000    0.0000  
# GRP4 :    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    1.0000    1.0000    0.0000    0.0000    1.0000    1.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000  
# GRP5 :    1.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    1.0000    0.0000    0.0000    0.0000    1.0000    0.0000    0.0000    0.0000    0.0000    0.0000  
# GRP6 :    0.0000    0.0000    0.0000    1.0000    0.0000    1.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    1.0000    0.0000  


#|  Wavelength      GRP1           GRP2           GRP3           GRP4           GRP5           GRP6           
#      nm        T (10^3)       T (10^3)       T (10^3)       T (10^3)       T (10^3)       T (10^3)      
     269.0        -0.0574         0.0873         -0.1243         -0.1013         -0.0005         0.2204      
     268.0        -0.1394         0.0136         -0.0216         -0.0714         0.0291         0.1395      
     267.0        -0.1206         0.1088         -0.0235         0.0191         -0.0033         0.0070      
     266.0        -0.0129         0.0972         -0.0244         0.0051         -0.0256         -0.0675      
     265.0        -0.0342         0.0091         -0.0215         -0.0434         0.0723         -0.0406      
     264.0        0.0355         -0.0226         -0.0257         -0.0953         0.0405         0.0053      
     263.0        -0.0220         -0.0058         -0.0094         -0.0647         -0.0086         0.0894      
     262.0        -0.0322         -0.0814         -0.0463         -0.0713         0.0945         0.0419      
     261.0        -0.0932         -0.1615         -0.0065         0.0185         0.1321         -0.0443      
     260.0        -0.0376         -0.1763         0.0318         0.0377         0.1333         -0.1645      
     259.0        -0.0844         -0.2121         0.1503         0.0195         0.0777         -0.1736      
     258.0        -0.0391         -0.1616         0.1431         0.0416         0.0210         -0.1740      
     257.0        -0.0000         -0.2223         0.1222         -0.0038         -0.0022         -0.1159      
     256.0        0.0263         -0.3460         0.0085         -0.0472         0.1063         -0.0187      
     255.0        0.0202         -0.3991         -0.0348         0.0183         0.1324         -0.0160      
     254.0        0.1205         -0.4405         -0.0142         0.0410         0.1253         -0.0948      
     253.0        0.1730         -0.4119         0.0608         0.0700         -0.0025         -0.1143      
     252.0        0.2249         -0.3833         0.0554         0.1012         -0.0449         -0.1363      
     251.0        0.2486         -0.4139         0.0524         0.0360         -0.0146         -0.1834      
     250.0        0.1442         -0.4287         0.0716         0.0698         -0.0322         -0.0939      
     249.0        0.0315         -0.3819         0.1487         0.0528         -0.0593         -0.0533      
     248.0        -0.0767         -0.3698         0.2143         -0.0445         0.0339         -0.0071      
     247.0        -0.0955         -0.3725         0.1770         -0.1643         0.1659         0.0753      
     246.0        -0.0575         -0.4681         0.0647         -0.1144         0.2284         0.1667      
     245.0        -0.0188         -0.4255         -0.1168         -0.0772         0.2793         0.2683      
